name,abbrev,endmember_names,formula_str,conversion_strs
Plagioclase,plg,"['Anorthite', 'Albite']",Na[Na]Ca[Ca]Al[Al]Si[Si]O8,"['[0]=[Ca]', '[1]=[Na]']"
Clinopyroxene,cpx,"['Diopside', 'Hedenbergite', 'Jadeite', 'Clinoenstatite']",Na[Na]Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O6,"['[0]=([Ca]+[Mg])/2.0', '[1]=[Fe]', '[2]=[Na]', '[3]=[Mg]/2.0']"
Garnet,gt,"['Pyrope', 'Almandine', 'Grossular']",Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O12,"['[0]=[Mg]/3.0', '[1]=[Fe]/3.0', '[2]=[Ca]/3.0']"
Orthopyroxene,opx,"['Orthoenstatite', 'Ferrosilite']",Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O6,"['[0]=([Mg]-[Ca]-[Al]/2.0)/2.0', '[1]=[Fe]/2.0']"
Quartz,qtz,"['B_Quartz']",Si[Si]O2,"['[0]=[Si]']"
Spinel,sp,"['Spinel']",Mg[Mg]Al2O4,"['[0]=[Mg]']"
Rutile,ru,"['Rutile']",Ti[Ti]O2,"['[0]=[Si]']"
Kyanite,ky,"['Kyanite']",Al[Al]SiO5,"['[0]=[Al]/2.0']"
KFeldspar,kfs,"['Potassium_Feldspar']",K[K]AlSi3O8,"['[0]=[K]']"
Hematite,hem,"['Hematite']",Fe[Fe]O[O],"['[0]=[Fe]/2']"
