setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.0036150898345,85000.0,30000.0,1293.9620862135102,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.012400573334799,0.853612189782441,0.8573491559173261,0.8576720497186917,0.8576720497186917
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0309295222987,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.945266045034406,1.0792994028667693,1.089663841156772,1.0905706230857064,1.0905706230857064
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6011643253764,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.049742333229925,0.7997662088680931,0.8016944928689582,0.8018578806257628,0.8018578806257628
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.621603457167,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.106835156616921,0.7648903822968373,0.7667428796564425,0.7668990421165338,0.7668990421165338
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.0036150898345,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0200884569349458,1.1000085067492897,1.1223398520462913,1.1236059622706835,1.1236059622706835
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0309295222987,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9515026713810384,1.103072726071515,1.1123849394516958,1.1132038177243904,1.1132038177243904
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6011643253764,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0578870507818006,1.1278568685620336,1.152427837620135,1.1538156903394161,1.1538156903394161
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.621603457167,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.115093150708307,1.0854909753766901,1.108921813900737,1.1102479401940009,1.1102479401940009
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.0036150898345,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0404126366692186,2.151474214884308,2.226654375190453,2.230862548343498,2.230862548343498
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.0309295222987,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9677776343360254,1.9085282102445533,1.9699199413985222,1.9733559130675755,1.9733559130675755
a,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6011643253764,85000.0,30000.0,1293.9620862135102,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0795986848665513,2.2354509205596473,2.314330702875659,2.3187417194570226,2.3187417194570226
