|6.6.6
hacker_2015_middle_crust_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3104.67
579.439 5000.00 3102.90
585.729 5000.00 3100.97
592.018 5000.00 3098.90
598.307 5000.00 3096.65
604.597 5000.00 3094.19
610.886 5000.00 3091.48
617.175 5000.00 3088.46
623.464 5000.00 3085.19
629.754 5000.00 3081.46
636.043 5000.00 3077.31
642.332 5000.00 3072.60
648.622 5000.00 3067.24
654.911 5000.00 3061.00
661.200 5000.00 3053.68
667.490 5000.00 2987.88
673.779 5000.00 2979.37
680.068 5000.00 2970.13
686.358 5000.00 2960.08
692.647 5000.00 2949.09
698.936 5000.00 2937.02
705.225 5000.00 2923.69
711.515 5000.00 2908.90
717.804 5000.00 2892.40
724.093 5000.00 2880.99
730.383 5000.00 2880.49
736.672 5000.00 2880.00
742.961 5000.00 2879.50
749.251 5000.00 2879.00
755.540 5000.00 2878.50
761.829 5000.00 2877.99
768.119 5000.00 2877.49
774.408 5000.00 2876.98
780.697 5000.00 2876.46
786.986 5000.00 2875.95
793.276 5000.00 2875.43
799.565 5000.00 2874.91
805.854 5000.00 2874.39
812.144 5000.00 2873.86
818.433 5000.00 2873.33
824.722 5000.00 2872.80
831.012 5000.00 2872.27
837.301 5000.00 2871.73
843.590 5000.00 2871.18
849.880 5000.00 2870.63
856.169 5000.00 2870.08
862.458 5000.00 2869.52
868.747 5000.00 2868.96
875.037 5000.00 2868.39
881.326 5000.00 2867.82
887.615 5000.00 2867.23
893.905 5000.00 2866.64
900.194 5000.00 2866.04
906.483 5000.00 2865.43
912.773 5000.00 2864.81
919.062 5000.00 2864.18
925.351 5000.00 2863.52
931.641 5000.00 2862.85
937.930 5000.00 2862.14
944.219 5000.00 2861.40
950.508 5000.00 2860.61
956.798 5000.00 2859.71
963.087 5000.00 2858.52
969.376 5000.00 2857.40
975.666 5000.00 2857.00
981.955 5000.00 2856.60
988.244 5000.00 2856.20
994.534 5000.00 2855.80
1000.82 5000.00 2855.39
1007.11 5000.00 2855.00
1013.40 5000.00 2854.57
1019.69 5000.00 2854.19
1025.98 5000.00 2853.78
1032.27 5000.00 2853.38
1038.56 5000.00 2852.97
1044.85 5000.00 2852.57
1051.14 5000.00 2852.16
1057.43 5000.00 2851.76
1063.72 5000.00 2851.35
1070.01 5000.00 2850.94
1076.29 5000.00 2850.54
1082.58 5000.00 2850.13
1088.87 5000.00 2849.72
1095.16 5000.00 2849.31
1101.45 5000.00 2848.90
1107.74 5000.00 2848.49
1114.03 5000.00 2848.08
1120.32 5000.00 2847.67
1126.61 5000.00 2847.26
1132.90 5000.00 2846.84
1139.19 5000.00 2846.43
1145.48 5000.00 2846.02
1151.77 5000.00 2845.60
1158.06 5000.00 2845.19
1164.34 5000.00 2844.77
1170.63 5000.00 2844.36
1176.92 5000.00 2843.94
1183.21 5000.00 2843.52
1189.50 5000.00 2843.10
1195.79 5000.00 2842.68
1202.08 5000.00 2842.27
1208.37 5000.00 2841.85
1214.66 5000.00 2841.43
1220.95 5000.00 2841.00
1227.24 5000.00 2840.58
1233.53 5000.00 2840.16
1239.82 5000.00 2839.74
1246.11 5000.00 2839.31
1252.40 5000.00 2838.89
1258.68 5000.00 2838.46
1264.97 5000.00 2838.04
1271.26 5000.00 2837.61
1277.55 5000.00 2837.18
1283.84 5000.00 2836.76
1290.13 5000.00 2836.33
1296.42 5000.00 2835.90
1302.71 5000.00 2835.47
1309.00 5000.00 2835.04
1315.29 5000.00 2834.61
1321.58 5000.00 2834.17
1327.87 5000.00 2833.74
1334.16 5000.00 2833.30
1340.45 5000.00 2832.87
1346.73 5000.00 2832.41
1353.02 5000.00 2831.99
1359.31 5000.00 2831.55
1365.60 5000.00 2831.11
1371.89 5000.00 2830.67
1378.18 5000.00 2830.23
1384.47 5000.00 2829.79
1390.76 5000.00 2829.35
1397.05 5000.00 2828.91
1403.34 5000.00 2828.46
1409.63 5000.00 2828.01
1415.92 5000.00 2827.57
1422.21 5000.00 2827.12
1428.50 5000.00 2826.67
1434.79 5000.00 2826.22
1441.07 5000.00 2825.77
1447.36 5000.00 2825.32
1453.65 5000.00 2824.86
1459.94 5000.00 2824.41
1466.23 5000.00 2823.95
1472.52 5000.00 2823.49
1478.81 5000.00 2823.04
1485.10 5000.00 2822.57
1491.39 5000.00 2822.11
1497.68 5000.00 2821.65
1503.97 5000.00 2821.19
1510.26 5000.00 2820.72
1516.55 5000.00 2820.26
1522.84 5000.00 2819.79
1529.12 5000.00 2819.32
1535.41 5000.00 2818.85
1541.70 5000.00 2818.37
1547.99 5000.00 2817.90
1554.28 5000.00 2817.42
1560.57 5000.00 2816.94
1566.86 5000.00 2816.46
1573.15 5000.00 2815.98
573.150 5125.79 3106.22
579.439 5125.79 3104.50
585.729 5125.79 3102.69
592.018 5125.79 3100.71
598.307 5125.79 3098.59
604.597 5125.79 3096.26
610.886 5125.79 3093.71
617.175 5125.79 3090.94
623.464 5125.79 3087.88
629.754 5125.79 3084.43
636.043 5125.79 3080.60
642.332 5125.79 3076.31
648.622 5125.79 3071.42
654.911 5125.79 3065.83
661.200 5125.79 3059.30
667.490 5125.79 3051.72
673.779 5125.79 3039.98
680.068 5125.79 2985.15
686.358 5125.79 2976.14
692.647 5125.79 2966.36
698.936 5125.79 2955.72
705.225 5125.79 2944.09
711.515 5125.79 2931.30
717.804 5125.79 2917.18
724.093 5125.79 2901.51
730.383 5125.79 2884.01
736.672 5125.79 2880.59
742.961 5125.79 2880.09
749.251 5125.79 2879.59
755.540 5125.79 2879.09
761.829 5125.79 2878.58
768.119 5125.79 2878.08
774.408 5125.79 2877.57
780.697 5125.79 2877.06
786.986 5125.79 2876.55
793.276 5125.79 2876.03
799.565 5125.79 2875.51
805.854 5125.79 2874.99
812.144 5125.79 2874.47
818.433 5125.79 2873.94
824.722 5125.79 2873.41
831.012 5125.79 2872.88
837.301 5125.79 2872.34
843.590 5125.79 2871.80
849.880 5125.79 2871.25
856.169 5125.79 2870.70
862.458 5125.79 2870.15
868.747 5125.79 2869.59
875.037 5125.79 2869.02
881.326 5125.79 2868.45
887.615 5125.79 2867.87
893.905 5125.79 2867.28
900.194 5125.79 2866.69
906.483 5125.79 2866.08
912.773 5125.79 2865.47
919.062 5125.79 2864.84
925.351 5125.79 2864.19
931.641 5125.79 2863.53
937.930 5125.79 2862.84
944.219 5125.79 2862.12
950.508 5125.79 2861.35
956.798 5125.79 2860.51
963.087 5125.79 2859.51
969.376 5125.79 2857.97
975.666 5125.79 2857.55
981.955 5125.79 2857.15
988.244 5125.79 2856.75
994.534 5125.79 2856.35
1000.82 5125.79 2855.95
1007.11 5125.79 2855.55
1013.40 5125.79 2855.15
1019.69 5125.79 2854.74
1025.98 5125.79 2854.34
1032.27 5125.79 2853.94
1038.56 5125.79 2853.53
1044.85 5125.79 2853.13
1051.14 5125.79 2852.72
1057.43 5125.79 2852.32
1063.72 5125.79 2851.91
1070.01 5125.79 2851.51
1076.29 5125.79 2851.10
1082.58 5125.79 2850.69
1088.87 5125.79 2850.28
1095.16 5125.79 2849.88
1101.45 5125.79 2849.47
1107.74 5125.79 2849.06
1114.03 5125.79 2848.65
1120.32 5125.79 2848.24
1126.61 5125.79 2847.83
1132.90 5125.79 2847.41
1139.19 5125.79 2847.00
1145.48 5125.79 2846.59
1151.77 5125.79 2846.18
1158.06 5125.79 2845.76
1164.34 5125.79 2845.35
1170.63 5125.79 2844.93
1176.92 5125.79 2844.52
1183.21 5125.79 2844.10
1189.50 5125.79 2843.68
1195.79 5125.79 2843.27
1202.08 5125.79 2842.85
1208.37 5125.79 2842.43
1214.66 5125.79 2842.01
1220.95 5125.79 2841.59
1227.24 5125.79 2841.17
1233.53 5125.79 2840.75
1239.82 5125.79 2840.32
1246.11 5125.79 2839.90
1252.40 5125.79 2839.48
1258.68 5125.79 2839.05
1264.97 5125.79 2838.63
1271.26 5125.79 2838.20
1277.55 5125.79 2837.78
1283.84 5125.79 2837.35
1290.13 5125.79 2836.92
1296.42 5125.79 2836.49
1302.71 5125.79 2836.06
1309.00 5125.79 2835.63
1315.29 5125.79 2835.20
1321.58 5125.79 2834.77
1327.87 5125.79 2834.34
1334.16 5125.79 2833.90
1340.45 5125.79 2833.47
1346.73 5125.79 2833.04
1353.02 5125.79 2832.60
