|6.6.6
si53_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-133090058
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
923.150 5000.00 60.4749 NaN 11.1631 NaN 27.0746 NaN NaN 1.28734 NaN
925.170 5202.02 60.4307 NaN 11.1945 NaN 27.0773 NaN NaN 1.29756 NaN
927.190 5404.04 60.3853 NaN 11.2272 NaN 27.0794 NaN NaN 1.30806 NaN
929.211 5606.06 60.3378 NaN 11.2613 NaN 27.0817 NaN NaN 1.31911 NaN
931.231 5808.08 60.2889 NaN 11.2966 NaN 27.0840 NaN NaN 1.33053 NaN
933.251 6010.10 60.2377 NaN 11.3336 NaN 27.0862 NaN NaN 1.34254 NaN
935.271 6212.12 60.1856 NaN 11.3713 NaN 27.0883 NaN NaN 1.35477 NaN
937.291 6414.14 60.1317 NaN 11.4104 NaN 27.0905 NaN NaN 1.36748 NaN
939.312 6616.16 60.0749 NaN 11.4514 NaN 27.0928 NaN NaN 1.38090 NaN
941.332 6818.18 60.0155 NaN 11.4944 NaN 27.0951 NaN NaN 1.39501 NaN
943.352 7020.20 59.9528 NaN 11.5397 NaN 27.0975 NaN NaN 1.40994 NaN
945.372 7222.22 59.8899 NaN 11.5858 NaN 27.0994 NaN NaN 1.42494 NaN
947.392 7424.24 59.8243 NaN 11.6333 NaN 27.1018 NaN NaN 1.44062 NaN
949.413 7626.26 59.7546 NaN 11.6840 NaN 27.1041 NaN NaN 1.45735 NaN
951.433 7828.28 59.6837 NaN 11.7359 NaN 27.1061 NaN NaN 1.47435 NaN
953.453 8030.30 59.6094 NaN 11.7901 NaN 27.1083 NaN NaN 1.49224 NaN
955.473 8232.32 59.5309 NaN 11.8474 NaN 27.1106 NaN NaN 1.51119 NaN
957.493 8434.34 54.9052 NaN 14.5558 NaN 21.8279 5.94870 NaN 2.76236 NaN
959.514 8636.36 49.8532 NaN 17.5265 NaN 16.0612 12.4316 NaN 4.12743 NaN
961.534 8838.38 45.3099 NaN 20.2112 NaN 10.9102 18.2159 NaN 5.35271 NaN
963.554 9040.40 41.2108 NaN 22.6437 NaN 6.29544 23.3939 NaN 6.45616 NaN
965.574 9242.42 38.5395 NaN 24.2708 NaN 3.37523 26.6427 NaN 7.17181 NaN
967.594 9444.44 35.4777 NaN 26.1024 NaN NaN 30.4271 NaN 7.99283 NaN
969.615 9646.46 35.2199 NaN 26.0993 NaN NaN 30.6238 NaN 8.05696 NaN
971.635 9848.48 34.9427 NaN 26.0918 NaN NaN 30.8394 NaN 8.12615 NaN
973.655 10050.5 34.6770 NaN 26.0959 NaN NaN 31.0348 NaN 8.19223 NaN
975.675 10252.5 34.3933 NaN 26.0953 NaN NaN 31.2484 NaN 8.26306 NaN
977.695 10454.5 34.1021 NaN 26.0957 NaN NaN 31.4664 NaN 8.33581 NaN
979.716 10656.6 33.7744 NaN 26.0984 NaN NaN 31.7091 NaN 8.41804 NaN
981.736 10858.6 33.4690 NaN 26.1029 NaN NaN 31.9337 NaN 8.49441 NaN
983.756 11060.6 33.1359 NaN 26.1098 NaN NaN 32.1763 NaN 8.57798 NaN
985.776 11262.6 32.7970 NaN 26.1224 NaN NaN 32.4176 NaN 8.66297 NaN
987.796 11464.6 32.4415 NaN 26.1350 NaN NaN 32.6712 NaN 8.75229 NaN
989.817 11666.7 32.0675 NaN 26.1555 NaN NaN 32.9307 NaN 8.84632 NaN
991.837 11868.7 31.6658 NaN 26.1822 NaN NaN 33.2045 NaN 8.94749 NaN
993.857 12070.7 31.2489 NaN 26.2159 NaN NaN 33.4826 NaN 9.05251 NaN
995.877 12272.7 30.8271 NaN 26.2542 NaN NaN 33.7599 NaN 9.15874 NaN
997.897 12474.7 30.3850 NaN 26.3035 NaN NaN 34.0413 NaN 9.27013 NaN
999.918 12676.8 29.9035 NaN 26.3720 NaN NaN 34.3329 NaN 9.39158 NaN
1001.94 12878.8 29.4341 NaN 26.4385 NaN NaN 34.6175 NaN 9.50984 NaN
1003.96 13080.8 28.9000 NaN 26.5386 NaN NaN 34.9168 NaN 9.64461 NaN
1005.98 13282.8 28.1797 NaN 26.8402 NaN NaN 35.1057 0.964732E-001 9.77792 NaN
1008.00 13484.8 26.6390 NaN 28.1054 NaN NaN 34.7227 0.638746 9.89416 NaN
1010.02 13686.9 25.2779 NaN 29.2192 NaN NaN 34.4325 1.02993 10.0404 NaN
