|6.6.6
si53_norm_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3262.83
579.439 5000.00 3261.61
585.729 5000.00 3260.31
592.018 5000.00 3258.92
598.307 5000.00 3257.41
604.597 5000.00 3255.78
610.886 5000.00 3253.99
617.175 5000.00 3252.01
623.464 5000.00 3249.81
629.754 5000.00 3247.33
636.043 5000.00 3244.50
642.332 5000.00 3241.18
648.622 5000.00 3237.21
654.911 5000.00 3232.26
661.200 5000.00 3225.70
667.490 5000.00 3052.58
673.779 5000.00 3037.63
680.068 5000.00 3021.42
686.358 5000.00 3003.79
692.647 5000.00 2994.55
698.936 5000.00 2994.11
705.225 5000.00 2993.68
711.515 5000.00 2993.25
717.804 5000.00 2992.81
724.093 5000.00 2992.38
730.383 5000.00 2991.94
736.672 5000.00 2991.50
742.961 5000.00 2991.06
749.251 5000.00 2990.62
755.540 5000.00 2990.18
761.829 5000.00 2989.73
768.119 5000.00 2989.29
774.408 5000.00 2988.84
780.697 5000.00 2988.39
786.986 5000.00 2987.95
793.276 5000.00 2987.49
799.565 5000.00 2987.04
805.854 5000.00 2986.59
812.144 5000.00 2986.14
818.433 5000.00 2985.69
824.722 5000.00 2985.23
831.012 5000.00 2984.78
837.301 5000.00 2984.32
843.590 5000.00 2983.87
849.880 5000.00 2983.41
856.169 5000.00 2982.95
862.458 5000.00 2982.49
868.747 5000.00 2982.03
875.037 5000.00 2981.57
881.326 5000.00 2981.11
887.615 5000.00 2980.65
893.905 5000.00 2980.18
900.194 5000.00 2979.72
906.483 5000.00 2979.25
912.773 5000.00 2978.78
919.062 5000.00 2978.31
925.351 5000.00 2977.84
931.641 5000.00 2977.36
937.930 5000.00 2976.88
944.219 5000.00 2976.39
950.508 5000.00 2975.90
956.798 5000.00 2975.39
963.087 5000.00 2974.83
969.376 5000.00 2974.29
975.666 5000.00 2973.86
981.955 5000.00 2973.42
988.244 5000.00 2972.98
994.534 5000.00 2972.55
1000.82 5000.00 2972.11
1007.11 5000.00 2971.67
1013.40 5000.00 2971.23
1019.69 5000.00 2970.79
1025.98 5000.00 2970.36
1032.27 5000.00 2969.92
1038.56 5000.00 2969.48
1044.85 5000.00 2969.04
1051.14 5000.00 2968.60
1057.43 5000.00 2968.16
1063.72 5000.00 2967.72
1070.01 5000.00 2967.28
1076.29 5000.00 2966.83
1082.58 5000.00 2966.39
1088.87 5000.00 2965.95
1095.16 5000.00 2965.51
1101.45 5000.00 2965.06
1107.74 5000.00 2964.62
1114.03 5000.00 2964.18
1120.32 5000.00 2963.73
1126.61 5000.00 2963.29
1132.90 5000.00 2962.85
1139.19 5000.00 2962.40
1145.48 5000.00 2961.96
1151.77 5000.00 2961.51
1158.06 5000.00 2961.06
1164.34 5000.00 2960.62
1170.63 5000.00 2960.17
1176.92 5000.00 2959.72
1183.21 5000.00 2959.28
1189.50 5000.00 2958.83
1195.79 5000.00 2958.38
1202.08 5000.00 2957.93
1208.37 5000.00 2957.48
1214.66 5000.00 2957.03
1220.95 5000.00 2956.58
1227.24 5000.00 2956.13
1233.53 5000.00 2955.68
1239.82 5000.00 2955.23
1246.11 5000.00 2954.78
1252.40 5000.00 2954.33
1258.68 5000.00 2953.88
1264.97 5000.00 2953.42
1271.26 5000.00 2952.97
1277.55 5000.00 2952.52
1283.84 5000.00 2952.06
1290.13 5000.00 2951.61
1296.42 5000.00 2951.15
1302.71 5000.00 2950.70
1309.00 5000.00 2950.24
1315.29 5000.00 2949.80
1321.58 5000.00 2949.33
1327.87 5000.00 2948.87
1334.16 5000.00 2948.41
1340.45 5000.00 2947.95
1346.73 5000.00 2947.49
1353.02 5000.00 2947.04
1359.31 5000.00 2946.57
1365.60 5000.00 2946.11
1371.89 5000.00 2945.65
1378.18 5000.00 2945.19
1384.47 5000.00 2944.73
1390.76 5000.00 2944.26
1397.05 5000.00 2943.80
1403.34 5000.00 2943.34
1409.63 5000.00 2942.87
1415.92 5000.00 2942.41
1422.21 5000.00 2941.94
1428.50 5000.00 2941.47
1434.79 5000.00 2941.00
1441.07 5000.00 2940.53
1447.36 5000.00 2940.06
1453.65 5000.00 2939.59
1459.94 5000.00 2939.12
1466.23 5000.00 2938.65
1472.52 5000.00 2938.18
1478.81 5000.00 2937.70
1485.10 5000.00 2937.23
1491.39 5000.00 2936.75
1497.68 5000.00 2936.26
1503.97 5000.00 2935.79
1510.26 5000.00 2935.32
1516.55 5000.00 2934.84
1522.84 5000.00 2934.35
1529.12 5000.00 2933.87
1535.41 5000.00 2933.38
1541.70 5000.00 2932.90
1547.99 5000.00 2932.40
1554.28 5000.00 2931.92
1560.57 5000.00 2931.43
1566.86 5000.00 2930.94
1573.15 5000.00 2930.45
573.150 5125.79 3264.45
579.439 5125.79 3263.30
585.729 5125.79 3262.07
592.018 5125.79 3260.76
598.307 5125.79 3259.35
604.597 5125.79 3257.83
610.886 5125.79 3256.17
617.175 5125.79 3254.36
623.464 5125.79 3252.36
629.754 5125.79 3250.14
636.043 5125.79 3247.63
642.332 5125.79 3244.75
648.622 5125.79 3241.39
654.911 5125.79 3237.35
661.200 5125.79 3232.32
667.490 5125.79 3225.64
673.779 5125.79 3215.65
680.068 5125.79 3045.67
686.358 5125.79 3029.90
692.647 5125.79 3012.81
698.936 5125.79 2994.72
705.225 5125.79 2994.28
711.515 5125.79 2993.85
717.804 5125.79 2993.41
724.093 5125.79 2992.98
730.383 5125.79 2992.54
736.672 5125.79 2992.10
742.961 5125.79 2991.66
749.251 5125.79 2991.22
755.540 5125.79 2990.78
761.829 5125.79 2990.34
768.119 5125.79 2989.89
774.408 5125.79 2989.45
780.697 5125.79 2989.00
786.986 5125.79 2988.55
793.276 5125.79 2988.10
799.565 5125.79 2987.65
805.854 5125.79 2987.20
812.144 5125.79 2986.75
818.433 5125.79 2986.29
824.722 5125.79 2985.84
831.012 5125.79 2985.39
837.301 5125.79 2984.93
843.590 5125.79 2984.47
849.880 5125.79 2984.02
856.169 5125.79 2983.56
862.458 5125.79 2983.10
868.747 5125.79 2982.64
875.037 5125.79 2982.18
881.326 5125.79 2981.72
887.615 5125.79 2981.26
893.905 5125.79 2980.80
900.194 5125.79 2980.33
906.483 5125.79 2979.87
912.773 5125.79 2979.40
919.062 5125.79 2978.93
925.351 5125.79 2978.46
931.641 5125.79 2977.98
937.930 5125.79 2977.50
944.219 5125.79 2977.02
950.508 5125.79 2976.53
956.798 5125.79 2976.03
963.087 5125.79 2975.50
969.376 5125.79 2974.90
975.666 5125.79 2974.46
981.955 5125.79 2974.02
988.244 5125.79 2973.59
994.534 5125.79 2973.15
1000.82 5125.79 2972.72
1007.11 5125.79 2972.28
1013.40 5125.79 2971.84
1019.69 5125.79 2971.41
1025.98 5125.79 2970.97
1032.27 5125.79 2970.53
1038.56 5125.79 2970.09
1044.85 5125.79 2969.65
1051.14 5125.79 2969.22
1057.43 5125.79 2968.78
1063.72 5125.79 2968.34
1070.01 5125.79 2967.90
1076.29 5125.79 2967.46
1082.58 5125.79 2967.02
1088.87 5125.79 2966.57
1095.16 5125.79 2966.13
1101.45 5125.79 2965.69
1107.74 5125.79 2965.25
1114.03 5125.79 2964.81
1120.32 5125.79 2964.37
1126.61 5125.79 2963.92
1132.90 5125.79 2963.48
1139.19 5125.79 2963.04
1145.48 5125.79 2962.59
1151.77 5125.79 2962.15
1158.06 5125.79 2961.70
1164.34 5125.79 2961.26
1170.63 5125.79 2960.81
1176.92 5125.79 2960.37
1183.21 5125.79 2959.92
1189.50 5125.79 2959.47
1195.79 5125.79 2959.03
1202.08 5125.79 2958.58
1208.37 5125.79 2958.13
1214.66 5125.79 2957.69
1220.95 5125.79 2957.24
1227.24 5125.79 2956.79
1233.53 5125.79 2956.34
1239.82 5125.79 2955.89
1246.11 5125.79 2955.44
1252.40 5125.79 2954.99
1258.68 5125.79 2954.54
1264.97 5125.79 2954.09
1271.26 5125.79 2953.64
1277.55 5125.79 2953.18
1283.84 5125.79 2952.73
1290.13 5125.79 2952.28
1296.42 5125.79 2951.83
1302.71 5125.79 2951.37
1309.00 5125.79 2950.92
1315.29 5125.79 2950.46
1321.58 5125.79 2950.01
1327.87 5125.79 2949.55
1334.16 5125.79 2949.10
1340.45 5125.79 2948.64
1346.73 5125.79 2948.18
1353.02 5125.79 2947.72
1359.31 5125.79 2947.27
1365.60 5125.79 2946.81
1371.89 5125.79 2946.35
1378.18 5125.79 2945.89
1384.47 5125.79 2945.43
1390.76 5125.79 2944.97
1397.05 5125.79 2944.50
1403.34 5125.79 2944.04
1409.63 5125.79 2943.58
1415.92 5125.79 2943.11
1422.21 5125.79 2942.65
1428.50 5125.79 2942.19
1434.79 5125.79 2941.72
1441.07 5125.79 2941.25
1447.36 5125.79 2940.78
1453.65 5125.79 2940.32
1459.94 5125.79 2939.85
1466.23 5125.79 2939.38
1472.52 5125.79 2938.91
1478.81 5125.79 2938.43
1485.10 5125.79 2937.96
1491.39 5125.79 2937.49
1497.68 5125.79 2937.01
1503.97 5125.79 2936.54
1510.26 5125.79 2936.06
1516.55 5125.79 2935.58
1522.84 5125.79 2935.10
1529.12 5125.79 2934.62
1535.41 5125.79 2934.14
1541.70 5125.79 2933.66
1547.99 5125.79 2933.17
1554.28 5125.79 2932.69
1560.57 5125.79 2932.20
1566.86 5125.79 2931.71
1573.15 5125.79 2930.98
573.150 5251.57 3266.05
579.439 5251.57 3264.95
585.729 5251.57 3263.79
592.018 5251.57 3262.55
598.307 5251.57 3261.22
604.597 5251.57 3259.80
610.886 5251.57 3258.26
617.175 5251.57 3256.58
623.464 5251.57 3254.75
629.754 5251.57 3252.73
636.043 5251.57 3250.48
642.332 5251.57 3247.94
648.622 5251.57 3245.02
654.911 5251.57 3241.62
661.200 5251.57 3237.52
667.490 5251.57 3232.41
673.779 5251.57 3225.61
680.068 5251.57 3215.42
686.358 5251.57 3053.76
692.647 5251.57 3038.39
698.936 5251.57 3021.77
705.225 5251.57 3003.76
711.515 5251.57 2994.45
717.804 5251.57 2994.02
724.093 5251.57 2993.58
730.383 5251.57 2993.14
736.672 5251.57 2992.71
742.961 5251.57 2992.27
749.251 5251.57 2991.83
755.540 5251.57 2991.38
761.829 5251.57 2990.94
768.119 5251.57 2990.50
774.408 5251.57 2990.05
780.697 5251.57 2989.61
786.986 5251.57 2989.16
793.276 5251.57 2988.71
799.565 5251.57 2988.26
805.854 5251.57 2987.81
812.144 5251.57 2987.35
818.433 5251.57 2986.90
824.722 5251.57 2986.45
831.012 5251.57 2985.99
837.301 5251.57 2985.54
843.590 5251.57 2985.09
849.880 5251.57 2984.63
856.169 5251.57 2984.17
862.458 5251.57 2983.72
868.747 5251.57 2983.26
875.037 5251.57 2982.80
881.326 5251.57 2982.34
887.615 5251.57 2981.88
893.905 5251.57 2981.42
900.194 5251.57 2980.95
906.483 5251.57 2980.49
912.773 5251.57 2980.02
919.062 5251.57 2979.55
925.351 5251.57 2979.08
931.641 5251.57 2978.61
937.930 5251.57 2978.13
944.219 5251.57 2977.65
950.508 5251.57 2977.16
956.798 5251.57 2976.67
963.087 5251.57 2976.16
969.376 5251.57 2975.60
975.666 5251.57 2975.07
981.955 5251.57 2974.63
988.244 5251.57 2974.20
994.534 5251.57 2973.76
1000.82 5251.57 2973.33
1007.11 5251.57 2972.89
1013.40 5251.57 2972.46
1019.69 5251.57 2972.02
1025.98 5251.57 2971.58
1032.27 5251.57 2971.15
1038.56 5251.57 2970.71
1044.85 5251.57 2970.27
1051.14 5251.57 2969.84
1057.43 5251.57 2969.40
1063.72 5251.57 2968.96
1070.01 5251.57 2968.52
1076.29 5251.57 2968.08
1082.58 5251.57 2967.64
1088.87 5251.57 2967.20
1095.16 5251.57 2966.76
1101.45 5251.57 2966.32
1107.74 5251.57 2965.88
1114.03 5251.57 2965.44
1120.32 5251.57 2965.00
1126.61 5251.57 2964.56
1132.90 5251.57 2964.12
1139.19 5251.57 2963.67
1145.48 5251.57 2963.23
1151.77 5251.57 2962.79
1158.06 5251.57 2962.35
1164.34 5251.57 2961.90
1170.63 5251.57 2961.46
1176.92 5251.57 2961.01
1183.21 5251.57 2960.57
1189.50 5251.57 2960.12
1195.79 5251.57 2959.68
1202.08 5251.57 2959.23
1208.37 5251.57 2958.79
1214.66 5251.57 2958.34
1220.95 5251.57 2957.89
1227.24 5251.57 2957.45
1233.53 5251.57 2957.00
1239.82 5251.57 2956.55
1246.11 5251.57 2956.10
1252.40 5251.57 2955.65
1258.68 5251.57 2955.20
1264.97 5251.57 2954.75
1271.26 5251.57 2954.30
1277.55 5251.57 2953.85
1283.84 5251.57 2953.40
1290.13 5251.57 2952.95
1296.42 5251.57 2952.50
1302.71 5251.57 2952.04
1309.00 5251.57 2951.60
1315.29 5251.57 2951.14
1321.58 5251.57 2950.69
1327.87 5251.57 2950.24
1334.16 5251.57 2949.78
1340.45 5251.57 2949.33
1346.73 5251.57 2948.87
1353.02 5251.57 2948.42
1359.31 5251.57 2947.96
1365.60 5251.57 2947.50
1371.89 5251.57 2947.05
1378.18 5251.57 2946.59
1384.47 5251.57 2946.13
1390.76 5251.57 2945.67
1397.05 5251.57 2945.21
1403.34 5251.57 2944.75
1409.63 5251.57 2944.29
1415.92 5251.57 2943.83
