"Sample","SiO2 adj","TiO2 adj","Al2O3 adj","Fe2O3 adj","FeO adj","MnO adj","MgO adj","CaO adj","Na2O adj","K2O adj","P2O5 adj","Total adj","CO2 adj","SO3 adj","S adj","F adj","Cl adj","Magma","TAS class","Fe ratio"
"sammon_2021_lower_crust","53.197","0.978","17.167","1.678","5.596","0.156"," 7.615","10.130","2.625"," 0.697","0.162","100.001","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"sammon_2021_deep_crust","57.520","0.887","16.637","1.712","4.891","0.153"," 5.862"," 8.199","2.926"," 1.058","0.156","100.001","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"rudnick_2014_lower_crust","53.303","0.818","16.869","2.021","6.736","0.100"," 7.226"," 9.573","2.646"," 0.609","0.100","100.001","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"hacker_2015_md_xenolith","51.999","0.898","16.967","2.122","7.074","0.150"," 7.285","10.280","2.595"," 0.499","0.130"," 99.999","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"mackwell_1998_maryland_diabase","51.715","0.731","15.306","1.729","8.645","   NA"," 8.039","11.352","2.142"," 0.340","   NA"," 99.999","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-01","45.243","1.102","17.108","1.807","9.033","0.195","10.095","13.003","2.317","-0.080","0.178","100.001","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-02","46.268","1.080","17.012","1.761","8.805","0.190"," 9.718","12.567","2.376"," 0.046","0.178","100.001","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-03","47.295","1.057","16.915","1.716","8.579","0.185"," 9.340","12.129","2.435"," 0.172","0.177","100.000","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-04","48.322","1.034","16.819","1.670","8.353","0.180"," 8.961","11.692","2.494"," 0.298","0.177","100.000","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-05","49.350","1.011","16.722","1.625","8.126","0.175"," 8.583","11.255","2.553"," 0.423","0.177","100.000","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-06","50.378","0.989","16.626","1.580","7.899","0.170"," 8.204","10.816","2.613"," 0.549","0.177","100.001","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-07","51.408","0.967","16.529","1.535","7.671","0.165"," 7.825","10.377","2.672"," 0.675","0.177","100.001","NA","NA","NA","NA","NA","Mafic","Gabbro",0.2
"interp-08","52.409","0.943","16.422","2.074","6.912","0.160"," 7.442"," 9.932","2.729"," 0.801","0.177","100.001","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"interp-09","53.442","0.920","16.326","2.010","6.701","0.155"," 7.062"," 9.494","2.788"," 0.927","0.176","100.001","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"interp-10","54.473","0.897","16.229","1.947","6.489","0.150"," 6.682"," 9.054","2.848"," 1.054","0.176"," 99.999","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"interp-11","55.507","0.875","16.133","1.883","6.277","0.145"," 6.302"," 8.615","2.908"," 1.180","0.176","100.001","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"interp-12","56.541","0.852","16.036","1.820","6.066","0.140"," 5.921"," 8.175","2.968"," 1.307","0.176","100.002","NA","NA","NA","NA","NA","Intermediate","Gabrodiorite",0.3
"interp-13","57.563","0.829","15.935","1.978","5.652","0.135"," 5.540"," 7.733","3.026"," 1.433","0.176","100.000","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-14","58.602","0.806","15.838","1.906","5.447","0.130"," 5.158"," 7.292","3.086"," 1.560","0.175","100.000","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-15","59.639","0.784","15.741","1.835","5.241","0.125"," 4.777"," 6.851","3.145"," 1.687","0.175","100.000","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-16","60.677","0.761","15.644","1.763","5.036","0.120"," 4.395"," 6.410","3.205"," 1.814","0.175","100.000","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-17","61.717","0.738","15.547","1.691","4.831","0.115"," 4.013"," 5.968","3.265"," 1.941","0.175","100.001","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-18","62.757","0.715","15.450","1.619","4.625","0.110"," 3.631"," 5.525","3.325"," 2.069","0.175","100.001","NA","NA","NA","NA","NA","Intermediate","Diorite",0.35
"interp-19","63.789","0.692","15.350","1.709","4.273","0.105"," 3.247"," 5.082","3.384"," 2.195","0.174","100.000","NA","NA","NA","NA","NA","Intermediate","Granodiorite",0.4
"interp-20","64.831","0.669","15.253","1.629","4.073","0.100"," 2.865"," 4.639","3.444"," 2.322","0.174"," 99.999","NA","NA","NA","NA","NA","Intermediate","Granodiorite",0.4
"interp-21","65.875","0.646","15.156","1.550","3.874","0.095"," 2.481"," 4.195","3.505"," 2.450","0.174","100.001","NA","NA","NA","NA","NA","Intermediate","Granodiorite",0.4
