|6.6.6
brophy_1985_al_basalt_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1294129930
12
T(K) P(bar) O Pl Pl Cpx Opx Gt Sp ky qtz Aki
923.150 5000.00 14.9901 72.0709 NaN 12.6997 0.239404 NaN NaN NaN NaN NaN
925.170 5202.02 14.9730 72.0302 NaN 12.7303 0.266484 NaN NaN NaN NaN NaN
927.190 5404.04 14.9557 71.9892 NaN 12.7612 0.293886 NaN NaN NaN NaN NaN
929.211 5606.06 14.9369 71.9449 NaN 12.7945 0.323663 NaN NaN NaN NaN NaN
931.231 5808.08 14.9179 71.9005 NaN 12.8280 0.353588 NaN NaN NaN NaN NaN
933.251 6010.10 14.8976 71.8534 NaN 12.8635 0.385500 NaN NaN NaN NaN NaN
935.271 6212.12 14.8755 71.8025 NaN 12.9018 0.420117 NaN NaN NaN NaN NaN
937.291 6414.14 14.8532 71.7513 NaN 12.9404 0.454999 NaN NaN NaN NaN NaN
939.312 6616.16 14.8291 71.6963 NaN 12.9819 0.492694 NaN NaN NaN NaN NaN
941.332 6818.18 14.8040 71.6396 NaN 13.0248 0.531670 NaN NaN NaN NaN NaN
943.352 7020.20 14.1529 70.3712 NaN 13.8251 NaN 1.65071 NaN NaN NaN NaN
945.372 7222.22 13.4183 69.1203 NaN 14.6027 NaN 2.76622 0.925268E-001 NaN NaN NaN
947.392 7424.24 1.62914 51.6128 NaN 26.4280 NaN 17.5937 2.73641 NaN NaN NaN
949.413 7626.26 NaN 49.0340 NaN 28.0417 NaN 19.8933 3.03105 NaN NaN NaN
951.433 7828.28 NaN 48.8489 NaN 27.9746 NaN 20.2294 2.94701 NaN NaN NaN
953.453 8030.30 NaN 48.6628 NaN 27.9080 NaN 20.5668 2.86247 NaN NaN NaN
955.473 8232.32 NaN 48.4647 NaN 27.8345 NaN 20.9284 2.77232 NaN NaN NaN
957.493 8434.34 NaN 48.2571 NaN 27.7553 NaN 21.3098 2.67772 NaN NaN NaN
959.514 8636.36 NaN 48.0435 NaN 27.6736 NaN 21.7026 2.58031 NaN NaN NaN
961.534 8838.38 NaN 47.8126 NaN 27.5813 NaN 22.1313 2.47481 NaN NaN NaN
963.554 9040.40 NaN 47.5688 NaN 27.4811 NaN 22.5868 2.36328 NaN NaN NaN
965.574 9242.42 NaN 47.3066 NaN 27.3712 NaN 23.0791 2.24312 NaN NaN NaN
967.594 9444.44 NaN 47.0281 NaN 27.2501 NaN 23.6064 2.11535 NaN NaN NaN
969.615 9646.46 NaN 46.7454 NaN 27.1312 NaN 24.1378 1.98560 NaN NaN NaN
971.635 9848.48 NaN 46.4398 NaN 26.9981 NaN 24.7169 1.84520 NaN NaN NaN
973.655 10050.5 NaN 46.1124 NaN 26.8537 NaN 25.3394 1.69459 NaN NaN NaN
975.675 10252.5 NaN 45.7586 NaN 26.7002 NaN 26.0094 1.53177 NaN NaN NaN
977.695 10454.5 NaN 45.3853 NaN 26.5372 NaN 26.7177 1.35982 NaN NaN NaN
979.716 10656.6 NaN 44.9529 NaN 26.3464 NaN 27.5404 1.16036 NaN NaN NaN
981.736 10858.6 NaN 44.5379 NaN 26.1813 NaN 28.3116 0.969226 NaN NaN NaN
983.756 11060.6 NaN 44.0647 NaN 25.9920 NaN 29.1923 0.751014 NaN NaN NaN
985.776 11262.6 NaN 43.5723 NaN 25.8027 NaN 30.1010 0.523977 NaN NaN NaN
987.796 11464.6 NaN 42.9866 NaN 25.6065 NaN 31.1530 0.253947 NaN NaN NaN
989.817 11666.7 NaN 42.4354 NaN 25.4230 NaN 32.1416 NaN NaN NaN NaN
991.837 11868.7 NaN 42.4340 NaN 25.3118 NaN 32.2542 NaN NaN NaN NaN
993.857 12070.7 NaN 42.4321 NaN 25.2123 NaN 32.3556 NaN NaN NaN NaN
995.877 12272.7 NaN 42.4305 NaN 25.1037 NaN 32.4658 NaN NaN NaN NaN
997.897 12474.7 NaN 42.4289 NaN 24.9943 NaN 32.5768 NaN NaN NaN NaN
999.918 12676.8 NaN 42.4273 NaN 24.8873 NaN 32.6854 NaN NaN NaN NaN
1001.94 12878.8 NaN 42.4256 NaN 24.7795 NaN 32.7949 NaN NaN NaN NaN
1003.96 13080.8 NaN 42.4241 NaN 24.6679 NaN 32.9080 NaN NaN NaN NaN
1005.98 13282.8 NaN 42.4222 NaN 24.5725 NaN 33.0054 NaN NaN NaN NaN
1008.00 13484.8 NaN 42.4205 NaN 24.4647 NaN 33.1147 NaN NaN NaN NaN
1010.02 13686.9 NaN 42.3019 NaN 24.4573 NaN 33.1843 NaN 0.564933E-001 NaN NaN
1012.04 13888.9 NaN 39.6187 NaN 26.9686 NaN 32.0657 NaN 1.34703 NaN NaN
1014.06 14090.9 NaN 37.3184 NaN 29.2448 NaN 30.9847 NaN 2.45214 NaN NaN
1016.08 14292.9 NaN 34.6608 NaN 31.7940 NaN 29.8149 NaN 3.73027 NaN NaN
1018.10 14494.9 NaN 31.9682 NaN 34.2661 NaN 28.8410 NaN 4.82177 0.102953 NaN
1020.12 14697.0 NaN 29.3717 NaN 36.4741 NaN 28.2885 NaN 5.44855 0.417132 NaN
1022.14 14899.0 NaN 26.4450 NaN 38.9640 NaN 27.5481 NaN 6.38937 0.653483 NaN
1024.16 15101.0 NaN 23.6210 NaN 41.3801 NaN 26.9599 NaN 7.01657 1.02245 NaN
1026.18 15303.0 NaN 20.5884 NaN 43.9584 NaN 26.4215 NaN 7.53510 1.49658 NaN
1028.20 15505.1 NaN 17.3218 NaN 46.7088 NaN 25.9136 NaN 8.00283 2.05301 NaN
1030.22 15707.1 NaN 13.9725 NaN 49.5605 NaN 25.3462 NaN 8.51285 2.60789 NaN
1032.24 15909.1 NaN 10.3171 NaN 52.6139 NaN 24.8550 NaN 8.93041 3.28358 NaN
1034.26 16111.1 NaN 6.16516 NaN 56.0489 NaN 24.3821 NaN 9.30027 4.10363 NaN
1036.28 16313.1 NaN 1.61661 NaN 59.7728 NaN 23.9316 NaN 9.64807 5.03094 NaN
1038.30 16515.2 NaN NaN NaN 61.0528 NaN 23.8217 NaN 9.75984 5.36564 NaN
1040.32 16717.2 NaN NaN NaN 60.9708 NaN 23.9221 NaN 9.72493 5.38210 NaN
1042.34 16919.2 NaN NaN NaN 60.8968 NaN 24.0119 NaN 9.69552 5.39576 NaN
1044.36 17121.2 NaN NaN NaN 60.8103 NaN 24.1174 NaN 9.65941 5.41285 NaN
1046.38 17323.2 NaN NaN NaN 60.7239 NaN 24.2238 NaN 9.62145 5.43084 NaN
