|6.6.6
hacker_2015_md_xenolith_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1344928522
11
T(K) P(bar) Pl Pl Cpx Cpx Gt ky qtz coes Opx
923.150 5000.00 62.4671 NaN 12.8117 NaN NaN NaN 0.355147 NaN 24.3660
925.170 5202.02 62.4214 NaN 12.8444 NaN NaN NaN 0.366069 NaN 24.3681
927.190 5404.04 62.3746 NaN 12.8784 NaN NaN NaN 0.377289 NaN 24.3697
929.211 5606.06 62.3258 NaN 12.9138 NaN NaN NaN 0.389017 NaN 24.3714
931.231 5808.08 62.2755 NaN 12.9503 NaN NaN NaN 0.401105 NaN 24.3731
933.251 6010.10 62.2230 NaN 12.9886 NaN NaN NaN 0.413775 NaN 24.3747
935.271 6212.12 62.1696 NaN 13.0274 NaN NaN NaN 0.426637 NaN 24.3763
937.291 6414.14 62.1144 NaN 13.0677 NaN NaN NaN 0.439966 NaN 24.3779
939.312 6616.16 62.0563 NaN 13.1100 NaN NaN NaN 0.454018 NaN 24.3796
941.332 6818.18 61.9958 NaN 13.1542 NaN NaN NaN 0.468690 NaN 24.3814
943.352 7020.20 61.9316 NaN 13.2009 NaN NaN NaN 0.484278 NaN 24.3832
945.372 7222.22 61.8665 NaN 13.2488 NaN NaN NaN 0.500093 NaN 24.3846
947.392 7424.24 61.8007 NaN 13.2969 NaN NaN NaN 0.516103 NaN 24.3863
949.413 7626.26 61.7296 NaN 13.3489 NaN NaN NaN 0.533425 NaN 24.3881
951.433 7828.28 61.6565 NaN 13.4028 NaN NaN NaN 0.551259 NaN 24.3895
953.453 8030.30 61.5818 NaN 13.4575 NaN NaN NaN 0.569484 NaN 24.3912
955.473 8232.32 58.3058 NaN 15.3987 NaN 4.21689 NaN 1.45249 NaN 20.6261
957.493 8434.34 53.3920 NaN 18.3330 NaN 10.5495 NaN 2.77584 NaN 14.9496
959.514 8636.36 49.0755 NaN 20.9236 NaN 16.0493 NaN 3.93549 NaN 10.0162
961.534 8838.38 43.9406 NaN 23.9714 NaN 22.6761 NaN 5.31625 NaN 4.09567
963.554 9040.40 40.3069 NaN 26.1325 NaN 27.2708 NaN 6.28974 NaN NaN
965.574 9242.42 40.0689 NaN 26.1193 NaN 27.4628 NaN 6.34908 NaN NaN
967.594 9444.44 39.8115 NaN 26.1051 NaN 27.6699 NaN 6.41344 NaN NaN
969.615 9646.46 39.5677 NaN 26.0943 NaN 27.8637 NaN 6.47421 NaN NaN
971.635 9848.48 39.2983 NaN 26.0798 NaN 28.0803 NaN 6.54169 NaN NaN
973.655 10050.5 39.0253 NaN 26.0662 NaN 28.2984 NaN 6.61006 NaN NaN
975.675 10252.5 38.7411 NaN 26.0520 NaN 28.5255 NaN 6.68133 NaN NaN
977.695 10454.5 38.4486 NaN 26.0381 NaN 28.7586 NaN 6.75473 NaN NaN
979.716 10656.6 38.1170 NaN 26.0197 NaN 29.0250 NaN 6.83833 NaN NaN
981.736 10858.6 37.8086 NaN 26.0056 NaN 29.2700 NaN 6.91580 NaN NaN
983.756 11060.6 37.4706 NaN 25.9905 NaN 29.5380 NaN 7.00098 NaN NaN
985.776 11262.6 37.1250 NaN 25.9765 NaN 29.8104 NaN 7.08806 NaN NaN
987.796 11464.6 36.7619 NaN 25.9615 NaN 30.0969 NaN 7.17967 NaN NaN
989.817 11666.7 36.3781 NaN 25.9491 NaN 30.3961 NaN 7.27662 NaN NaN
991.837 11868.7 35.9630 NaN 25.9370 NaN 30.7184 NaN 7.38166 NaN NaN
993.857 12070.7 35.5325 NaN 25.9266 NaN 31.0503 NaN 7.49059 NaN NaN
995.877 12272.7 35.0872 NaN 25.9256 NaN 31.3839 NaN 7.60329 NaN NaN
997.897 12474.7 34.6401 NaN 25.9192 NaN 31.7243 NaN 7.71641 NaN NaN
999.918 12676.8 34.1593 NaN 25.9235 NaN 32.0790 NaN 7.83816 NaN NaN
1001.94 12878.8 32.7275 NaN 26.8339 NaN 31.9868 0.505402 7.94645 NaN NaN
1003.96 13080.8 30.1520 NaN 28.9181 NaN 31.2713 1.62255 8.03603 NaN NaN
1005.98 13282.8 27.6472 NaN 30.9447 NaN 30.5868 2.68734 8.13397 NaN NaN
1008.00 13484.8 26.0070 NaN 32.2779 NaN 30.2276 3.19604 8.29138 NaN NaN
1010.02 13686.9 23.9875 NaN 33.9215 NaN 29.7541 3.87977 8.45715 NaN NaN
1012.04 13888.9 21.1664 NaN 36.2686 NaN 28.9293 5.05783 8.57785 NaN NaN
1014.06 14090.9 19.3206 NaN 37.7991 NaN 28.5166 5.58706 8.77664 NaN NaN
1016.08 14292.9 17.5355 NaN 39.2761 NaN 28.1614 6.01745 9.00947 NaN NaN
1018.10 14494.9 15.7164 NaN 40.7791 NaN 27.8326 6.39444 9.27750 NaN NaN
1020.12 14697.0 13.8336 NaN 42.3281 NaN 27.5277 6.72670 9.58391 NaN NaN
1022.14 14899.0 11.8354 NaN 43.9660 NaN 27.2375 7.02448 9.93658 NaN NaN
1024.16 15101.0 9.65459 NaN 45.7347 NaN 26.9720 7.28427 10.3543 NaN NaN
1026.18 15303.0 7.06888 NaN 47.7584 NaN 26.8000 7.45198 10.9207 NaN NaN
1028.20 15505.1 4.53696 NaN 49.8262 NaN 26.4910 7.72676 11.4191 NaN NaN
1030.22 15707.1 1.89932 NaN 51.9434 NaN 26.2382 7.94827 11.9708 NaN NaN
1032.24 15909.1 NaN NaN 53.4251 NaN 26.1218 8.06383 12.3893 NaN NaN
1034.26 16111.1 NaN NaN 53.3514 NaN 26.2165 8.02744 12.4046 NaN NaN
1036.28 16313.1 NaN NaN 53.2737 NaN 26.3184 7.98470 12.4231 NaN NaN
1038.30 16515.2 NaN NaN 53.1968 NaN 26.4125 7.95593 12.4348 NaN NaN
1040.32 16717.2 NaN NaN 53.1136 NaN 26.5176 7.91758 12.4512 NaN NaN
1042.34 16919.2 NaN NaN 53.0383 NaN 26.6139 7.88127 12.4666 NaN NaN
1044.36 17121.2 NaN NaN 52.9615 NaN 26.7121 7.84402 12.4824 NaN NaN
1046.38 17323.2 NaN NaN 52.8813 NaN 26.8139 7.80638 12.4985 NaN NaN
1048.40 17525.3 NaN NaN 52.7986 NaN 26.9192 7.76648 12.5157 NaN NaN
1050.42 17727.3 NaN NaN 52.7163 NaN 27.0238 7.72751 12.5324 NaN NaN
1052.44 17929.3 NaN NaN 52.6370 NaN 27.1247 7.68962 12.5486 NaN NaN
1054.46 18131.3 NaN NaN 52.5525 NaN 27.2336 7.64643 12.5675 NaN NaN
1056.48 18333.3 NaN NaN 52.4688 NaN 27.3414 7.60358 12.5862 NaN NaN
1058.50 18535.4 NaN NaN 52.3838 NaN 27.4463 7.56917 12.6008 NaN NaN
1060.52 18737.4 NaN NaN 52.2935 NaN 27.5619 7.52371 12.6209 NaN NaN
1062.54 18939.4 NaN NaN 52.2136 NaN 27.6644 7.48393 12.6380 NaN NaN
1064.56 19141.4 NaN NaN 52.1269 NaN 27.7733 7.44486 12.6549 NaN NaN
1066.58 19343.4 NaN NaN 52.0338 NaN 27.8896 7.40362 12.6730 NaN NaN
1068.60 19545.5 NaN NaN 51.9448 NaN 28.0020 7.36208 12.6911 NaN NaN
1070.62 19747.5 NaN NaN 51.8579 NaN 28.1116 7.32188 12.7086 NaN NaN
1072.64 19949.5 NaN NaN 51.7672 NaN 28.2265 7.27877 12.7275 NaN NaN
1074.67 20151.5 NaN NaN 51.6669 NaN 28.3563 7.22515 12.7517 NaN NaN
1076.69 20353.5 NaN NaN 51.6512 NaN 28.3768 7.22148 12.7505 NaN NaN
1078.71 20555.6 NaN NaN 51.4954 NaN 28.5723 7.14653 12.7858 NaN NaN
1080.73 20757.6 NaN NaN 51.2045 NaN 28.9152 7.04464 12.8357 NaN NaN
1082.75 20959.6 NaN NaN 51.3091 NaN 28.8093 7.05545 12.8261 NaN NaN
1084.77 21161.6 NaN NaN 51.1064 NaN 29.0653 6.95308 12.8753 NaN NaN
1086.79 21363.6 NaN NaN 51.1081 NaN 29.0603 6.96560 12.8660 NaN NaN
1088.81 21565.7 NaN NaN 51.0206 NaN 29.1731 6.92016 12.8861 NaN NaN
1090.83 21767.7 NaN NaN 50.9187 NaN 29.2999 6.87535 12.9060 NaN NaN
1092.85 21969.7 NaN NaN 50.8243 NaN 29.4194 6.83032 12.9260 NaN NaN
1094.87 22171.7 NaN NaN 50.7195 NaN 29.5479 6.78779 12.9448 NaN NaN
1096.89 22373.7 NaN NaN 50.6272 NaN 29.6651 6.74314 12.9645 NaN NaN
1098.91 22575.8 NaN NaN 50.5257 NaN 29.7926 6.69618 12.9855 NaN NaN
1100.93 22777.8 NaN NaN 50.4268 NaN 29.9170 6.65018 13.0060 NaN NaN
1102.95 22979.8 NaN NaN 50.3277 NaN 30.0421 6.60326 13.0269 NaN NaN
1104.97 23181.8 NaN NaN 50.2264 NaN 30.1700 6.55528 13.0484 NaN NaN
1106.99 23383.8 NaN NaN 50.1225 NaN 30.2999 6.50795 13.0696 NaN NaN
1109.01 23585.9 NaN NaN 50.0251 NaN 30.4229 6.46191 13.0900 NaN NaN
1111.03 23787.9 NaN NaN 49.9172 NaN 30.5592 6.41009 13.1135 NaN NaN
1113.05 23989.9 NaN NaN 49.8125 NaN 30.6916 6.35968 13.1362 NaN NaN
1115.07 24191.9 NaN NaN 49.7033 NaN 30.8267 6.31296 13.1571 NaN NaN
1117.09 24393.9 NaN NaN 49.6134 NaN 30.9418 6.26770 13.1771 NaN NaN
1119.11 24596.0 NaN NaN 49.5045 NaN 31.0764 6.22101 13.1980 NaN NaN
1121.13 24798.0 NaN NaN 49.3949 NaN 31.2141 6.16999 13.2211 NaN NaN
1123.15 25000.0 NaN NaN 49.2947 NaN 31.3403 6.12291 13.2421 NaN NaN
