|6.6.6
hacker_2015_md_xenolith_hp_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-2102291210
18
T(K) P(bar) Omph(HP) Omph(HP) Gt(W) Opx(W) Pl(I1,HP) Pl(I1,HP) Pl(I1,HP) ky sph ab q ru kjdh Ilm(WPH) Fsp(C1) melt(G)
923.150 5000.00 15.2462 NaN NaN 22.9637 3.13001 57.5748 NaN NaN NaN NaN NaN NaN NaN 1.08525 NaN NaN
925.170 5202.02 15.2493 NaN NaN 22.9636 57.5883 3.11334 NaN NaN NaN NaN NaN NaN NaN 1.08541 NaN NaN
927.190 5404.04 15.2518 NaN NaN 22.9642 57.5935 3.10495 NaN NaN NaN NaN NaN NaN NaN 1.08556 NaN NaN
929.211 5606.06 15.2419 NaN NaN 22.9770 57.6354 3.06002 NaN NaN NaN NaN NaN NaN NaN 1.08566 NaN NaN
931.231 5808.08 15.2515 NaN NaN 22.9705 57.6292 3.06304 NaN NaN NaN NaN NaN NaN NaN 1.08585 NaN NaN
933.251 6010.10 15.3174 NaN NaN 22.9748 57.5606 3.03861 NaN NaN NaN NaN 0.225476E-001 NaN NaN 1.08613 NaN NaN
935.271 6212.12 15.4564 NaN NaN 22.9825 2.99616 57.4077 NaN NaN NaN NaN 0.707257E-001 NaN NaN 1.08656 NaN NaN
937.291 6414.14 15.5292 NaN NaN 22.9806 2.98986 57.3199 NaN NaN NaN NaN 0.934770E-001 NaN NaN 1.08687 NaN NaN
939.312 6616.16 15.6773 NaN NaN 22.9759 57.1388 2.98013 NaN NaN NaN NaN 0.140476 NaN NaN 1.08735 NaN NaN
941.332 6818.18 15.7559 NaN NaN 22.9743 57.0416 2.97520 NaN NaN NaN NaN 0.165217 NaN NaN 1.08768 NaN NaN
943.352 7020.20 15.9185 NaN NaN 22.9818 56.8578 2.93274 NaN NaN NaN NaN 0.221036 NaN NaN 1.08816 NaN NaN
945.372 7222.22 16.0894 NaN NaN 22.9773 56.6444 2.92445 NaN NaN NaN NaN 0.275670 NaN NaN 1.08869 NaN NaN
947.392 7424.24 16.1802 NaN NaN 22.9759 56.5297 2.92065 NaN NaN NaN NaN 0.304473 NaN NaN 1.08904 NaN NaN
949.413 7626.26 16.3547 NaN NaN 22.9823 56.3259 2.88379 NaN NaN NaN NaN 0.363786 NaN NaN 1.08956 NaN NaN
951.433 7828.28 18.8097 NaN 6.40070 19.0682 51.2879 2.83785 NaN NaN NaN NaN 0.940509 0.655134 NaN NaN NaN NaN
953.453 8030.30 20.9990 NaN 11.7761 14.7121 2.73740 47.0227 NaN NaN NaN NaN 2.08980 0.662858 NaN NaN NaN NaN
955.473 8232.32 22.1805 NaN 14.5715 12.4238 2.62851 1.14103 43.6958 NaN NaN NaN 2.69202 0.666921 NaN NaN NaN NaN
957.493 8434.34 23.8662 NaN 18.3528 9.28511 30.2822 2.32932 11.6909 NaN NaN NaN 3.52107 0.672401 NaN NaN NaN NaN
959.514 8636.36 26.5569 NaN 24.2719 4.32676 3.13704 1.88334 34.3231 NaN NaN NaN 4.82004 0.680880 NaN NaN NaN NaN
