|6.6.6
sammon_2021_averaged_1.tab
1
T(K)
200.00000000000011
200.00000000000011
942523638
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
923.150 5000.00 62.1795 NaN 9.09519 NaN 21.0956 NaN NaN 7.62971 NaN
925.170 5202.02 62.1456 NaN 9.12105 NaN 21.0979 NaN NaN 7.63549 NaN
927.190 5404.04 62.1107 NaN 9.14792 NaN 21.0998 NaN NaN 7.64160 NaN
929.211 5606.06 62.0740 NaN 9.17593 NaN 21.1018 NaN NaN 7.64824 NaN
931.231 5808.08 62.0361 NaN 9.20484 NaN 21.1038 NaN NaN 7.65526 NaN
933.251 6010.10 61.9963 NaN 9.23520 NaN 21.1056 NaN NaN 7.66286 NaN
935.271 6212.12 61.9558 NaN 9.26605 NaN 21.1074 NaN NaN 7.67069 NaN
937.291 6414.14 61.9138 NaN 9.29802 NaN 21.1092 NaN NaN 7.67898 NaN
939.312 6616.16 61.8694 NaN 9.33162 NaN 21.1110 NaN NaN 7.68793 NaN
941.332 6818.18 61.8229 NaN 9.36674 NaN 21.1129 NaN NaN 7.69750 NaN
943.352 7020.20 61.7737 NaN 9.40378 NaN 21.1147 NaN NaN 7.70783 NaN
945.372 7222.22 61.7242 NaN 9.44135 NaN 21.1162 NaN NaN 7.71824 NaN
947.392 7424.24 61.6726 NaN 9.48015 NaN 21.1179 NaN NaN 7.72926 NaN
949.413 7626.26 61.6176 NaN 9.52149 NaN 21.1196 NaN NaN 7.74123 NaN
951.433 7828.28 61.5620 NaN 9.56358 NaN 21.1210 NaN NaN 7.75339 NaN
953.453 8030.30 61.5030 NaN 9.60792 NaN 21.1226 NaN NaN 7.76646 NaN
955.473 8232.32 61.4401 NaN 9.65525 NaN 21.1241 NaN NaN 7.78061 NaN
957.493 8434.34 61.3769 NaN 9.70260 NaN 21.1257 NaN NaN 7.79483 NaN
959.514 8636.36 58.2999 NaN 11.5047 NaN 17.5611 3.95311 NaN 8.68117 NaN
961.534 8838.38 54.1864 NaN 13.9040 NaN 12.7788 9.26482 NaN 9.86609 NaN
963.554 9040.40 50.1152 NaN 16.2825 NaN 8.05779 14.5074 NaN 11.0371 NaN
965.574 9242.42 46.4050 NaN 18.4637 NaN 3.79731 19.2331 NaN 12.1009 NaN
967.594 9444.44 43.0693 NaN 20.4194 NaN NaN 23.4559 NaN 13.0554 NaN
969.615 9646.46 42.8655 NaN 20.4053 NaN NaN 23.6217 NaN 13.1074 NaN
971.635 9848.48 42.6552 NaN 20.3913 NaN NaN 23.7922 NaN 13.1613 NaN
973.655 10050.5 42.4457 NaN 20.3778 NaN NaN 23.9615 NaN 13.2149 NaN
975.675 10252.5 42.2245 NaN 20.3641 NaN NaN 24.1396 NaN 13.2718 NaN
977.695 10454.5 41.9968 NaN 20.3492 NaN NaN 24.3236 NaN 13.3305 NaN
979.716 10656.6 41.7396 NaN 20.3319 NaN NaN 24.5312 NaN 13.3973 NaN
981.736 10858.6 41.4999 NaN 20.3179 NaN NaN 24.7230 NaN 13.4592 NaN
983.756 11060.6 41.2373 NaN 20.3024 NaN NaN 24.9328 NaN 13.5275 NaN
985.776 11262.6 40.9694 NaN 20.2893 NaN NaN 25.1441 NaN 13.5972 NaN
987.796 11464.6 40.6875 NaN 20.2726 NaN NaN 25.3691 NaN 13.6707 NaN
989.817 11666.7 40.3760 NaN 20.2573 NaN NaN 25.6143 NaN 13.7524 NaN
991.837 11868.7 40.0682 NaN 20.2444 NaN NaN 25.8543 NaN 13.8330 NaN
993.857 12070.7 39.7466 NaN 20.2338 NaN NaN 26.1022 NaN 13.9174 NaN
995.877 12272.7 39.2058 NaN 20.4081 NaN NaN 26.2669 0.117881 14.0014 NaN
997.897 12474.7 36.6740 NaN 22.4386 NaN NaN 25.4830 1.34122 14.0632 NaN
999.918 12676.8 34.2611 NaN 24.3844 NaN NaN 24.7441 2.47051 14.1400 NaN
1001.94 12878.8 31.1914 NaN 26.8753 NaN NaN 23.7474 3.98669 14.1992 NaN
1003.96 13080.8 29.2899 NaN 28.4096 NaN NaN 23.2141 4.77923 14.3071 NaN
1005.98 13282.8 27.8483 NaN 29.5645 NaN NaN 22.8783 5.26266 14.4463 NaN
1008.00 13484.8 26.0191 NaN 31.0439 NaN NaN 22.4000 5.95005 14.5871 NaN
1010.02 13686.9 24.6874 NaN 32.1009 NaN NaN 22.1550 6.28697 14.7697 NaN
1012.04 13888.9 22.6331 NaN 33.7952 NaN NaN 21.5676 7.09341 14.9107 NaN
1014.06 14090.9 21.1128 NaN 35.0210 NaN NaN 21.2580 7.49952 15.1088 NaN
1016.08 14292.9 19.5973 NaN 36.2449 NaN NaN 20.9790 7.84176 15.3370 NaN
1018.10 14494.9 18.0355 NaN 37.4947 NaN NaN 20.7270 8.14658 15.5962 NaN
1020.12 14697.0 16.4083 NaN 38.7914 NaN NaN 20.4929 8.41830 15.8891 NaN
1022.14 14899.0 14.6730 NaN 40.1663 NaN NaN 20.2732 8.66408 16.2233 NaN
1024.16 15101.0 12.7747 NaN 41.6556 NaN NaN 20.0740 8.88023 16.6155 NaN
1026.18 15303.0 10.6695 NaN 43.2780 NaN NaN 19.9172 9.04920 17.0861 NaN
1028.20 15505.1 8.49629 NaN 44.9914 NaN NaN 19.6930 9.27196 17.5474 NaN
