|6.6.6
sammon_2021_deep_crust_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3141.98
579.439 5000.00 3140.66
585.729 5000.00 3139.25
592.018 5000.00 3137.73
598.307 5000.00 3136.10
604.597 5000.00 3134.33
610.886 5000.00 3132.41
617.175 5000.00 3130.29
623.464 5000.00 3127.94
629.754 5000.00 3125.30
636.043 5000.00 3122.29
642.332 5000.00 3118.79
648.622 5000.00 3114.62
654.911 5000.00 3109.45
661.200 5000.00 3102.63
667.490 5000.00 2908.37
673.779 5000.00 2897.62
680.068 5000.00 2889.49
686.358 5000.00 2889.00
692.647 5000.00 2888.52
698.936 5000.00 2888.03
705.225 5000.00 2887.54
711.515 5000.00 2887.05
717.804 5000.00 2886.55
724.093 5000.00 2886.05
730.383 5000.00 2885.55
736.672 5000.00 2885.05
742.961 5000.00 2884.55
749.251 5000.00 2884.04
755.540 5000.00 2883.53
761.829 5000.00 2883.01
768.119 5000.00 2882.50
774.408 5000.00 2881.98
780.697 5000.00 2881.46
786.986 5000.00 2880.93
793.276 5000.00 2880.40
799.565 5000.00 2879.86
805.854 5000.00 2879.33
812.144 5000.00 2878.79
818.433 5000.00 2878.24
824.722 5000.00 2877.69
831.012 5000.00 2877.14
837.301 5000.00 2876.58
843.590 5000.00 2876.02
849.880 5000.00 2875.45
856.169 5000.00 2874.88
862.458 5000.00 2874.29
868.747 5000.00 2873.71
875.037 5000.00 2873.11
881.326 5000.00 2872.51
887.615 5000.00 2871.90
893.905 5000.00 2871.27
900.194 5000.00 2870.64
906.483 5000.00 2869.99
912.773 5000.00 2869.32
919.062 5000.00 2868.64
925.351 5000.00 2867.93
931.641 5000.00 2867.20
937.930 5000.00 2866.43
944.219 5000.00 2865.61
950.508 5000.00 2864.71
956.798 5000.00 2863.68
963.087 5000.00 2862.26
969.376 5000.00 2860.94
975.666 5000.00 2860.57
981.955 5000.00 2860.21
988.244 5000.00 2859.84
994.534 5000.00 2859.47
1000.82 5000.00 2859.11
1007.11 5000.00 2858.74
1013.40 5000.00 2858.38
1019.69 5000.00 2858.01
1025.98 5000.00 2857.64
1032.27 5000.00 2857.27
1038.56 5000.00 2856.91
1044.85 5000.00 2856.54
1051.14 5000.00 2856.17
1057.43 5000.00 2855.80
1063.72 5000.00 2855.43
1070.01 5000.00 2855.06
1076.29 5000.00 2854.69
1082.58 5000.00 2854.32
1088.87 5000.00 2853.95
1095.16 5000.00 2853.58
1101.45 5000.00 2853.21
1107.74 5000.00 2852.83
1114.03 5000.00 2852.46
1120.32 5000.00 2852.09
1126.61 5000.00 2851.72
1132.90 5000.00 2851.34
1139.19 5000.00 2850.97
1145.48 5000.00 2850.60
1151.77 5000.00 2850.22
1158.06 5000.00 2849.85
1164.34 5000.00 2849.47
1170.63 5000.00 2849.10
1176.92 5000.00 2848.72
1183.21 5000.00 2848.34
1189.50 5000.00 2847.97
1195.79 5000.00 2847.59
1202.08 5000.00 2847.21
1208.37 5000.00 2846.84
1214.66 5000.00 2846.45
1220.95 5000.00 2846.08
1227.24 5000.00 2845.70
1233.53 5000.00 2845.32
1239.82 5000.00 2844.94
1246.11 5000.00 2844.56
1252.40 5000.00 2844.18
1258.68 5000.00 2843.80
1264.97 5000.00 2843.42
1271.26 5000.00 2843.04
1277.55 5000.00 2842.65
1283.84 5000.00 2842.27
1290.13 5000.00 2841.89
1296.42 5000.00 2841.50
1302.71 5000.00 2841.12
1309.00 5000.00 2840.74
1315.29 5000.00 2840.35
1321.58 5000.00 2839.96
1327.87 5000.00 2839.58
1334.16 5000.00 2839.19
1340.45 5000.00 2838.81
1346.73 5000.00 2838.42
1353.02 5000.00 2838.03
1359.31 5000.00 2837.64
1365.60 5000.00 2837.25
1371.89 5000.00 2836.86
1378.18 5000.00 2836.47
1384.47 5000.00 2836.08
1390.76 5000.00 2835.69
1397.05 5000.00 2835.30
1403.34 5000.00 2834.91
1409.63 5000.00 2834.51
1415.92 5000.00 2834.12
1422.21 5000.00 2833.73
1428.50 5000.00 2833.33
1434.79 5000.00 2832.93
1441.07 5000.00 2832.57
1447.36 5000.00 2832.12
1453.65 5000.00 2831.74
1459.94 5000.00 2831.34
1466.23 5000.00 2830.95
1472.52 5000.00 2830.55
1478.81 5000.00 2830.14
1485.10 5000.00 2829.74
1491.39 5000.00 2829.34
1497.68 5000.00 2828.94
1503.97 5000.00 2828.53
1510.26 5000.00 2828.13
1516.55 5000.00 2827.72
1522.84 5000.00 2827.31
1529.12 5000.00 2826.91
1535.41 5000.00 2826.50
1541.70 5000.00 2826.09
1547.99 5000.00 2825.67
1554.28 5000.00 2825.26
1560.57 5000.00 2824.85
1566.86 5000.00 2824.44
1573.15 5000.00 2824.02
573.150 5125.79 3143.51
579.439 5125.79 3142.25
585.729 5125.79 3140.92
592.018 5125.79 3139.49
598.307 5125.79 3137.96
604.597 5125.79 3136.31
610.886 5125.79 3134.52
617.175 5125.79 3132.57
623.464 5125.79 3130.42
629.754 5125.79 3128.04
636.043 5125.79 3125.36
642.332 5125.79 3122.31
648.622 5125.79 3118.76
654.911 5125.79 3114.52
661.200 5125.79 3109.26
667.490 5125.79 3102.32
673.779 5125.79 3092.01
680.068 5125.79 2903.06
686.358 5125.79 2891.74
692.647 5125.79 2889.13
698.936 5125.79 2888.64
705.225 5125.79 2888.15
711.515 5125.79 2887.66
717.804 5125.79 2887.16
724.093 5125.79 2886.67
730.383 5125.79 2886.17
736.672 5125.79 2885.67
742.961 5125.79 2885.16
749.251 5125.79 2884.66
755.540 5125.79 2884.15
761.829 5125.79 2883.63
768.119 5125.79 2883.12
774.408 5125.79 2882.60
780.697 5125.79 2882.08
786.986 5125.79 2881.55
793.276 5125.79 2881.03
799.565 5125.79 2880.49
805.854 5125.79 2879.96
812.144 5125.79 2879.42
818.433 5125.79 2878.88
824.722 5125.79 2878.33
831.012 5125.79 2877.78
837.301 5125.79 2877.22
843.590 5125.79 2876.66
849.880 5125.79 2876.10
856.169 5125.79 2875.53
862.458 5125.79 2874.95
868.747 5125.79 2874.36
875.037 5125.79 2873.77
881.326 5125.79 2873.17
887.615 5125.79 2872.56
893.905 5125.79 2871.95
900.194 5125.79 2871.32
906.483 5125.79 2870.68
912.773 5125.79 2870.02
919.062 5125.79 2869.34
925.351 5125.79 2868.65
931.641 5125.79 2867.93
937.930 5125.79 2867.18
944.219 5125.79 2866.38
950.508 5125.79 2865.53
956.798 5125.79 2864.57
963.087 5125.79 2863.40
969.376 5125.79 2861.51
975.666 5125.79 2861.12
981.955 5125.79 2860.76
988.244 5125.79 2860.40
994.534 5125.79 2860.03
1000.82 5125.79 2859.67
1007.11 5125.79 2859.30
1013.40 5125.79 2858.93
1019.69 5125.79 2858.57
1025.98 5125.79 2858.20
1032.27 5125.79 2857.83
1038.56 5125.79 2857.47
1044.85 5125.79 2857.10
1051.14 5125.79 2856.73
1057.43 5125.79 2856.36
1063.72 5125.79 2855.99
1070.01 5125.79 2855.63
1076.29 5125.79 2855.26
1082.58 5125.79 2854.89
1088.87 5125.79 2854.52
1095.16 5125.79 2854.15
1101.45 5125.79 2853.78
1107.74 5125.79 2853.41
1114.03 5125.79 2853.03
1120.32 5125.79 2852.66
1126.61 5125.79 2852.29
1132.90 5125.79 2851.92
1139.19 5125.79 2851.55
1145.48 5125.79 2851.17
1151.77 5125.79 2850.80
1158.06 5125.79 2850.43
1164.34 5125.79 2850.05
1170.63 5125.79 2849.68
1176.92 5125.79 2849.30
1183.21 5125.79 2848.93
1189.50 5125.79 2848.55
1195.79 5125.79 2848.18
1202.08 5125.79 2847.80
1208.37 5125.79 2847.42
1214.66 5125.79 2847.05
1220.95 5125.79 2846.67
1227.24 5125.79 2846.29
1233.53 5125.79 2845.91
1239.82 5125.79 2845.53
1246.11 5125.79 2845.15
1252.40 5125.79 2844.77
1258.68 5125.79 2844.39
1264.97 5125.79 2844.01
1271.26 5125.79 2843.63
1277.55 5125.79 2843.25
1283.84 5125.79 2842.87
1290.13 5125.79 2842.49
1296.42 5125.79 2842.11
1302.71 5125.79 2841.72
1309.00 5125.79 2841.34
1315.29 5125.79 2840.96
1321.58 5125.79 2840.57
1327.87 5125.79 2840.19
1334.16 5125.79 2839.80
1340.45 5125.79 2839.42
1346.73 5125.79 2839.03
1353.02 5125.79 2838.64
1359.31 5125.79 2838.26
1365.60 5125.79 2837.87
1371.89 5125.79 2837.48
1378.18 5125.79 2837.09
1384.47 5125.79 2836.70
1390.76 5125.79 2836.31
1397.05 5125.79 2835.92
1403.34 5125.79 2835.53
1409.63 5125.79 2835.14
1415.92 5125.79 2834.75
1422.21 5125.79 2834.35
1428.50 5125.79 2833.96
1434.79 5125.79 2833.57
1441.07 5125.79 2833.08
1447.36 5125.79 2832.63
1453.65 5125.79 2832.38
1459.94 5125.79 2831.98
1466.23 5125.79 2831.59
1472.52 5125.79 2831.19
1478.81 5125.79 2830.79
1485.10 5125.79 2830.39
1491.39 5125.79 2829.99
1497.68 5125.79 2829.59
1503.97 5125.79 2829.18
1510.26 5125.79 2828.78
1516.55 5125.79 2828.38
1522.84 5125.79 2827.97
1529.12 5125.79 2827.56
1535.41 5125.79 2827.16
1541.70 5125.79 2826.75
1547.99 5125.79 2826.34
1554.28 5125.79 2825.93
1560.57 5125.79 2825.52
1566.86 5125.79 2825.10
1573.15 5125.79 2824.69
573.150 5251.57 3145.00
579.439 5251.57 3143.82
585.729 5251.57 3142.54
592.018 5251.57 3141.19
598.307 5251.57 3139.74
604.597 5251.57 3138.19
610.886 5251.57 3136.52
617.175 5251.57 3134.71
623.464 5251.57 3132.74
629.754 5251.57 3130.56
