|6.6.6
sammon_2021_deep_crust_hp_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3099.13
579.439 5000.00 3101.32
585.729 5000.00 3100.62
592.018 5000.00 3099.93
598.307 5000.00 3099.23
604.597 5000.00 3098.53
610.886 5000.00 3097.82
617.175 5000.00 3097.11
623.464 5000.00 3096.40
629.754 5000.00 3095.68
636.043 5000.00 3094.96
642.332 5000.00 2902.02
648.622 5000.00 2898.15
654.911 5000.00 2894.11
661.200 5000.00 2893.24
667.490 5000.00 2892.76
673.779 5000.00 2892.26
680.068 5000.00 2891.77
686.358 5000.00 2891.26
692.647 5000.00 2890.74
698.936 5000.00 2890.20
705.225 5000.00 2889.64
711.515 5000.00 2889.07
717.804 5000.00 2886.55
724.093 5000.00 2886.04
730.383 5000.00 2885.54
736.672 5000.00 2884.98
742.961 5000.00 2884.49
749.251 5000.00 2883.99
755.540 5000.00 2883.49
761.829 5000.00 2882.99
768.119 5000.00 2882.49
774.408 5000.00 2881.97
780.697 5000.00 2881.29
786.986 5000.00 2880.61
793.276 5000.00 2879.92
799.565 5000.00 2879.24
805.854 5000.00 2878.55
812.144 5000.00 2877.86
818.433 5000.00 2877.17
824.722 5000.00 2876.47
831.012 5000.00 2875.77
837.301 5000.00 2875.07
843.590 5000.00 2874.36
849.880 5000.00 2873.65
856.169 5000.00 2872.94
862.458 5000.00 2872.22
868.747 5000.00 2871.50
875.037 5000.00 2870.77
881.326 5000.00 2870.15
887.615 5000.00 2869.59
893.905 5000.00 2869.02
900.194 5000.00 2868.44
906.483 5000.00 2867.85
912.773 5000.00 2867.25
919.062 5000.00 2866.65
925.351 5000.00 2866.01
931.641 5000.00 2865.35
937.930 5000.00 2864.67
944.219 5000.00 2863.96
950.508 5000.00 2863.20
956.798 5000.00 2862.38
963.087 5000.00 2861.38
969.376 5000.00 2860.03
975.666 5000.00 2859.62
981.955 5000.00 2859.20
988.244 5000.00 2858.78
994.534 5000.00 2858.36
1000.82 5000.00 2857.95
1007.11 5000.00 2857.53
1013.40 5000.00 2857.11
1019.69 5000.00 2856.68
1025.98 5000.00 2856.27
1032.27 5000.00 2855.85
1038.56 5000.00 2855.43
1044.85 5000.00 2855.01
1051.14 5000.00 2854.60
1057.43 5000.00 2854.18
1063.72 5000.00 2853.76
1070.01 5000.00 2853.33
1076.29 5000.00 2852.91
1082.58 5000.00 2852.49
1088.87 5000.00 2852.08
1095.16 5000.00 2851.65
1101.45 5000.00 2851.23
1107.74 5000.00 2850.81
1114.03 5000.00 2850.39
1120.32 5000.00 2849.97
1126.61 5000.00 2849.55
1132.90 5000.00 2849.12
1139.19 5000.00 2848.70
1145.48 5000.00 2848.28
1151.77 5000.00 2847.85
1158.06 5000.00 2847.43
1164.34 5000.00 2847.01
1170.63 5000.00 2846.58
1176.92 5000.00 2846.15
1183.21 5000.00 2845.73
1189.50 5000.00 2845.30
1195.79 5000.00 2844.87
1202.08 5000.00 2844.44
1208.37 5000.00 2844.01
1214.66 5000.00 2843.58
1220.95 5000.00 2843.15
1227.24 5000.00 2842.72
1233.53 5000.00 2842.28
1239.82 5000.00 2841.85
1246.11 5000.00 2841.41
1252.40 5000.00 2840.98
1258.68 5000.00 2840.54
1264.97 5000.00 2840.10
1271.26 5000.00 2839.66
1277.55 5000.00 2839.21
1283.84 5000.00 2838.78
