|6.6.6
sammon_2021_lower_crust_hp_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3200.29
579.439 5000.00 3202.92
585.729 5000.00 3202.16
592.018 5000.00 3201.40
598.307 5000.00 3200.63
604.597 5000.00 3199.87
610.886 5000.00 3199.10
617.175 5000.00 3198.32
623.464 5000.00 3197.55
629.754 5000.00 3196.77
636.043 5000.00 3196.00
642.332 5000.00 2961.60
648.622 5000.00 2961.22
654.911 5000.00 2960.84
661.200 5000.00 2960.44
667.490 5000.00 2960.04
673.779 5000.00 2959.62
680.068 5000.00 2959.20
686.358 5000.00 2958.76
692.647 5000.00 2958.31
698.936 5000.00 2957.84
705.225 5000.00 2957.35
711.515 5000.00 2956.85
717.804 5000.00 2954.75
724.093 5000.00 2954.32
730.383 5000.00 2953.89
736.672 5000.00 2953.42
742.961 5000.00 2952.99
749.251 5000.00 2952.57
755.540 5000.00 2952.14
761.829 5000.00 2951.71
768.119 5000.00 2951.28
774.408 5000.00 2950.85
780.697 5000.00 2950.42
786.986 5000.00 2949.99
793.276 5000.00 2949.56
799.565 5000.00 2949.12
805.854 5000.00 2948.69
812.144 5000.00 2948.26
818.433 5000.00 2947.82
824.722 5000.00 2947.39
831.012 5000.00 2946.96
837.301 5000.00 2946.52
843.590 5000.00 2946.09
849.880 5000.00 2945.65
856.169 5000.00 2945.22
862.458 5000.00 2944.79
868.747 5000.00 2944.35
875.037 5000.00 2943.92
881.326 5000.00 2943.48
887.615 5000.00 2943.04
893.905 5000.00 2942.58
900.194 5000.00 2942.01
906.483 5000.00 2941.34
912.773 5000.00 2940.67
919.062 5000.00 2939.99
925.351 5000.00 2939.30
931.641 5000.00 2938.61
937.930 5000.00 2937.91
944.219 5000.00 2937.20
950.508 5000.00 2936.47
956.798 5000.00 2935.73
963.087 5000.00 2934.95
969.376 5000.00 2934.08
975.666 5000.00 2933.36
981.955 5000.00 2932.64
988.244 5000.00 2931.96
994.534 5000.00 2931.53
1000.82 5000.00 2931.09
1007.11 5000.00 2930.66
1013.40 5000.00 2930.22
1019.69 5000.00 2929.78
1025.98 5000.00 2929.35
1032.27 5000.00 2928.90
1038.56 5000.00 2928.46
1044.85 5000.00 2928.02
1051.14 5000.00 2927.58
1057.43 5000.00 2927.13
1063.72 5000.00 2926.69
1070.01 5000.00 2926.24
1076.29 5000.00 2925.80
1082.58 5000.00 2925.35
1088.87 5000.00 2924.90
1095.16 5000.00 2924.45
1101.45 5000.00 2924.00
1107.74 5000.00 2923.55
1114.03 5000.00 2923.10
1120.32 5000.00 2922.65
1126.61 5000.00 2922.19
1132.90 5000.00 2921.74
