|6.6.6
sammon_2021_lower_crust_modified_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3225.62
579.439 5000.00 3224.40
585.729 5000.00 3223.09
592.018 5000.00 3221.70
598.307 5000.00 3220.21
604.597 5000.00 3218.60
610.886 5000.00 3216.84
617.175 5000.00 3214.91
623.464 5000.00 3212.77
629.754 5000.00 3210.37
636.043 5000.00 3207.64
642.332 5000.00 3204.48
648.622 5000.00 3200.71
654.911 5000.00 3196.04
661.200 5000.00 3189.89
667.490 5000.00 2949.31
673.779 5000.00 2947.35
680.068 5000.00 2946.91
686.358 5000.00 2946.47
692.647 5000.00 2946.03
698.936 5000.00 2945.59
705.225 5000.00 2945.14
711.515 5000.00 2944.70
717.804 5000.00 2944.25
724.093 5000.00 2943.80
730.383 5000.00 2943.35
736.672 5000.00 2942.89
742.961 5000.00 2942.44
749.251 5000.00 2941.98
755.540 5000.00 2941.53
761.829 5000.00 2941.07
768.119 5000.00 2940.60
774.408 5000.00 2940.14
780.697 5000.00 2939.67
786.986 5000.00 2939.20
793.276 5000.00 2938.73
799.565 5000.00 2938.27
805.854 5000.00 2937.78
812.144 5000.00 2937.30
818.433 5000.00 2936.82
824.722 5000.00 2936.34
831.012 5000.00 2935.86
837.301 5000.00 2935.37
843.590 5000.00 2934.88
849.880 5000.00 2934.39
856.169 5000.00 2933.90
862.458 5000.00 2933.41
868.747 5000.00 2932.91
875.037 5000.00 2932.41
881.326 5000.00 2931.90
887.615 5000.00 2931.40
893.905 5000.00 2930.88
900.194 5000.00 2930.37
906.483 5000.00 2929.84
912.773 5000.00 2929.31
919.062 5000.00 2928.77
925.351 5000.00 2928.23
931.641 5000.00 2927.67
937.930 5000.00 2927.09
944.219 5000.00 2926.49
950.508 5000.00 2925.86
956.798 5000.00 2925.18
963.087 5000.00 2924.33
969.376 5000.00 2923.52
975.666 5000.00 2923.12
981.955 5000.00 2922.71
988.244 5000.00 2922.31
994.534 5000.00 2921.91
1000.82 5000.00 2921.51
1007.11 5000.00 2921.10
1013.40 5000.00 2920.70
1019.69 5000.00 2920.30
1025.98 5000.00 2919.90
1032.27 5000.00 2919.49
1038.56 5000.00 2919.09
1044.85 5000.00 2918.68
1051.14 5000.00 2918.28
1057.43 5000.00 2917.88
1063.72 5000.00 2917.47
1070.01 5000.00 2917.07
1076.29 5000.00 2916.66
1082.58 5000.00 2916.26
1088.87 5000.00 2915.85
1095.16 5000.00 2915.44
1101.45 5000.00 2915.04
1107.74 5000.00 2914.63
1114.03 5000.00 2914.23
1120.32 5000.00 2913.82
1126.61 5000.00 2913.41
1132.90 5000.00 2913.01
1139.19 5000.00 2912.60
1145.48 5000.00 2912.19
