T(K)           P(bar)         Pl             Pl             Cpx            Opx            qtz            Gt             ky            
  773.000        25000.0                 NaN            NaN   55.2979                 NaN   10.9423        23.1336        10.6262     
  778.051        24798.0                 NaN            NaN   55.2733                 NaN   10.9531        23.1641        10.6095     
  783.101        24596.0                 NaN            NaN   55.2840                 NaN   10.9563        23.1517        10.6079     
  788.152        24393.9                 NaN            NaN   55.2021                 NaN   10.9801        23.2520        10.5658     
  793.202        24191.9                 NaN            NaN   55.1636                 NaN   10.9945        23.2996        10.5424     
  798.253        23989.9                 NaN            NaN   55.1376                 NaN   11.0064        23.3323        10.5237     
  803.303        23787.9                 NaN            NaN   55.0984                 NaN   11.0215        23.3811        10.4990     
  808.354        23585.9                 NaN            NaN   55.0685                 NaN   11.0347        23.4189        10.4779     
  813.404        23383.8                 NaN            NaN   55.0196                 NaN   11.0530        23.4804        10.4470     
  818.455        23181.8                 NaN            NaN   54.9935                 NaN   11.0657        23.5138        10.4270     
  823.505        22979.8                 NaN            NaN   54.9708                 NaN   11.0781        23.5434        10.4077     
  828.556        22777.8                 NaN            NaN   54.9428                 NaN   11.0921        23.5798        10.3854     
  833.606        22575.8                 NaN            NaN   54.9158                 NaN   11.1062        23.6152        10.3628     
  838.657        22373.7                 NaN            NaN   54.9134                 NaN   11.1143        23.6202        10.3521     
  843.707        22171.7                 NaN            NaN   54.8526                 NaN   11.1378        23.6983        10.3113     
  848.758        21969.7                 NaN            NaN   54.8156                 NaN   11.1553        23.7469        10.2822     
  853.808        21767.7                 NaN            NaN   54.7937                 NaN   11.1699        23.7775        10.2589     
  858.859        21565.7                 NaN            NaN   54.7755                 NaN   11.1838        23.8037        10.2370     
  863.909        21363.6                 NaN            NaN   54.7327                 NaN   11.2045        23.8609        10.2019     
  868.960        21161.6                 NaN            NaN   54.7046                 NaN   11.2221        23.9004        10.1730     
  874.010        20959.6                 NaN            NaN   54.6158                 NaN   11.2518        24.0118        10.1206     
  879.061        20757.6                 NaN            NaN   54.6368                 NaN   11.2615        23.9949        10.1068     
  884.111        20555.6                 NaN            NaN   54.6253                 NaN   11.2769        24.0154        10.0823     
  889.162        20353.5                 NaN            NaN   54.5838                 NaN   11.2986        24.0719        10.0457     
  894.212        20151.5                 NaN            NaN   54.5834                 NaN   11.3144        24.0819        10.0202     
  899.263        19949.5                 NaN            NaN   54.5617                 NaN   11.3360        24.1187        9.98358     
  904.313        19747.5                 NaN            NaN   54.5104                 NaN   11.3623        24.1891        9.93823     
  909.364        19545.5                 NaN            NaN   54.4899                 NaN   11.3839        24.2244        9.90182     
  914.414        19343.4                 NaN            NaN   54.4996                 NaN   11.3988        24.2230        9.87857     
  919.465        19141.4                 NaN            NaN   54.4100                 NaN   11.4348        24.3406        9.81455     
  924.515        18939.4                 NaN            NaN   54.3745                 NaN   11.4574        24.3911        9.77693     
  929.566        18737.4                 NaN            NaN   54.3760                 NaN   11.4798        24.4056        9.73866     
  934.616        18535.4                 NaN            NaN   54.3395                 NaN   11.5251        24.4802        9.65528     
  939.667        18333.3                 NaN            NaN   54.3402                 NaN   11.5514        24.4984        9.61003     
  944.717        18131.3                 NaN            NaN   54.2835                 NaN   11.5773        24.5723        9.56690     
  949.768        17929.3                 NaN            NaN   54.2233                 NaN   11.6161        24.6633        9.49728     
  954.818        17727.3                 NaN            NaN   54.2055                 NaN   11.6456        24.7027        9.44620     
  959.869        17525.3                 NaN            NaN   54.1715                 NaN   11.6815        24.7643        9.38272     
  964.919        17323.2                 NaN            NaN   54.1467                 NaN   11.7183        24.8175        9.31756     
  969.970        17121.2                 NaN            NaN   54.1115                 NaN   11.7578        24.8835        9.24724     
  975.020        16919.2                 NaN            NaN   54.0782                 NaN   11.7994        24.9497        9.17282     
  980.071        16717.2                 NaN            NaN   54.0470                 NaN   11.8424        25.0148        9.09571     
  985.121        16515.2                 NaN            NaN   54.0143                 NaN   11.8886        25.0844        9.01268     
  990.172        16313.1                 NaN            NaN   53.9801                 NaN   11.9365        25.1571        8.92623     
  995.222        16111.1                 NaN            NaN   53.9477                 NaN   11.9871        25.2304        8.83477     
  1000.27        15909.1                 NaN            NaN   53.9132                 NaN   12.0406        25.3084        8.73790     
  1005.32        15707.1                 NaN            NaN   53.8815                 NaN   12.0970        25.3862        8.63528     
  1010.37        15505.1       0.189723                 NaN   53.6931                 NaN   12.1143        25.4872        8.51568     
  1015.42        15303.0        4.95709                 NaN   49.7827                 NaN   11.1580        26.0689        8.03336     
  1020.47        15101.0        8.92799                 NaN   46.4204                 NaN   10.4401        26.7351        7.47643     
  1025.53        14899.0        12.4366                 NaN   43.3636                 NaN   9.88950        27.4918        6.81853     
  1030.58        14697.0        15.8375                 NaN   40.3311                 NaN   9.43836        28.3764        6.01666     
  1035.63        14494.9        19.2662                 NaN   37.2282                 NaN   9.09645        29.4265        4.98263     
  1040.68        14292.9        23.1244                 NaN   33.7305                 NaN   8.82992        30.7338        3.58137     
  1045.73        14090.9        28.4075                 NaN   29.0421                 NaN   8.65495        32.6181        1.27739     
  1050.78        13888.9        31.6877                 NaN   26.4574                 NaN   8.46952        33.3854                 NaN
  1055.83        13686.9        32.4682                 NaN   26.4341                 NaN   8.27321        32.8245                 NaN
  1060.88        13484.8        33.2091                 NaN   26.4161                 NaN   8.08714        32.2877                 NaN
  1065.93        13282.8        33.8613                 NaN   26.4217                 NaN   7.92392        31.7931                 NaN
  1070.98        13080.8        34.4670                 NaN   26.4358                 NaN   7.77279        31.3243                 NaN
  1076.03        12878.8        35.0214                 NaN   26.4627                 NaN   7.63503        30.8808                 NaN
  1081.08        12676.8        35.5228                 NaN   26.4653                 NaN   7.51209        30.4998                 NaN
  1086.13        12474.7        35.7836                 NaN   26.6368                 NaN   7.45033        30.1292                 NaN
  1091.18        12272.7        35.9586                 NaN   26.8096                 NaN   7.41177        29.8200                 NaN
  1096.23        12070.7        37.3602                 NaN   26.2758                 NaN   7.05824        29.3058                 NaN
  1101.28        11868.7        37.5969                 NaN   26.3793                 NaN   7.00587        29.0179                 NaN
  1106.33        11666.7        37.8403                 NaN   26.5890                 NaN   6.95183        28.6189                 NaN
  1111.38        11464.6        37.9789                 NaN   26.7162                 NaN   6.93185        28.3731                 NaN
  1116.43        11262.6        38.1042                 NaN   26.8322                 NaN   6.92608        28.1375                 NaN
  1121.48        11060.6        38.6520                 NaN   26.7005                 NaN   6.78218        27.8652                 NaN
  1126.54        10858.6        39.1783                 NaN   26.5647                 NaN   6.64415        27.6129                 NaN
  1131.59        10656.6        41.0459                 NaN   25.5402        2.17370        6.13487        25.1053                 NaN
  1136.64        10454.5        47.1166                 NaN   21.9720        9.46642        4.47701        16.9681                 NaN
  1141.69        10252.5        54.4536                 NaN   17.6813        17.8907        2.47673        7.49763                 NaN
  1146.74        10050.5        60.0025                 NaN   14.4940        24.5438       0.959701                 NaN            NaN
  1151.79        9848.48        60.0929                 NaN   14.4091        24.5618       0.936231                 NaN            NaN
  1156.84        9646.46        60.3345                 NaN   14.2537        24.5380       0.873804                 NaN            NaN
  1161.89        9444.44        60.4033                 NaN   14.1877        24.5530       0.855995                 NaN            NaN
  1166.94        9242.42        60.4331                 NaN   14.1465        24.5721       0.848226                 NaN            NaN
  1171.99        9040.40        60.4622                 NaN   14.1052        24.5919       0.840626                 NaN            NaN
  1177.04        8838.38        60.4901                 NaN   14.0645        24.6120       0.833336                 NaN            NaN
  1182.09        8636.36        60.5164                 NaN   14.0262        24.6310       0.826463                 NaN            NaN
  1187.14        8434.34        60.5343                 NaN   14.0040        24.6401       0.821679                 NaN            NaN
  1192.19        8232.32        60.5417                 NaN   14.0029        24.6359       0.819512                 NaN            NaN
  1197.24        8030.30        60.5674                 NaN   13.9614        24.6584       0.812761                 NaN            NaN
  1202.29        7828.28        60.5926                 NaN   13.9200        24.6813       0.806153                 NaN            NaN
  1207.34        7626.26        60.9125                 NaN   13.6647        24.6986       0.724200                 NaN            NaN
  1212.39        7424.24        60.9543                 NaN   13.6120        24.7205       0.713200                 NaN            NaN
  1217.44        7222.22        61.0413                 NaN   13.5254        24.7426       0.690712                 NaN            NaN
  1222.49        7020.20        61.0752                 NaN   13.5065        24.7365       0.681812                 NaN            NaN
  1227.55        6818.18        61.1818                 NaN   13.3915        24.7725       0.654197                 NaN            NaN
  1232.60        6616.16        61.2699                 NaN   13.3231        24.7756       0.631309                 NaN            NaN
  1237.65        6414.14        61.2525                 NaN   13.3191        24.7927       0.635616                 NaN            NaN
  1242.70        6212.12        61.2868                 NaN   13.2631        24.8235       0.626616                 NaN            NaN
  1247.75        6010.10        61.3405                 NaN   13.1863        24.8606       0.612590                 NaN            NaN
  1252.80        5808.08        61.3377                 NaN   13.1749        24.8742       0.613118                 NaN            NaN
  1257.85        5606.06        61.3888                 NaN   13.1168        24.8947       0.599776                 NaN            NaN
  1262.90        5404.04        61.4072                 NaN   13.0734        24.9246       0.594803                 NaN            NaN
  1267.95        5202.02        61.4334                 NaN   13.0541        24.9246       0.587849                 NaN            NaN
  1273.00        5000.00        61.4617                 NaN   13.0073        24.9507       0.580338                 NaN            NaN
