T(K)           P(bar)         rho,kg/m3     
  273.000        5000.00        3502.33     
  279.289        5000.00        3501.89     
  285.579        5000.00        3501.47     
  291.868        5000.00        3500.66     
  298.157        5000.00        3500.22     
  304.447        5000.00        3499.77     
  310.736        5000.00        3499.33     
  317.025        5000.00        3498.13     
  323.314        5000.00        3497.67     
  329.604        5000.00        3497.21     
  335.893        5000.00        3496.73     
  342.182        5000.00        3495.97     
  348.472        5000.00        3495.16     
  354.761        5000.00        3495.19     
  361.050        5000.00        3493.72     
  367.340        5000.00        3493.23     
  373.629        5000.00        3492.84     
  379.918        5000.00        3492.16     
  386.208        5000.00        3491.46     
  392.497        5000.00        3490.77     
  398.786        5000.00        3490.06     
  405.075        5000.00        3489.33     
  411.365        5000.00        3488.63     
  417.654        5000.00        3445.16     
  423.943        5000.00        3443.27     
  430.233        5000.00        3441.36     
  436.522        5000.00        3439.38     
  442.811        5000.00        3437.30     
  449.101        5000.00        3410.17     
  455.390        5000.00        3407.78     
  461.679        5000.00        3348.92     
  467.969        5000.00        3348.43     
  474.258        5000.00        3347.92     
  480.547        5000.00        3347.41     
  486.836        5000.00        3346.89     
  493.126        5000.00        3346.36     
  499.415        5000.00        3345.83     
  505.704        5000.00        3345.28     
  511.994        5000.00        3344.73     
  518.283        5000.00        3344.17     
  524.572        5000.00        3343.60     
  530.862        5000.00        3343.03     
  537.151        5000.00        3342.44     
  543.440        5000.00        3338.26     
  549.730        5000.00        3337.19     
  556.019        5000.00        3336.07     
  562.308        5000.00        3334.92     
  568.597        5000.00        3333.75     
  574.887        5000.00        3332.51     
  581.176        5000.00        3331.22     
  587.465        5000.00        3329.86     
  593.755        5000.00        3328.43     
  600.044        5000.00        3326.92     
  606.333        5000.00        3325.33     
  612.623        5000.00        3323.62     
  618.912        5000.00        3321.76     
  625.201        5000.00        3319.69     
  631.491        5000.00        3317.40     
  637.780        5000.00        3314.82     
  644.069        5000.00        3311.89     
  650.358        5000.00        3308.45     
  656.648        5000.00        3304.47     
  662.937        5000.00        3299.18     
  669.226        5000.00        3291.77     
  675.516        5000.00        3092.03     
  681.805        5000.00        3087.69     
  688.094        5000.00        3087.30     
  694.384        5000.00        3086.91     
  700.673        5000.00        3086.52     
  706.962        5000.00        3086.13     
  713.252        5000.00        3085.72     
  719.541        5000.00        3085.34     
  725.830        5000.00        3084.95     
  732.119        5000.00        3084.55     
  738.409        5000.00        3084.15     
  744.698        5000.00        3083.75     
  750.987        5000.00        3012.77     
  757.277        5000.00        3012.32     
  763.566        5000.00        3011.84     
  769.855        5000.00        3011.38     
  776.145        5000.00        3010.91     
  782.434        5000.00        3010.45     
  788.723        5000.00        3009.98     
  795.013        5000.00        3009.52     
  801.302        5000.00        3009.06     
  807.591        5000.00        3008.60     
  813.881        5000.00        3008.13     
  820.170        5000.00        3007.67     
  826.459        5000.00        3007.21     
  832.748        5000.00        3006.75     
  839.038        5000.00        3006.31     
  845.327        5000.00        3005.83     
  851.616        5000.00        3005.37     
  857.906        5000.00        3004.91     
  864.195        5000.00        3004.45     
  870.484        5000.00        3003.99     
  876.774        5000.00        3003.54     
  883.063        5000.00        3003.08     
  889.352        5000.00        3002.61     
  895.642        5000.00        3002.15     
  901.931        5000.00        3001.69     
  908.220        5000.00        3001.24     
  914.509        5000.00        3000.78     
  920.799        5000.00        3000.32     
  927.088        5000.00        2999.89     
  933.377        5000.00        2999.34     
  939.667        5000.00        2998.92     
  945.956        5000.00        2998.51     
  952.245        5000.00        2998.07     
  958.535        5000.00        2997.49     
  964.824        5000.00        2997.04     
  971.113        5000.00        2996.58     
  977.403        5000.00        2996.13     
  983.692        5000.00        2995.68     
  989.981        5000.00        2995.22     
  996.270        5000.00        2993.50     
  1002.56        5000.00        2994.35     
  1008.85        5000.00        2993.91     
  1015.14        5000.00        2993.61     
  1021.43        5000.00        2994.15     
  1027.72        5000.00        2992.73     
  1034.01        5000.00        2992.29     
  1040.30        5000.00        2991.85     
  1046.58        5000.00        2991.42     
  1052.87        5000.00        2990.98     
  1059.16        5000.00        2990.53     
  1065.45        5000.00        2990.09     
  1071.74        5000.00        2989.52     
  1078.03        5000.00        2989.10     
  1084.32        5000.00        2988.72     
  1090.61        5000.00        2989.74     
  1096.90        5000.00        2989.23     
  1103.19        5000.00        2988.76     
  1109.48        5000.00        2988.29     
  1115.77        5000.00        2987.82     
  1122.06        5000.00        2987.35     
  1128.35        5000.00        2986.88     
  1134.64        5000.00        2986.49     
  1140.92        5000.00        2986.02     
  1147.21        5000.00        2985.55     
  1153.50        5000.00        2985.07     
  1159.79        5000.00        2984.60     
  1166.08        5000.00        2984.13     
  1172.37        5000.00        2983.66     
  1178.66        5000.00        2983.59     
  1184.95        5000.00        2982.97     
  1191.24        5000.00        2982.61     
  1197.53        5000.00        2982.12     
  1203.82        5000.00        2981.61     
  1210.11        5000.00        2981.01     
  1216.40        5000.00        2980.14     
  1222.69        5000.00        2980.96     
  1228.97        5000.00        2980.48     
  1235.26        5000.00        2980.00     
  1241.55        5000.00        2979.76     
  1247.84        5000.00        2979.26     
  1254.13        5000.00        2978.89     
  1260.42        5000.00        2978.13     
  1266.71        5000.00        2977.65     
  1273.00        5000.00        2977.17     
  273.000        5125.79        3502.70     
  279.289        5125.79        3502.27     
  285.579        5125.79        3501.84     
  291.868        5125.79        3501.05     
  298.157        5125.79        3500.60     
  304.447        5125.79        3500.15     
  310.736        5125.79        3499.72     
  317.025        5125.79        3498.50     
  323.314        5125.79        3498.06     
  329.604        5125.79        3497.59     
  335.893        5125.79        3497.14     
  342.182        5125.79        3496.52     
  348.472        5125.79        3495.90     
  354.761        5125.79        3495.59     
  361.050        5125.79        3494.24     
