T(K)           P(bar)         rho,kg/m3
  273.000        0.00000        3245.02     
  285.579        0.00000        3244.03     
  298.157        0.00000        3243.01     
  310.736        0.00000        3241.95     
  323.314        0.00000        3240.85     
  335.893        0.00000        3239.98     
  348.472        0.00000        3238.92     
  361.050        0.00000        3237.83     
  373.629        0.00000        3236.70     
  386.208        0.00000        3235.53     
  398.786        0.00000        3234.32     
  411.365        0.00000        3233.06     
  423.943        0.00000        3231.75     
  436.522        0.00000        3230.37     
  449.101        0.00000        3228.91     
  461.679        0.00000        3227.28     
  474.258        0.00000        3225.54     
  486.836        0.00000        3224.05     
  499.415        0.00000        3211.31     
  511.994        0.00000        3210.24     
  524.572        0.00000        3209.15     
  537.151        0.00000        3208.07     
  549.730        0.00000        3206.97     
  562.308        0.00000        3205.86     
  574.887        0.00000        3204.74     
  587.465        0.00000        3203.62     
  600.044        0.00000        3202.49     
  612.623        0.00000        3201.35     
  625.201        0.00000        3200.20     
  637.780        0.00000        3199.05     
  650.358        0.00000        3197.89     
  662.937        0.00000        3196.72     
  675.516        0.00000        3195.54     
  688.094        0.00000        3194.36     
  700.673        0.00000        3193.17     
  713.252        0.00000        3191.97     
  725.830        0.00000        3190.77     
  738.409        0.00000        3189.57     
  750.987        0.00000        3188.36     
  763.566        0.00000        3187.14     
  776.145        0.00000        3185.92     
  788.723        0.00000        3184.69     
  801.302        0.00000        3183.46     
  813.881        0.00000        3182.22     
  826.459        0.00000        3180.98     
  839.038        0.00000        3179.73     
  851.616        0.00000        3178.48     
  864.195        0.00000        3177.22     
  876.774        0.00000        3175.96     
  889.352        0.00000        3174.69     
  901.931        0.00000        3173.42     
  914.509        0.00000        3172.14     
  927.088        0.00000        3170.86     
  939.667        0.00000        3169.58     
  952.245        0.00000        3168.29     
  964.824        0.00000        3167.00     
  977.403        0.00000        3165.70     
  989.981        0.00000        3164.40     
  1002.56        0.00000        3163.09     
  1015.14        0.00000        3161.37     
  1027.72        0.00000        3159.96     
  1040.30        0.00000        3158.55     
  1052.87        0.00000        3157.14     
  1065.45        0.00000        3155.72     
  1078.03        0.00000        3155.78     
  1090.61        0.00000        3154.36     
  1103.19        0.00000        3152.93     
  1115.77        0.00000        3151.49     
  1128.35        0.00000        3150.05     
  1140.92        0.00000        3148.85     
  1153.50        0.00000        3147.40     
  1166.08        0.00000        3145.95     
  1178.66        0.00000        3144.49     
  1191.24        0.00000        3143.27     
  1203.82        0.00000        3141.80     
  1216.40        0.00000        3140.41     
  1228.97        0.00000        3139.05     
  1241.55        0.00000        3137.58     
  1254.13        0.00000        3136.31     
  1266.71        0.00000        3134.94     
  1279.29        0.00000        3133.57     
  1291.87        0.00000        3132.19     
  1304.45        0.00000        3130.04     
  1317.03        0.00000        3129.42     
  1329.60        0.00000        3128.05     
  1342.18        0.00000        3126.68     
  1354.76        0.00000        3125.30     
  1367.34        0.00000        3123.91     
  1379.92        0.00000        3122.52     
  1392.50        0.00000        3121.12     
  1405.08        0.00000        3119.73     
  1417.65        0.00000        3118.33     
  1430.23        0.00000        3116.93     
  1442.81        0.00000        3115.53     
  1455.39        0.00000        3114.12     
  1467.97        0.00000        3112.71     
  1480.55        0.00000        3111.30     
  1493.13        0.00000        3109.88     
  1505.70        0.00000        3108.46     
  1518.28        0.00000        3107.04     
  1530.86        0.00000        3105.61     
  1543.44        0.00000        3104.18     
  1556.02        0.00000        3102.75     
  1568.60        0.00000        3101.31     
  1581.18        0.00000        3099.87     
  1593.75        0.00000        3098.42     
  1606.33        0.00000        3096.97     
  1618.91        0.00000        3095.51     
  1631.49        0.00000        3094.05     
  1644.07        0.00000        3092.59     
  1656.65        0.00000        3091.12     
  1669.23        0.00000        3089.64     
  1681.81        0.00000        3088.16     
  1694.38        0.00000        3086.67     
  1706.96        0.00000        3085.18     
  1719.54        0.00000        3083.68     
  1732.12        0.00000        3082.17     
  1744.70        0.00000        3080.66     
  1757.28        0.00000        3079.15     
  1769.86        0.00000        3077.62     
  1782.43        0.00000        3076.09     
  1795.01        0.00000        3074.56     
  1807.59        0.00000        3073.01     
  1820.17        0.00000        3071.46     
  1832.75        0.00000        3069.91     
  1845.33        0.00000        3068.34     
  1857.91        0.00000        3066.77     
  1870.48        0.00000        3065.19     
  1883.06        0.00000        3063.61     
  1895.64        0.00000        3062.01     
  1908.22        0.00000        3060.41     
  1920.80        0.00000        3058.80     
  1933.38        0.00000        3057.19     
  1945.96        0.00000        3055.56     
  1958.53        0.00000        3053.93     
  1971.11        0.00000        3052.29     
  1983.69        0.00000        3050.65     
  1996.27        0.00000        3048.99     
  2008.85        0.00000        3047.32     
  2021.43        0.00000        3045.65     
  2034.01        0.00000        3043.97     
  2046.58        0.00000        3042.28     
  2059.16        0.00000        3040.58     
  2071.74        0.00000        3038.87     
  2084.32        0.00000        3037.15     
  2096.90        0.00000        3035.43     
  2109.48        0.00000        3033.69     
  2122.06        0.00000        3031.95     
  2134.64        0.00000        3030.20     
  2147.21        0.00000        3028.43     
  2159.79        0.00000        3026.66     
  2172.37        0.00000        3024.88     
  2184.95        0.00000        3023.09     
  2197.53        0.00000        3021.29     
  2210.11        0.00000        3019.47     
  2222.69        0.00000        3017.64     
  2235.26        0.00000        3006.21     
  2247.84        0.00000        2993.19     
  2260.42        0.00000        2983.74     
  2273.00        0.00000        2981.48     
  273.000        314.465        3246.00     
  285.579        314.465        3245.01     
  298.157        314.465        3243.99     
  310.736        314.465        3242.93     
  323.314        314.465        3242.37     
  335.893        314.465        3241.25     
  348.472        314.465        3240.02     
  361.050        314.465        3238.95     
  373.629        314.465        3237.84     
  386.208        314.465        3236.70     
  398.786        314.465        3235.52     
  411.365        314.465        3234.30     
  423.943        314.465        3233.03     
  436.522        314.465        3231.70     
  449.101        314.465        3230.29     
  461.679        314.465        3228.74     
  474.258        314.465        3227.00     
  486.836        314.465        3225.61     
  499.415        314.465        3224.14     
  511.994        314.465        3222.58     
  524.572        314.465        3210.31     
  537.151        314.465        3209.23     
  549.730        314.465        3208.14     
  562.308        314.465        3207.03     
  574.887        314.465        3205.92     
  587.465        314.465        3204.81     
