|6.6.6
bhowany_2018_hol2a_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3081.13
579.439 5000.00 3080.01
585.729 5000.00 3078.90
592.018 5000.00 3077.82
598.307 5000.00 3076.74
604.597 5000.00 3075.68
610.886 5000.00 3074.63
617.175 5000.00 3073.59
623.464 5000.00 3072.56
629.754 5000.00 3068.28
636.043 5000.00 3063.56
642.332 5000.00 3058.59
648.622 5000.00 3053.34
654.911 5000.00 3047.76
661.200 5000.00 3041.80
667.490 5000.00 3035.39
673.779 5000.00 2951.86
680.068 5000.00 2898.92
686.358 5000.00 2866.63
692.647 5000.00 2866.24
698.936 5000.00 2865.85
705.225 5000.00 2865.45
711.515 5000.00 2865.06
717.804 5000.00 2864.66
724.093 5000.00 2864.27
730.383 5000.00 2863.87
736.672 5000.00 2863.47
742.961 5000.00 2863.08
749.251 5000.00 2798.80
755.540 5000.00 2798.41
761.829 5000.00 2798.02
768.119 5000.00 2797.63
774.408 5000.00 2797.24
780.697 5000.00 2796.85
786.986 5000.00 2796.46
793.276 5000.00 2796.07
799.565 5000.00 2795.67
805.854 5000.00 2795.28
812.144 5000.00 2794.89
818.433 5000.00 2794.49
824.722 5000.00 2794.10
831.012 5000.00 2793.71
837.301 5000.00 2793.31
843.590 5000.00 2792.92
849.880 5000.00 2792.52
856.169 5000.00 2792.13
862.458 5000.00 2791.73
868.747 5000.00 2791.33
875.037 5000.00 2790.93
881.326 5000.00 2790.54
887.615 5000.00 2790.14
893.905 5000.00 2789.74
900.194 5000.00 2789.34
906.483 5000.00 2788.94
912.773 5000.00 2788.54
919.062 5000.00 2788.14
925.351 5000.00 2787.74
931.641 5000.00 2787.34
937.930 5000.00 2786.94
944.219 5000.00 2786.54
950.508 5000.00 2786.14
956.798 5000.00 2785.73
963.087 5000.00 2785.33
969.376 5000.00 2784.93
975.666 5000.00 2784.52
981.955 5000.00 2784.12
988.244 5000.00 2783.71
994.534 5000.00 2783.31
1000.82 5000.00 2782.91
1007.11 5000.00 2782.50
1013.40 5000.00 2782.09
1019.69 5000.00 2781.69
1025.98 5000.00 2781.28
1032.27 5000.00 2780.87
1038.56 5000.00 2780.47
1044.85 5000.00 2780.06
1051.14 5000.00 2779.65
1057.43 5000.00 2779.24
1063.72 5000.00 2778.83
1070.01 5000.00 2778.42
1076.29 5000.00 2778.02
1082.58 5000.00 2777.61
1088.87 5000.00 2777.20
1095.16 5000.00 2776.78
1101.45 5000.00 2776.37
1107.74 5000.00 2775.96
1114.03 5000.00 2775.55
1120.32 5000.00 2775.14
1126.61 5000.00 2774.73
1132.90 5000.00 2774.31
1139.19 5000.00 2773.90
1145.48 5000.00 2773.49
1151.77 5000.00 2773.08
1158.06 5000.00 2772.66
1164.34 5000.00 2772.25
1170.63 5000.00 2771.83
1176.92 5000.00 2771.42
1183.21 5000.00 2771.00
1189.50 5000.00 2770.59
1195.79 5000.00 2770.17
1202.08 5000.00 2769.75
1208.37 5000.00 2769.34
1214.66 5000.00 2768.92
1220.95 5000.00 2768.50
1227.24 5000.00 2768.09
1233.53 5000.00 2767.67
1239.82 5000.00 2767.25
1246.11 5000.00 2766.83
1252.40 5000.00 2766.41
1258.68 5000.00 2766.00
1264.97 5000.00 2765.58
1271.26 5000.00 2765.16
1277.55 5000.00 2764.74
1283.84 5000.00 2764.32
1290.13 5000.00 2763.90
1296.42 5000.00 2763.48
1302.71 5000.00 2763.05
1309.00 5000.00 2762.63
1315.29 5000.00 2762.21
1321.58 5000.00 2761.79
1327.87 5000.00 2761.37
1334.16 5000.00 2760.94
1340.45 5000.00 2760.52
1346.73 5000.00 2760.10
1353.02 5000.00 2759.67
1359.31 5000.00 2759.25
1365.60 5000.00 2758.83
1371.89 5000.00 2758.40
1378.18 5000.00 2757.98
1384.47 5000.00 2757.55
1390.76 5000.00 2757.13
1397.05 5000.00 2756.70
1403.34 5000.00 2756.28
1409.63 5000.00 2755.85
1415.92 5000.00 2755.43
1422.21 5000.00 2755.00
1428.50 5000.00 2754.57
1434.79 5000.00 2754.15
