|6.6.6
hacker_2015_fast_Vp_1.tab
1
T(K)
200.00000000000011
200.00000000000011
873764086
13
T(K) P(bar) Pl Pl Cpx Cpx Gt ky qtz coes Opx Sp O
923.150 5000.00 62.6569 NaN 14.0882 NaN NaN NaN NaN NaN 17.9189 NaN 5.33600
925.170 5202.02 62.5955 NaN 14.1338 NaN NaN NaN NaN NaN 17.9637 NaN 5.30703
927.190 5404.04 62.5314 NaN 14.1817 NaN NaN NaN NaN NaN 18.0103 NaN 5.27666
929.211 5606.06 62.4638 NaN 14.2321 NaN NaN NaN NaN NaN 18.0595 NaN 5.24456
931.231 5808.08 62.3932 NaN 14.2849 NaN NaN NaN NaN NaN 18.1110 NaN 5.21094
933.251 6010.10 62.3181 NaN 14.3412 NaN NaN NaN NaN NaN 18.1657 NaN 5.17504
935.271 6212.12 62.2418 NaN 14.3984 NaN NaN NaN NaN NaN 18.2213 NaN 5.13854
937.291 6414.14 62.1616 NaN 14.4585 NaN NaN NaN NaN NaN 18.2798 NaN 5.10009
939.312 6616.16 62.0727 NaN 14.5249 NaN NaN NaN NaN NaN 18.3451 NaN 5.05724
941.332 6818.18 61.9843 NaN 14.5914 NaN NaN NaN NaN NaN 18.4097 NaN 5.01462
943.352 7020.20 58.5631 NaN 16.7012 NaN 4.39365 NaN NaN NaN 17.1362 NaN 3.20588
945.372 7222.22 52.5031 NaN 20.4385 NaN 12.3373 NaN NaN NaN 14.7212 NaN NaN
947.392 7424.24 52.5010 NaN 20.4358 NaN 12.3712 NaN NaN NaN 14.6920 NaN NaN
949.413 7626.26 52.4990 NaN 20.4328 NaN 12.4076 NaN NaN NaN 14.6606 NaN NaN
951.433 7828.28 52.4971 NaN 20.4293 NaN 12.4449 NaN NaN NaN 14.6287 NaN NaN
953.453 8030.30 52.4951 NaN 20.4266 NaN 12.4791 NaN NaN NaN 14.5993 NaN NaN
955.473 8232.32 52.0281 NaN 20.7042 NaN 13.1099 NaN 0.121626 NaN 14.0363 NaN NaN
957.493 8434.34 47.9650 NaN 23.1740 NaN 18.2693 NaN 1.18213 NaN 9.40962 NaN NaN
959.514 8636.36 43.7477 NaN 25.7301 NaN 23.6340 NaN 2.28221 NaN 4.60598 NaN NaN
