|6.6.6
mackwell_1998_maryland_diabase_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3337.01
579.439 5000.00 3335.87
585.729 5000.00 3334.66
592.018 5000.00 3333.36
598.307 5000.00 3331.97
604.597 5000.00 3330.42
610.886 5000.00 3328.75
617.175 5000.00 3326.93
623.464 5000.00 3324.88
629.754 5000.00 3322.58
636.043 5000.00 3319.98
642.332 5000.00 3316.92
648.622 5000.00 3313.31
654.911 5000.00 3308.86
661.200 5000.00 3303.12
667.490 5000.00 3168.25
673.779 5000.00 3153.85
680.068 5000.00 3138.18
686.358 5000.00 3121.05
692.647 5000.00 3102.26
698.936 5000.00 3081.56
705.225 5000.00 3058.67
711.515 5000.00 3050.30
717.804 5000.00 3049.71
724.093 5000.00 3049.11
730.383 5000.00 3048.53
736.672 5000.00 3047.92
742.961 5000.00 3047.32
749.251 5000.00 3046.68
755.540 5000.00 3046.25
761.829 5000.00 3045.76
768.119 5000.00 3045.29
774.408 5000.00 3044.80
780.697 5000.00 3044.31
786.986 5000.00 3043.84
793.276 5000.00 3043.33
799.565 5000.00 3042.84
805.854 5000.00 3042.35
812.144 5000.00 3041.86
818.433 5000.00 3041.37
824.722 5000.00 3040.88
831.012 5000.00 3040.39
837.301 5000.00 3039.89
843.590 5000.00 3039.39
849.880 5000.00 3038.89
856.169 5000.00 3038.39
862.458 5000.00 3037.89
868.747 5000.00 3037.39
875.037 5000.00 3036.89
881.326 5000.00 3036.39
887.615 5000.00 3035.88
893.905 5000.00 3035.38
900.194 5000.00 3034.87
906.483 5000.00 3034.37
912.773 5000.00 3033.86
919.062 5000.00 3033.35
925.351 5000.00 3032.84
931.641 5000.00 3032.33
937.930 5000.00 3031.83
944.219 5000.00 3031.38
950.508 5000.00 3030.92
956.798 5000.00 3030.47
963.087 5000.00 3030.02
969.376 5000.00 3029.57
975.666 5000.00 3029.13
981.955 5000.00 3028.68
988.244 5000.00 3028.23
994.534 5000.00 3027.78
1000.82 5000.00 3027.33
1007.11 5000.00 3026.90
1013.40 5000.00 3026.44
1019.69 5000.00 3025.99
1025.98 5000.00 3025.54
1032.27 5000.00 3025.09
1038.56 5000.00 3024.64
