|6.6.6
mackwell_1998_maryland_diabase_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-937949962
12
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes O
923.150 5000.00 54.6171 NaN 19.1105 NaN 24.5387 NaN NaN NaN NaN 1.73366
925.170 5202.02 54.5331 NaN 19.1734 NaN 24.6005 NaN NaN NaN NaN 1.69304
927.190 5404.04 54.4457 NaN 19.2392 NaN 24.6644 NaN NaN NaN NaN 1.65067
929.211 5606.06 54.3532 NaN 19.3088 NaN 24.7323 NaN NaN NaN NaN 1.60570
931.231 5808.08 54.2568 NaN 19.3814 NaN 24.8031 NaN NaN NaN NaN 1.55880
933.251 6010.10 54.1541 NaN 19.4587 NaN 24.8783 NaN NaN NaN NaN 1.50878
935.271 6212.12 54.0497 NaN 19.5375 NaN 24.9549 NaN NaN NaN NaN 1.45784
937.291 6414.14 53.9400 NaN 19.6203 NaN 25.0355 NaN NaN NaN NaN 1.40422
939.312 6616.16 53.8180 NaN 19.7119 NaN 25.1256 NaN NaN NaN NaN 1.34447
941.332 6818.18 53.6970 NaN 19.8035 NaN 25.2144 NaN NaN NaN NaN 1.28515
943.352 7020.20 51.2506 NaN 21.3180 NaN 24.4167 3.01470 NaN NaN NaN NaN
945.372 7222.22 51.2494 NaN 21.3148 NaN 24.3826 3.05316 NaN NaN NaN NaN
947.392 7424.24 51.2483 NaN 21.3113 NaN 24.3470 3.09345 NaN NaN NaN NaN
949.413 7626.26 51.2471 NaN 21.3082 NaN 24.3139 3.13079 NaN NaN NaN NaN
951.433 7828.28 51.2459 NaN 21.3049 NaN 24.2798 3.16936 NaN NaN NaN NaN
953.453 8030.30 51.1182 NaN 21.3769 NaN 24.1127 3.35922 NaN 0.329265E-001 NaN NaN
955.473 8232.32 45.6432 NaN 24.6556 NaN 17.9545 10.2864 NaN 1.46036 NaN NaN
957.493 8434.34 40.2634 NaN 27.8991 NaN 11.9623 17.0147 NaN 2.86042 NaN NaN
959.514 8636.36 35.7698 NaN 30.6292 NaN 7.01806 22.5553 NaN 4.02758 NaN NaN
961.534 8838.38 30.5938 NaN 33.7505 NaN 1.28560 28.9981 NaN 5.37207 NaN NaN
963.554 9040.40 29.2078 NaN 34.4875 NaN NaN 30.5766 NaN 5.72813 NaN NaN
965.574 9242.42 28.9106 NaN 34.4957 NaN NaN 30.7929 NaN 5.80083 NaN NaN
967.594 9444.44 28.5915 NaN 34.5049 NaN NaN 31.0246 NaN 5.87906 NaN NaN
969.615 9646.46 28.2797 NaN 34.5156 NaN NaN 31.2493 NaN 5.95539 NaN NaN
971.635 9848.48 27.9405 NaN 34.5267 NaN NaN 31.4941 NaN 6.03866 NaN NaN
973.655 10050.5 27.5956 NaN 34.5383 NaN NaN 31.7428 NaN 6.12334 NaN NaN
975.675 10252.5 27.2377 NaN 34.5524 NaN NaN 31.9986 NaN 6.21127 NaN NaN
977.695 10454.5 26.8677 NaN 34.5657 NaN NaN 32.2643 NaN 6.30222 NaN NaN
979.716 10656.6 26.4495 NaN 34.5839 NaN NaN 32.5612 NaN 6.40534 NaN NaN
981.736 10858.6 26.0603 NaN 34.6032 NaN NaN 32.8355 NaN 6.50107 NaN NaN
983.756 11060.6 25.6331 NaN 34.6269 NaN NaN 33.1336 NaN 6.60632 NaN NaN
985.776 11262.6 25.1968 NaN 34.6536 NaN NaN 33.4357 NaN 6.71383 NaN NaN
987.796 11464.6 24.7370 NaN 34.6820 NaN NaN 33.7537 NaN 6.82725 NaN NaN
989.817 11666.7 24.2506 NaN 34.7180 NaN NaN 34.0842 NaN 6.94729 NaN NaN
991.837 11868.7 23.7230 NaN 34.7621 NaN NaN 34.4373 NaN 7.07765 NaN NaN
993.857 12070.7 23.1725 NaN 34.8166 NaN NaN 34.7972 NaN 7.21367 NaN NaN
