|6.6.6
sammon_2021_deep_crust_hp_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1483184906
18
T(K) P(bar) Omph(HP) Omph(HP) Gt(W) Opx(W) Pl(I1,HP) Pl(I1,HP) Pl(I1,HP) ky sph ab q ru kjdh Ilm(WPH) melt(G) Fsp(C1)
923.150 5000.00 9.25303 NaN NaN 17.4357 54.7362 8.15082 NaN NaN NaN NaN 9.39123 NaN NaN 1.03294 NaN NaN
925.170 5202.02 9.30892 NaN NaN 17.4385 54.6867 8.12483 NaN NaN NaN NaN 9.40780 NaN NaN 1.03324 NaN NaN
927.190 5404.04 9.34759 NaN NaN 17.4378 54.6662 8.09795 NaN NaN NaN NaN 9.41697 NaN NaN 1.03353 NaN NaN
929.211 5606.06 9.42731 NaN NaN 17.4436 54.5850 8.06678 NaN NaN NaN NaN 9.44348 NaN NaN 1.03385 NaN NaN
931.231 5808.08 9.47922 NaN NaN 17.4789 54.5590 8.03187 NaN NaN NaN NaN 9.43144 0.212405E-001 NaN 0.998370 NaN NaN
933.251 6010.10 9.55664 NaN NaN 17.6421 54.4969 7.99578 NaN NaN NaN NaN 9.34976 0.110389 NaN 0.848428 NaN NaN
935.271 6212.12 9.64976 NaN NaN 17.7865 54.3939 7.97046 NaN NaN NaN NaN 9.29207 0.185983 NaN 0.721347 NaN NaN
937.291 6414.14 9.69966 NaN NaN 17.8927 54.3570 7.94625 NaN NaN NaN NaN 9.23684 0.244339 NaN 0.623267 NaN NaN
939.312 6616.16 9.80333 NaN NaN 18.1060 54.2711 7.90365 NaN NaN NaN NaN 9.12925 0.362823 NaN 0.423912 NaN NaN
941.332 6818.18 9.85869 NaN NaN 18.2153 54.2197 7.88667 NaN NaN NaN NaN 9.07394 0.423075 NaN 0.322637 NaN NaN
943.352 7020.20 9.97102 NaN NaN 18.3707 54.0959 7.85677 NaN NaN NaN NaN 9.01581 0.505192 NaN 0.184610 NaN NaN
945.372 7222.22 10.0777 NaN NaN 18.5510 53.9892 7.82662 NaN NaN NaN NaN 8.93337 0.604347 NaN 0.178398E-001 NaN NaN
947.392 7424.24 10.1552 NaN NaN 18.5661 53.9206 7.79946 NaN NaN NaN NaN 8.94348 0.615155 NaN NaN NaN NaN
949.413 7626.26 10.2809 NaN NaN 18.5709 53.7770 7.76906 NaN NaN NaN NaN 8.98665 0.615451 NaN NaN NaN NaN
951.433 7828.28 10.6305 NaN 0.682901 18.0161 53.1341 7.74482 NaN NaN NaN NaN 9.17501 0.616624 NaN NaN NaN NaN
953.453 8030.30 11.6604 NaN 3.39745 15.8008 7.73261 50.9873 NaN NaN NaN NaN 9.80109 0.620405 NaN NaN NaN NaN
955.473 8232.32 12.9678 NaN 6.58246 13.1676 48.4220 7.67741 NaN NaN NaN NaN 10.5579 0.624869 NaN NaN NaN NaN
957.493 8434.34 14.0894 NaN 9.23066 10.9500 46.3216 7.59250 NaN NaN NaN NaN 11.1872 0.628590 NaN NaN NaN NaN
959.514 8636.36 14.9914 NaN 11.3381 9.17419 7.46204 4.70186 40.0156 NaN NaN NaN 11.6853 0.631557 NaN NaN NaN NaN
961.534 8838.38 16.2367 NaN 14.0991 6.81571 27.3243 7.26918 15.2703 NaN NaN NaN 12.3493 0.635424 NaN NaN NaN NaN
963.554 9040.40 18.2243 NaN 18.4141 3.09570 39.3084 6.92621 NaN NaN NaN NaN 13.3900 0.641368 NaN NaN NaN NaN
965.574 9242.42 19.7469 NaN 21.5393 0.356621 37.0342 6.52344 NaN NaN NaN NaN 14.1539 0.645703 NaN NaN NaN NaN
967.594 9444.44 19.9894 NaN 22.0153 NaN 6.40195 36.6569 NaN NaN NaN NaN 14.2900 0.646538 NaN NaN NaN NaN
969.615 9646.46 20.0218 NaN 22.2947 NaN 36.2636 6.37027 NaN NaN NaN NaN 14.4024 0.647205 NaN NaN NaN NaN
971.635 9848.48 20.0417 NaN 22.4396 NaN 36.0570 6.35522 NaN NaN NaN NaN 14.4588 0.647611 NaN NaN NaN NaN
973.655 10050.5 20.1220 NaN 22.6282 NaN 35.7948 6.25338 NaN NaN NaN NaN 14.5535 0.648160 NaN NaN NaN NaN
975.675 10252.5 20.1760 NaN 22.9241 NaN 6.22900 35.3421 NaN NaN NaN NaN 14.6799 0.648888 NaN NaN NaN NaN
977.695 10454.5 20.2088 NaN 23.0790 NaN 6.21807 35.1000 NaN NaN NaN NaN 14.7448 0.649329 NaN NaN NaN NaN
979.716 10656.6 20.3141 NaN 23.2642 NaN 34.8095 6.11505 NaN NaN NaN NaN 14.8473 0.649907 NaN NaN NaN NaN
981.736 10858.6 20.4089 NaN 23.5683 NaN 6.10411 34.2764 NaN NaN NaN NaN 14.9916 0.650709 NaN NaN NaN NaN
983.756 11060.6 20.4657 NaN 23.7257 NaN 6.10149 33.9898 NaN NaN NaN NaN 15.0661 0.651190 NaN NaN NaN NaN
985.776 11262.6 20.6183 NaN 23.8914 NaN 33.6581 6.00218 NaN NaN NaN NaN 15.1783 0.651801 NaN NaN NaN NaN
987.796 11464.6 20.6958 NaN 24.0432 NaN 33.3428 6.00777 NaN NaN NaN NaN 15.2581 0.652301 NaN NaN NaN NaN
989.817 11666.7 20.8919 NaN 24.3267 NaN 32.6649 6.03179 NaN NaN NaN NaN 15.4314 0.653217 NaN NaN NaN NaN
991.837 11868.7 21.1158 NaN 24.4703 NaN 5.94570 32.2534 NaN NaN NaN NaN 15.5609 0.653892 NaN NaN NaN NaN
993.857 12070.7 21.3196 NaN 24.6728 NaN 31.6334 6.01332 NaN NaN NaN NaN 15.7061 0.654678 NaN NaN NaN NaN
995.877 12272.7 21.6317 NaN 24.7361 NaN 31.1168 5.99221 NaN 0.434423E-001 NaN NaN 15.8243 0.655411 NaN NaN NaN NaN
997.897 12474.7 22.3012 NaN 24.6181 NaN 30.1416 6.06344 NaN 0.269912 NaN NaN 15.9491 0.656614 NaN NaN NaN NaN
999.918 12676.8 22.6839 NaN 24.6728 NaN 6.03001 29.5802 NaN 0.274636 NaN NaN 16.1011 0.657374 NaN NaN NaN NaN
1001.94 12878.8 23.5626 NaN 24.6037 NaN 28.2061 6.20467 NaN 0.418665 NaN NaN 16.3454 0.658873 NaN NaN NaN NaN
1003.96 13080.8 24.0411 NaN 24.5856 NaN 6.32246 27.4353 NaN 0.462271 NaN NaN 16.4935 0.659730 NaN NaN NaN NaN
1005.98 13282.8 24.5415 NaN 24.6699 NaN 26.6350 6.37820 NaN 0.393180 NaN NaN 16.7216 0.660627 NaN NaN NaN NaN
1008.00 13484.8 25.1251 NaN 24.6692 NaN 25.6725 6.54868 NaN 0.396242 NaN NaN 16.9266 0.661622 NaN NaN NaN NaN
1010.02 13686.9 26.4660 NaN 24.6947 NaN 6.96800 23.4278 NaN 0.346535 NaN NaN 17.4331 0.663751 NaN NaN NaN NaN
1012.04 13888.9 27.0476 NaN 24.7717 NaN 22.4744 7.09351 NaN 0.252869 NaN NaN 17.6952 0.664731 NaN NaN NaN NaN
1014.06 14090.9 27.7154 NaN 24.7701 NaN 7.31375 21.3649 NaN 0.232809 NaN NaN 17.9373 0.665831 NaN NaN NaN NaN
1016.08 14292.9 28.9874 NaN 24.7226 NaN 7.72576 19.3014 NaN 0.212682 NaN NaN 18.3824 0.667781 NaN NaN NaN NaN
1018.10 14494.9 28.8153 NaN 24.7828 NaN 7.63130 19.5904 NaN 0.162285 NaN NaN 18.3502 0.667632 NaN NaN NaN NaN
