|6.6.6
sammon_2021_eclogite_terrains_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-2068249354
11
T(K) P(bar) O Pl Pl Cpx Opx Sp Gt ky qtz
923.150 5000.00 11.4120 59.6412 NaN 21.7241 7.22272 NaN NaN NaN NaN
925.170 5202.02 11.3764 59.5624 NaN 21.7849 7.27631 NaN NaN NaN NaN
927.190 5404.04 11.3402 59.4824 NaN 21.8467 7.33059 NaN NaN NaN NaN
929.211 5606.06 11.3010 59.3961 NaN 21.9133 7.38960 NaN NaN NaN NaN
931.231 5808.08 11.2614 59.3090 NaN 21.9806 7.44912 NaN NaN NaN NaN
933.251 6010.10 11.2186 59.2155 NaN 22.0527 7.51318 NaN NaN NaN NaN
935.271 6212.12 11.1726 59.1152 NaN 22.1300 7.58214 NaN NaN NaN NaN
937.291 6414.14 11.1261 59.0138 NaN 22.2083 7.65191 NaN NaN NaN NaN
939.312 6616.16 11.0754 58.9039 NaN 22.2930 7.72782 NaN NaN NaN NaN
941.332 6818.18 11.0226 58.7896 NaN 22.3810 7.80685 NaN NaN NaN NaN
943.352 7020.20 10.9665 58.6687 NaN 22.4741 7.89061 NaN NaN NaN NaN
945.372 7222.22 10.2176 57.1714 NaN 23.4422 7.38860 NaN 1.78017 NaN NaN
947.392 7424.24 5.09261 46.9609 NaN 29.9633 3.21523 NaN 14.7680 NaN NaN
949.413 7626.26 NaN 38.6736 NaN 35.6583 2.55375 0.896043 22.2183 NaN NaN
951.433 7828.28 NaN 37.0936 NaN 36.3576 NaN 0.160138 26.3886 NaN NaN
953.453 8030.30 NaN 36.8683 NaN 36.3026 NaN 0.595950E-001 26.7695 NaN NaN
955.473 8232.32 NaN 36.7335 NaN 36.2589 NaN NaN 27.0076 NaN NaN
957.493 8434.34 NaN 36.7302 NaN 36.2334 NaN NaN 27.0363 NaN NaN
959.514 8636.36 NaN 36.7270 NaN 36.2078 NaN NaN 27.0652 NaN NaN
961.534 8838.38 NaN 36.7238 NaN 36.1833 NaN NaN 27.0930 NaN NaN
963.554 9040.40 NaN 36.7205 NaN 36.1585 NaN NaN 27.1210 NaN NaN
965.574 9242.42 NaN 36.7172 NaN 36.1369 NaN NaN 27.1459 NaN NaN
967.594 9444.44 NaN 36.7141 NaN 36.1087 NaN NaN 27.1772 NaN NaN
969.615 9646.46 NaN 36.7109 NaN 36.0786 NaN NaN 27.2105 NaN NaN
971.635 9848.48 NaN 36.6489 NaN 36.0701 NaN NaN 27.2666 NaN 0.143790E-001
973.655 10050.5 NaN 36.3164 NaN 36.1074 NaN NaN 27.4812 NaN 0.950319E-001
975.675 10252.5 NaN 35.9794 NaN 36.1482 NaN NaN 27.6957 NaN 0.176702
977.695 10454.5 NaN 35.6244 NaN 36.1926 NaN NaN 27.9202 NaN 0.262728
979.716 10656.6 NaN 35.2365 NaN 36.2405 NaN NaN 28.1662 NaN 0.356786
981.736 10858.6 NaN 34.8642 NaN 36.2882 NaN NaN 28.4006 NaN 0.446965
983.756 11060.6 NaN 34.4582 NaN 36.3442 NaN NaN 28.6523 NaN 0.545318
985.776 11262.6 NaN 34.0450 NaN 36.4013 NaN NaN 28.9083 NaN 0.645379
987.796 11464.6 NaN 33.5880 NaN 36.4676 NaN NaN 29.1884 NaN 0.756084
989.817 11666.7 NaN 33.1082 NaN 36.5379 NaN NaN 29.4816 NaN 0.872303
