|6.6.6
si50_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
1234035958
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky O qtz coes
923.150 5000.00 60.7435 NaN NaN 15.1675 NaN 12.0030 NaN NaN 12.0859 NaN NaN
925.170 5202.02 60.6809 NaN NaN 15.2146 NaN 12.0463 NaN NaN 12.0582 NaN NaN
927.190 5404.04 60.6155 NaN NaN 15.2637 NaN 12.0916 NaN NaN 12.0292 NaN NaN
929.211 5606.06 60.5466 NaN NaN 15.3155 NaN 12.1394 NaN NaN 11.9985 NaN NaN
931.231 5808.08 60.4748 NaN NaN 15.3695 NaN 12.1893 NaN NaN 11.9664 NaN NaN
933.251 6010.10 60.3986 NaN NaN 15.4269 NaN 12.2423 NaN NaN 11.9321 NaN NaN
935.271 6212.12 60.3207 NaN NaN 15.4857 NaN 12.2966 NaN NaN 11.8971 NaN NaN
937.291 6414.14 60.2390 NaN NaN 15.5473 NaN 12.3537 NaN NaN 11.8601 NaN NaN
939.312 6616.16 60.1516 NaN NaN 15.6132 NaN 12.4148 NaN NaN 11.8204 NaN NaN
941.332 6818.18 60.0580 NaN NaN 15.6838 NaN 12.4804 NaN NaN 11.7778 NaN NaN
943.352 7020.20 59.9575 NaN NaN 15.7598 NaN 12.5510 NaN NaN 11.7317 NaN NaN
945.372 7222.22 59.2509 NaN NaN 16.2082 NaN 12.3657 0.794427 NaN 11.3807 NaN NaN
947.392 7424.24 46.2319 NaN 0.994968 24.6632 NaN 9.98245 14.3284 NaN 3.79911 NaN NaN
949.413 7626.26 39.3107 NaN 1.32018 29.1193 NaN 8.22538 22.0245 NaN NaN NaN NaN
951.433 7828.28 36.7136 NaN 0.107740 30.2759 NaN 3.79254 29.1103 NaN NaN NaN NaN
953.453 8030.30 36.4802 NaN NaN 30.3755 NaN 3.35723 29.7870 NaN NaN NaN NaN
955.473 8232.32 36.4778 NaN NaN 30.3718 NaN 3.31067 29.8398 NaN NaN NaN NaN
957.493 8434.34 36.4753 NaN NaN 30.3691 NaN 3.26592 29.8897 NaN NaN NaN NaN
959.514 8636.36 36.4728 NaN NaN 30.3661 NaN 3.22132 29.9398 NaN NaN NaN NaN
961.534 8838.38 36.4703 NaN NaN 30.3614 NaN 3.17694 29.9913 NaN NaN NaN NaN
963.554 9040.40 36.4677 NaN NaN 30.3597 NaN 3.13279 30.0398 NaN NaN NaN NaN
965.574 9242.42 36.0100 NaN NaN 30.6400 NaN 2.60175 30.6346 NaN NaN 0.113614 NaN
967.594 9444.44 33.5395 NaN NaN 32.1403 NaN NaN 33.5912 NaN NaN 0.729007 NaN
969.615 9646.46 33.2328 NaN NaN 32.1479 NaN NaN 33.8161 NaN NaN 0.803196 NaN
971.635 9848.48 32.9063 NaN NaN 32.1561 NaN NaN 34.0554 NaN NaN 0.882213 NaN
973.655 10050.5 32.5873 NaN NaN 32.1688 NaN NaN 34.2846 NaN NaN 0.959328 NaN
975.675 10252.5 32.2499 NaN NaN 32.1814 NaN NaN 34.5279 NaN NaN 1.04091 NaN
977.695 10454.5 31.9029 NaN NaN 32.1973 NaN NaN 34.7750 NaN NaN 1.12477 NaN
979.716 10656.6 31.5123 NaN NaN 32.2163 NaN NaN 35.0521 NaN NaN 1.21928 NaN
981.736 10858.6 31.1481 NaN NaN 32.2366 NaN NaN 35.3080 NaN NaN 1.30728 NaN
983.756 11060.6 30.7499 NaN NaN 32.2640 NaN NaN 35.5826 NaN NaN 1.40352 NaN
985.776 11262.6 30.3429 NaN NaN 32.2936 NaN NaN 35.8616 NaN NaN 1.50187 NaN
987.796 11464.6 29.9171 NaN NaN 32.3274 NaN NaN 36.1507 NaN NaN 1.60475 NaN
989.817 11666.7 29.4690 NaN NaN 32.3698 NaN NaN 36.4482 NaN NaN 1.71299 NaN
991.837 11868.7 28.9838 NaN NaN 32.4208 NaN NaN 36.7652 NaN NaN 1.83026 NaN
993.857 12070.7 28.4825 NaN NaN 32.4834 NaN NaN 37.0828 NaN NaN 1.95133 NaN
995.877 12272.7 27.9587 NaN NaN 32.5602 NaN NaN 37.4034 NaN NaN 2.07780 NaN
997.897 12474.7 27.4455 NaN NaN 32.6341 NaN NaN 37.7188 NaN NaN 2.20162 NaN
999.918 12676.8 26.8593 NaN NaN 32.7438 NaN NaN 38.0539 NaN NaN 2.34309 NaN
1001.94 12878.8 26.2835 NaN NaN 32.8522 NaN NaN 38.3824 NaN NaN 2.48194 NaN
1003.96 13080.8 25.2768 NaN NaN 33.3025 NaN NaN 38.6220 0.149710 NaN 2.64903 NaN
1005.98 13282.8 23.8870 NaN NaN 34.4347 NaN NaN 38.3116 0.623591 NaN 2.74317 NaN
1008.00 13484.8 22.4055 NaN NaN 35.6528 NaN NaN 38.0126 1.04135 NaN 2.88769 NaN
1010.02 13686.9 20.7566 NaN NaN 37.0149 NaN NaN 37.6446 1.56468 NaN 3.01924 NaN
1012.04 13888.9 19.3978 NaN NaN 38.1185 NaN NaN 37.4598 1.79532 NaN 3.22863 NaN
1014.06 14090.9 17.4640 NaN NaN 39.7776 NaN NaN 36.9552 2.43197 NaN 3.37130 NaN
1016.08 14292.9 15.8839 NaN NaN 41.0920 NaN NaN 36.6866 2.74537 NaN 3.59202 NaN
1018.10 14494.9 14.2336 NaN NaN 42.4637 NaN NaN 36.4298 3.02763 NaN 3.84528 NaN
1020.12 14697.0 12.4884 NaN NaN 43.9070 NaN NaN 36.1867 3.28329 NaN 4.13473 NaN
1022.14 14899.0 10.6093 NaN NaN 45.4532 NaN NaN 35.9535 3.51610 NaN 4.46782 NaN
1024.16 15101.0 8.52375 NaN NaN 47.1533 NaN NaN 35.7355 3.72466 NaN 4.86274 NaN
1026.18 15303.0 6.06775 NaN NaN 49.0860 NaN NaN 35.6012 3.86243 NaN 5.38258 NaN
