|6.6.6
si51_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-560573194
13
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes Sp O
923.150 5000.00 60.6060 NaN 13.8972 NaN 18.3370 NaN NaN NaN NaN NaN 7.15981
925.170 5202.02 60.5411 NaN 13.9455 NaN 18.3836 NaN NaN NaN NaN NaN 7.12982
927.190 5404.04 60.4733 NaN 13.9962 NaN 18.4320 NaN NaN NaN NaN NaN 7.09843
929.211 5606.06 60.4016 NaN 14.0499 NaN 18.4834 NaN NaN NaN NaN NaN 7.06509
931.231 5808.08 60.3269 NaN 14.1058 NaN 18.5371 NaN NaN NaN NaN NaN 7.03023
933.251 6010.10 60.2471 NaN 14.1656 NaN 18.5943 NaN NaN NaN NaN NaN 6.99291
935.271 6212.12 60.1660 NaN 14.2266 NaN 18.6526 NaN NaN NaN NaN NaN 6.95484
937.291 6414.14 60.0805 NaN 14.2907 NaN 18.7140 NaN NaN NaN NaN NaN 6.91471
939.312 6616.16 59.9888 NaN 14.3596 NaN 18.7801 NaN NaN NaN NaN NaN 6.87145
941.332 6818.18 59.8910 NaN 14.4331 NaN 18.8508 NaN NaN NaN NaN NaN 6.82510
943.352 7020.20 59.7867 NaN 14.5115 NaN 18.9261 NaN NaN NaN NaN NaN 6.77565
945.372 7222.22 57.1748 NaN 16.1226 NaN 18.0049 3.27045 NaN NaN NaN NaN 5.42731
947.392 7424.24 46.9156 NaN 22.4295 NaN 14.0824 16.4416 NaN NaN NaN NaN 0.130834
949.413 7626.26 46.6594 NaN 22.5842 NaN 13.9506 16.8059 NaN NaN NaN NaN NaN
951.433 7828.28 46.6575 NaN 22.5789 NaN 13.9098 16.8539 NaN NaN NaN NaN NaN
953.453 8030.30 46.6555 NaN 22.5751 NaN 13.8716 16.8978 NaN NaN NaN NaN NaN
955.473 8232.32 46.6534 NaN 22.5715 NaN 13.8345 16.9406 NaN NaN NaN NaN NaN
957.493 8434.34 46.6513 NaN 22.5685 NaN 13.7995 16.9807 NaN NaN NaN NaN NaN
959.514 8636.36 46.6492 NaN 22.5651 NaN 13.7624 17.0233 NaN NaN NaN NaN NaN
961.534 8838.38 44.7729 NaN 23.6934 NaN 11.6440 19.4084 NaN 0.481281 NaN NaN NaN
963.554 9040.40 41.0642 NaN 25.9440 NaN 7.53926 24.0207 NaN 1.43184 NaN NaN NaN
965.574 9242.42 36.8832 NaN 28.4684 NaN 2.88318 29.2619 NaN 2.50334 NaN NaN NaN
967.594 9444.44 34.1957 NaN 30.0974 NaN NaN 32.5171 NaN 3.18980 NaN NaN NaN
969.615 9646.46 33.9010 NaN 30.1013 NaN NaN 32.7358 NaN 3.26183 NaN NaN NaN
971.635 9848.48 33.5965 NaN 30.1065 NaN NaN 32.9607 NaN 3.33627 NaN NaN NaN
973.655 10050.5 33.2943 NaN 30.1134 NaN NaN 33.1822 NaN 3.41009 NaN NaN NaN
975.675 10252.5 32.9769 NaN 30.1238 NaN NaN 33.4116 NaN 3.48767 NaN NaN NaN
977.695 10454.5 32.6487 NaN 30.1322 NaN NaN 33.6512 NaN 3.56794 NaN NaN NaN
979.716 10656.6 32.2785 NaN 30.1465 NaN NaN 33.9163 NaN 3.65866 NaN NaN NaN
981.736 10858.6 31.9341 NaN 30.1616 NaN NaN 34.1614 NaN 3.74289 NaN NaN NaN
983.756 11060.6 31.5583 NaN 30.1808 NaN NaN 34.4260 NaN 3.83490 NaN NaN NaN
985.776 11262.6 31.1749 NaN 30.2025 NaN NaN 34.6938 NaN 3.92876 NaN NaN NaN
987.796 11464.6 30.7731 NaN 30.2292 NaN NaN 34.9705 NaN 4.02717 NaN NaN NaN
989.817 11666.7 30.3506 NaN 30.2669 NaN NaN 35.2518 NaN 4.13066 NaN NaN NaN
991.837 11868.7 29.8931 NaN 30.3112 NaN NaN 35.5529 NaN 4.24281 NaN NaN NaN
993.857 12070.7 29.4205 NaN 30.3645 NaN NaN 35.8564 NaN 4.35863 NaN NaN NaN
995.877 12272.7 28.9279 NaN 30.4240 NaN NaN 36.1687 NaN 4.47938 NaN NaN NaN
997.897 12474.7 28.4403 NaN 30.4915 NaN NaN 36.4695 NaN 4.59877 NaN NaN NaN
999.918 12676.8 27.9207 NaN 30.5787 NaN NaN 36.7746 NaN 4.72598 NaN NaN NaN
1001.94 12878.8 27.3473 NaN 30.6839 NaN NaN 37.1022 NaN 4.86648 NaN NaN NaN
1003.96 13080.8 26.7471 NaN 30.8116 NaN NaN 37.4278 NaN 5.01349 NaN NaN NaN
1005.98 13282.8 25.3884 NaN 31.8198 NaN NaN 37.2402 0.415623 5.13592 NaN NaN NaN
1008.00 13484.8 23.8272 NaN 33.1047 NaN NaN 36.8884 0.913805 5.26587 NaN NaN NaN
1010.02 13686.9 22.2727 NaN 34.3829 NaN NaN 36.5410 1.40626 5.39707 NaN NaN NaN
1012.04 13888.9 20.9548 NaN 35.4544 NaN NaN 36.3463 1.64829 5.59625 NaN NaN NaN
1014.06 14090.9 19.0494 NaN 37.0828 NaN NaN 35.8365 2.29659 5.73468 NaN NaN NaN
1016.08 14292.9 17.5133 NaN 38.3622 NaN NaN 35.5577 2.62141 5.94543 NaN NaN NaN
1018.10 14494.9 15.9197 NaN 39.6855 NaN NaN 35.2957 2.91134 6.18778 NaN NaN NaN
1020.12 14697.0 14.2396 NaN 41.0758 NaN NaN 35.0452 3.17483 6.46454 NaN NaN NaN
1022.14 14899.0 12.4367 NaN 42.5596 NaN NaN 34.8058 3.41470 6.78316 NaN NaN NaN
1024.16 15101.0 10.4440 NaN 44.1840 NaN NaN 34.5818 3.62918 7.16098 NaN NaN NaN
1026.18 15303.0 8.21281 NaN 45.9640 NaN NaN 34.4058 3.79648 7.62093 NaN NaN NaN
1028.20 15505.1 5.92720 NaN 47.8464 NaN NaN 34.1382 4.02544 8.06274 NaN NaN NaN
1030.22 15707.1 3.10166 NaN 50.0783 NaN NaN 33.9651 4.18109 8.67384 NaN NaN NaN
1032.24 15909.1 0.340111 NaN 52.3016 NaN NaN 33.7385 4.36547 9.25438 NaN NaN NaN
1034.26 16111.1 NaN NaN 52.5083 NaN NaN 33.7970 4.35356 9.34120 NaN NaN NaN
1036.28 16313.1 NaN NaN 52.4190 NaN NaN 33.9099 4.31053 9.36053 NaN NaN NaN
1038.30 16515.2 NaN NaN 52.3653 NaN NaN 33.9779 4.28661 9.37013 NaN NaN NaN
1040.32 16717.2 NaN NaN 52.2728 NaN NaN 34.0942 4.24355 9.38951 NaN NaN NaN
1042.34 16919.2 NaN NaN 52.1854 NaN NaN 34.2048 4.20140 9.40840 NaN NaN NaN
1044.36 17121.2 NaN NaN 52.0912 NaN NaN 34.3237 4.15629 9.42880 NaN NaN NaN
1046.38 17323.2 NaN NaN 52.0068 NaN NaN 34.4299 4.11694 9.44629 NaN NaN NaN
1048.40 17525.3 NaN NaN 51.9193 NaN NaN 34.5405 4.07514 9.46502 NaN NaN NaN
1050.42 17727.3 NaN NaN 51.8367 NaN NaN 34.6451 4.03557 9.48260 NaN NaN NaN
1052.44 17929.3 NaN NaN 51.7486 NaN NaN 34.7564 3.99361 9.50142 NaN NaN NaN
1054.46 18131.3 NaN NaN 51.6598 NaN NaN 34.8697 3.94893 9.52159 NaN NaN NaN
1056.48 18333.3 NaN NaN 51.5769 NaN NaN 34.9758 3.90687 9.54042 NaN NaN NaN
1058.50 18535.4 NaN NaN 51.4908 NaN NaN 35.0818 3.87140 9.55601 NaN NaN NaN
1060.52 18737.4 NaN NaN 51.4031 NaN NaN 35.1936 3.82732 9.57588 NaN NaN NaN
1062.54 18939.4 NaN NaN 51.3195 NaN NaN 35.3002 3.78580 9.59445 NaN NaN NaN
1064.56 19141.4 NaN NaN 51.2270 NaN NaN 35.4151 3.74517 9.61266 NaN NaN NaN
1066.58 19343.4 NaN NaN 51.1357 NaN NaN 35.5296 3.70318 9.63152 NaN NaN NaN
1068.60 19545.5 NaN NaN 51.0345 NaN NaN 35.6575 3.65398 9.65402 NaN NaN NaN
1070.62 19747.5 NaN NaN 50.9505 NaN NaN 35.7620 3.61728 9.67023 NaN NaN NaN
1072.64 19949.5 NaN NaN 50.8578 NaN NaN 35.8788 3.57340 9.69004 NaN NaN NaN
1074.67 20151.5 NaN NaN 50.7709 NaN NaN 35.9914 3.52628 9.71141 NaN NaN NaN
1076.69 20353.5 NaN NaN 50.6792 NaN NaN 36.1015 3.49371 9.72564 NaN NaN NaN
1078.71 20555.6 NaN NaN 50.5805 NaN NaN 36.2295 3.43935 9.75067 NaN NaN NaN
1080.73 20757.6 NaN NaN 50.4821 NaN NaN 36.3521 3.39519 9.77066 NaN NaN NaN
1082.75 20959.6 NaN NaN 50.3881 NaN NaN 36.4731 3.34538 9.79340 NaN NaN NaN
1084.77 21161.6 NaN NaN 50.2966 NaN NaN 36.5852 3.30833 9.80984 NaN NaN NaN
1086.79 21363.6 NaN NaN 50.1983 NaN NaN 36.7103 3.25896 9.83239 NaN NaN NaN
1088.81 21565.7 NaN NaN 50.1004 NaN NaN 36.8347 3.21036 9.85458 NaN NaN NaN
1090.83 21767.7 NaN NaN 50.0149 NaN NaN 36.9412 3.17262 9.87131 NaN NaN NaN
1092.85 21969.7 NaN NaN 49.9058 NaN NaN 37.0781 3.12112 9.89499 NaN NaN NaN
1094.87 22171.7 NaN NaN 49.8057 NaN NaN 37.2013 3.07902 9.91398 NaN NaN NaN
1096.89 22373.7 NaN NaN 49.7062 NaN NaN 37.3262 3.03251 9.93514 NaN NaN NaN
1098.91 22575.8 NaN NaN 49.6023 NaN NaN 37.4564 2.98405 9.95728 NaN NaN NaN
1100.93 22777.8 NaN NaN 49.5127 NaN NaN 37.5694 2.94148 9.97642 NaN NaN NaN
