|6.6.6
si52_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
116241654
13
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes Sp O
923.150 5000.00 60.4747 NaN 12.6255 NaN 24.6536 NaN NaN NaN NaN NaN 2.24628
925.170 5202.02 60.4080 NaN 12.6747 NaN 24.7032 NaN NaN NaN NaN NaN 2.21416
927.190 5404.04 60.3382 NaN 12.7266 NaN 24.7548 NaN NaN NaN NaN NaN 2.18044
929.211 5606.06 60.2644 NaN 12.7815 NaN 24.8095 NaN NaN NaN NaN NaN 2.14466
931.231 5808.08 60.1872 NaN 12.8390 NaN 24.8666 NaN NaN NaN NaN NaN 2.10722
933.251 6010.10 60.1048 NaN 12.9005 NaN 24.9276 NaN NaN NaN NaN NaN 2.06712
935.271 6212.12 60.0206 NaN 12.9635 NaN 24.9899 NaN NaN NaN NaN NaN 2.02605
937.291 6414.14 59.9321 NaN 13.0296 NaN 25.0554 NaN NaN NaN NaN NaN 1.98287
939.312 6616.16 59.8369 NaN 13.1008 NaN 25.1260 NaN NaN NaN NaN NaN 1.93627
941.332 6818.18 59.7353 NaN 13.1768 NaN 25.2014 NaN NaN NaN NaN NaN 1.88643
943.352 7020.20 59.6274 NaN 13.2576 NaN 25.2816 NaN NaN NaN NaN NaN 1.83339
945.372 7222.22 56.1836 NaN 15.3587 NaN 24.0767 4.38104 NaN NaN NaN NaN NaN
947.392 7424.24 56.1823 NaN 15.3547 NaN 24.0465 4.41650 NaN NaN NaN NaN NaN
949.413 7626.26 56.1810 NaN 15.3511 NaN 24.0179 4.45003 NaN NaN NaN NaN NaN
951.433 7828.28 56.1798 NaN 15.3465 NaN 23.9858 4.48785 NaN NaN NaN NaN NaN
953.453 8030.30 56.1784 NaN 15.3429 NaN 23.9577 4.52094 NaN NaN NaN NaN NaN
955.473 8232.32 56.1770 NaN 15.3396 NaN 23.9307 4.55261 NaN NaN NaN NaN NaN
957.493 8434.34 54.9251 NaN 16.0738 NaN 22.4813 6.18950 NaN 0.330249 NaN NaN NaN
959.514 8636.36 49.9224 NaN 19.0414 NaN 16.8004 12.5864 NaN 1.64939 NaN NaN NaN
961.534 8838.38 45.0590 NaN 21.9299 NaN 11.2928 18.7877 NaN 2.93046 NaN NaN NaN
963.554 9040.40 40.5949 NaN 24.5955 NaN 6.27338 24.4319 NaN 4.10426 NaN NaN NaN
965.574 9242.42 37.5276 NaN 26.4589 NaN 2.90624 28.1992 NaN 4.90813 NaN NaN NaN
