|6.6.6
si58_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
171787510
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
923.150 5000.00 59.1041 NaN 4.71821 NaN 22.9156 NaN NaN 13.2620 NaN
925.170 5202.02 59.0807 NaN 4.73626 NaN 22.9195 NaN NaN 13.2635 NaN
927.190 5404.04 59.0565 NaN 4.75536 NaN 22.9227 NaN NaN 13.2654 NaN
929.211 5606.06 59.0309 NaN 4.77528 NaN 22.9261 NaN NaN 13.2677 NaN
931.231 5808.08 59.0042 NaN 4.79593 NaN 22.9294 NaN NaN 13.2704 NaN
933.251 6010.10 58.9760 NaN 4.81777 NaN 22.9325 NaN NaN 13.2737 NaN
935.271 6212.12 58.9471 NaN 4.84001 NaN 22.9357 NaN NaN 13.2772 NaN
937.291 6414.14 58.9169 NaN 4.86313 NaN 22.9388 NaN NaN 13.2812 NaN
939.312 6616.16 58.8849 NaN 4.88744 NaN 22.9419 NaN NaN 13.2857 NaN
941.332 6818.18 58.8511 NaN 4.91296 NaN 22.9451 NaN NaN 13.2908 NaN
943.352 7020.20 58.8155 NaN 4.93982 NaN 22.9482 NaN NaN 13.2965 NaN
945.372 7222.22 58.7790 NaN 4.96756 NaN 22.9509 NaN NaN 13.3025 NaN
947.392 7424.24 58.7413 NaN 4.99589 NaN 22.9540 NaN NaN 13.3089 NaN
949.413 7626.26 58.7008 NaN 5.02620 NaN 22.9570 NaN NaN 13.3160 NaN
951.433 7828.28 58.6593 NaN 5.05760 NaN 22.9595 NaN NaN 13.3235 NaN
953.453 8030.30 58.6151 NaN 5.09049 NaN 22.9626 NaN NaN 13.3318 NaN
955.473 8232.32 57.7523 NaN 5.58383 NaN 22.0059 1.06962 NaN 13.5883 NaN
957.493 8434.34 53.6634 NaN 7.90237 NaN 17.2728 6.34035 NaN 14.8210 NaN
959.514 8636.36 50.1543 NaN 9.91657 NaN 13.2370 10.8167 NaN 15.8755 NaN
961.534 8838.38 46.1676 NaN 12.1744 NaN 8.63543 15.9477 NaN 17.0749 NaN
963.554 9040.40 43.0927 NaN 13.9424 NaN 5.12644 19.8430 NaN 17.9954 NaN
965.574 9242.42 41.0237 NaN 15.1640 NaN 2.81832 22.3837 NaN 18.6104 NaN
967.594 9444.44 38.5794 NaN 16.5873 NaN 0.641397E-001 25.4306 NaN 19.3386 NaN
969.615 9646.46 38.3419 NaN 16.6004 NaN NaN 25.6556 NaN 19.4020 NaN
971.635 9848.48 38.1482 NaN 16.5763 NaN NaN 25.8233 NaN 19.4522 NaN
973.655 10050.5 37.9566 NaN 16.5538 NaN NaN 25.9878 NaN 19.5018 NaN
975.675 10252.5 37.7569 NaN 16.5324 NaN NaN 26.1571 NaN 19.5536 NaN
977.695 10454.5 37.5521 NaN 16.5116 NaN NaN 26.3294 NaN 19.6070 NaN
979.716 10656.6 37.3197 NaN 16.4839 NaN NaN 26.5281 NaN 19.6683 NaN
981.736 10858.6 37.1046 NaN 16.4622 NaN NaN 26.7085 NaN 19.7246 NaN
983.756 11060.6 36.8714 NaN 16.4401 NaN NaN 26.9024 NaN 19.7861 NaN
985.776 11262.6 36.6347 NaN 16.4208 NaN NaN 27.0959 NaN 19.8486 NaN
987.796 11464.6 36.3868 NaN 16.4003 NaN NaN 27.2986 NaN 19.9143 NaN
989.817 11666.7 36.1277 NaN 16.3829 NaN NaN 27.5062 NaN 19.9831 NaN
991.837 11868.7 35.8496 NaN 16.3666 NaN NaN 27.7264 NaN 20.0574 NaN
993.857 12070.7 35.5639 NaN 16.3549 NaN NaN 27.9475 NaN 20.1337 NaN
995.877 12272.7 35.2761 NaN 16.3460 NaN NaN 28.1673 NaN 20.2106 NaN
997.897 12474.7 34.9814 NaN 16.3411 NaN NaN 28.3881 NaN 20.2894 NaN
999.918 12676.8 34.6390 NaN 16.3482 NaN NaN 28.6311 NaN 20.3816 NaN
1001.94 12878.8 34.3291 NaN 16.3502 NaN NaN 28.8561 NaN 20.4646 NaN
1003.96 13080.8 33.9784 NaN 16.3672 NaN NaN 29.0954 NaN 20.5590 NaN
1005.98 13282.8 33.6024 NaN 16.4026 NaN NaN 29.3347 NaN 20.6603 NaN
1008.00 13484.8 33.2202 NaN 16.4384 NaN NaN 29.5781 NaN 20.7633 NaN
1010.02 13686.9 32.2273 NaN 17.1429 NaN NaN 29.4292 0.333780 20.8668 NaN
1012.04 13888.9 30.9289 NaN 18.2088 NaN NaN 29.0680 0.814001 20.9802 NaN
1014.06 14090.9 29.6256 NaN 19.2851 NaN NaN 28.7079 1.27895 21.1024 NaN
1016.08 14292.9 28.3837 NaN 20.3162 NaN NaN 28.3853 1.67157 21.2433 NaN
1018.10 14494.9 27.1367 NaN 21.3555 NaN NaN 28.0776 2.02591 21.4042 NaN
1020.12 14697.0 25.8680 NaN 22.4144 NaN NaN 27.7833 2.34668 21.5875 NaN
1022.14 14899.0 24.5514 NaN 23.5106 NaN NaN 27.5016 2.63803 21.7984 NaN
1024.16 15101.0 23.1421 NaN 24.6759 NaN NaN 27.2331 2.89988 22.0490 NaN
1026.18 15303.0 21.6369 NaN 25.8951 NaN NaN 27.0083 3.10620 22.3534 NaN
1028.20 15505.1 20.0376 NaN 27.2359 NaN NaN 26.6915 3.39099 22.6441 NaN
1030.22 15707.1 18.2749 NaN 28.6695 NaN NaN 26.4359 3.60521 23.0145 NaN
1032.24 15909.1 16.0976 NaN 30.3823 NaN NaN 26.2251 3.77361 23.5213 NaN
1034.26 16111.1 14.1244 NaN 32.0067 NaN NaN 25.9223 4.00811 23.9385 NaN
1036.28 16313.1 10.8149 NaN 34.5201 NaN NaN 25.7499 4.14258 24.7725 NaN
1038.30 16515.2 8.81907 NaN 36.1737 NaN NaN 25.4406 4.36606 25.2006 NaN
1040.32 16717.2 5.91548 NaN 38.4472 NaN NaN 25.1934 4.54282 25.9011 NaN
