|6.6.6
zhang_2022_cd07-2_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 3144.83
776.295 5000.00 3094.91
779.439 5000.00 3094.68
782.584 5000.00 3094.44
785.729 5000.00 3094.21
788.873 5000.00 3093.97
792.018 5000.00 3093.74
795.163 5000.00 3093.50
798.307 5000.00 3093.26
801.452 5000.00 3093.03
804.597 5000.00 3092.80
807.741 5000.00 3092.55
810.886 5000.00 3092.32
814.031 5000.00 3092.08
817.175 5000.00 3091.84
820.320 5000.00 3091.61
823.464 5000.00 3091.37
826.609 5000.00 3091.14
829.754 5000.00 3090.90
832.898 5000.00 3090.66
836.043 5000.00 3090.43
839.188 5000.00 3090.19
842.332 5000.00 3089.95
845.477 5000.00 3089.72
848.622 5000.00 3089.48
851.766 5000.00 3089.24
854.911 5000.00 3089.01
858.056 5000.00 3088.77
861.200 5000.00 3088.53
864.345 5000.00 3088.29
867.490 5000.00 3088.06
870.634 5000.00 3087.82
873.779 5000.00 3087.58
876.924 5000.00 3087.35
880.068 5000.00 3087.11
883.213 5000.00 3086.87
886.358 5000.00 3086.64
889.502 5000.00 3086.39
892.647 5000.00 3086.16
895.792 5000.00 3085.93
898.936 5000.00 3085.69
902.081 5000.00 3085.45
905.225 5000.00 3085.22
908.370 5000.00 3084.98
911.515 5000.00 3084.74
914.659 5000.00 3084.51
917.804 5000.00 3084.27
920.949 5000.00 3084.03
924.093 5000.00 3083.80
927.238 5000.00 3083.56
930.383 5000.00 3083.32
933.527 5000.00 3083.09
936.672 5000.00 3082.85
939.817 5000.00 3082.61
942.961 5000.00 3082.38
946.106 5000.00 3082.14
949.251 5000.00 3081.90
952.395 5000.00 3081.67
955.540 5000.00 3081.43
958.685 5000.00 3081.19
961.829 5000.00 3080.96
964.974 5000.00 3080.72
968.119 5000.00 3080.48
971.263 5000.00 3080.25
974.408 5000.00 3080.01
977.553 5000.00 3079.77
980.697 5000.00 3079.54
983.842 5000.00 3079.30
986.986 5000.00 3079.07
990.131 5000.00 3078.83
993.276 5000.00 3078.59
996.420 5000.00 3078.36
999.565 5000.00 3078.12
1002.71 5000.00 3077.88
1005.85 5000.00 3077.65
1009.00 5000.00 3077.41
1012.14 5000.00 3077.18
1015.29 5000.00 3076.94
1018.43 5000.00 3076.71
1021.58 5000.00 3076.47
1024.72 5000.00 3076.23
1027.87 5000.00 3076.00
1031.01 5000.00 3075.76
1034.16 5000.00 3075.53
1037.30 5000.00 3075.29
1040.45 5000.00 3075.06
1043.59 5000.00 3074.82
1046.73 5000.00 3074.59
1049.88 5000.00 3074.35
1053.02 5000.00 3074.11
1056.17 5000.00 3073.88
1059.31 5000.00 3073.64
1062.46 5000.00 3073.41
1065.60 5000.00 3073.17
1068.75 5000.00 3072.94
1071.89 5000.00 3072.70
1075.04 5000.00 3072.47
1078.18 5000.00 3072.23
1081.33 5000.00 3072.00
1084.47 5000.00 3071.77
1087.62 5000.00 3071.53
1090.76 5000.00 3071.30
1093.90 5000.00 3071.06
1097.05 5000.00 3070.83
1100.19 5000.00 3070.59
1103.34 5000.00 3070.36
1106.48 5000.00 3070.13
1109.63 5000.00 3069.89
1112.77 5000.00 3069.66
1115.92 5000.00 3069.42
1119.06 5000.00 3069.19
1122.21 5000.00 3068.96
1125.35 5000.00 3068.72
1128.50 5000.00 3068.49
1131.64 5000.00 3068.25
1134.79 5000.00 3068.02
1137.93 5000.00 3067.79
1141.07 5000.00 3067.55
1144.22 5000.00 3067.32
1147.36 5000.00 3067.09
1150.51 5000.00 3066.86
1153.65 5000.00 3066.62
1156.80 5000.00 3066.39
1159.94 5000.00 3066.16
1163.09 5000.00 3065.92
1166.23 5000.00 3065.69
1169.38 5000.00 3065.46
1172.52 5000.00 3065.23
1175.67 5000.00 3065.00
1178.81 5000.00 3064.76
1181.96 5000.00 3064.53
1185.10 5000.00 3064.30
1188.24 5000.00 3064.07
1191.39 5000.00 3063.84
1194.53 5000.00 3063.60
1197.68 5000.00 3063.37
1200.82 5000.00 3063.14
1203.97 5000.00 3062.91
1207.11 5000.00 3062.68
1210.26 5000.00 3062.45
1213.40 5000.00 3062.22
1216.55 5000.00 3061.99
1219.69 5000.00 3061.76
1222.84 5000.00 3061.53
1225.98 5000.00 3061.30
1229.12 5000.00 3061.07
1232.27 5000.00 3060.84
1235.41 5000.00 3060.61
1238.56 5000.00 3060.38
1241.70 5000.00 3060.15
1244.85 5000.00 3059.92
1247.99 5000.00 3059.69
1251.14 5000.00 3059.46
1254.28 5000.00 3059.23
1257.43 5000.00 3059.00
1260.57 5000.00 3058.77
1263.72 5000.00 3058.54
1266.86 5000.00 3058.32
1270.01 5000.00 3058.09
1273.15 5000.00 3057.86
773.150 5125.79 3158.44
776.295 5125.79 3158.10
779.439 5125.79 3157.75
782.584 5125.79 3157.41
785.729 5125.79 3100.85
788.873 5125.79 3094.76
792.018 5125.79 3094.53
795.163 5125.79 3094.29
798.307 5125.79 3094.05
801.452 5125.79 3093.82
804.597 5125.79 3093.58
807.741 5125.79 3093.34
810.886 5125.79 3093.11
814.031 5125.79 3092.87
817.175 5125.79 3092.63
820.320 5125.79 3092.39
823.464 5125.79 3092.16
826.609 5125.79 3091.92
829.754 5125.79 3091.68
832.898 5125.79 3091.45
836.043 5125.79 3091.21
839.188 5125.79 3090.97
842.332 5125.79 3090.74
845.477 5125.79 3090.50
848.622 5125.79 3090.26
851.766 5125.79 3090.02
854.911 5125.79 3089.79
858.056 5125.79 3089.55
861.200 5125.79 3089.31
864.345 5125.79 3089.08
867.490 5125.79 3088.84
870.634 5125.79 3088.60
873.779 5125.79 3088.37
876.924 5125.79 3088.13
880.068 5125.79 3087.89
883.213 5125.79 3087.66
886.358 5125.79 3087.42
889.502 5125.79 3087.18
892.647 5125.79 3086.94
895.792 5125.79 3086.71
898.936 5125.79 3086.47
902.081 5125.79 3086.23
905.225 5125.79 3086.00
908.370 5125.79 3085.76
911.515 5125.79 3085.52
914.659 5125.79 3085.29
917.804 5125.79 3085.05
920.949 5125.79 3084.81
924.093 5125.79 3084.58
927.238 5125.79 3084.34
930.383 5125.79 3084.10
933.527 5125.79 3083.87
936.672 5125.79 3083.63
939.817 5125.79 3083.39
942.961 5125.79 3083.16
946.106 5125.79 3082.92
949.251 5125.79 3082.68
952.395 5125.79 3082.45
955.540 5125.79 3082.21
958.685 5125.79 3081.98
961.829 5125.79 3081.74
964.974 5125.79 3081.50
968.119 5125.79 3081.27
971.263 5125.79 3081.03
974.408 5125.79 3080.79
977.553 5125.79 3080.56
980.697 5125.79 3080.32
983.842 5125.79 3080.08
986.986 5125.79 3079.85
990.131 5125.79 3079.61
993.276 5125.79 3079.38
996.420 5125.79 3079.14
999.565 5125.79 3078.90
1002.71 5125.79 3078.67
1005.85 5125.79 3078.43
1009.00 5125.79 3078.20
1012.14 5125.79 3077.96
1015.29 5125.79 3077.73
1018.43 5125.79 3077.49
1021.58 5125.79 3077.26
1024.72 5125.79 3077.02
1027.87 5125.79 3076.79
1031.01 5125.79 3076.55
1034.16 5125.79 3076.31
1037.30 5125.79 3076.08
1040.45 5125.79 3075.85
1043.59 5125.79 3075.61
1046.73 5125.79 3075.38
1049.88 5125.79 3075.14
1053.02 5125.79 3074.91
1056.17 5125.79 3074.67
1059.31 5125.79 3074.44
1062.46 5125.79 3074.20
1065.60 5125.79 3073.97
1068.75 5125.79 3073.73
1071.89 5125.79 3073.50
1075.04 5125.79 3073.26
1078.18 5125.79 3073.03
1081.33 5125.79 3072.80
1084.47 5125.79 3072.56
1087.62 5125.79 3072.33
1090.76 5125.79 3072.09
1093.90 5125.79 3071.86
1097.05 5125.79 3071.63
1100.19 5125.79 3071.39
1103.34 5125.79 3071.16
1106.48 5125.79 3070.93
1109.63 5125.79 3070.69
1112.77 5125.79 3070.46
1115.92 5125.79 3070.23
1119.06 5125.79 3069.99
1122.21 5125.79 3069.76
1125.35 5125.79 3069.53
1128.50 5125.79 3069.29
1131.64 5125.79 3069.06
1134.79 5125.79 3068.83
1137.93 5125.79 3068.60
1141.07 5125.79 3068.36
1144.22 5125.79 3068.13
1147.36 5125.79 3067.90
1150.51 5125.79 3067.67
1153.65 5125.79 3067.44
1156.80 5125.79 3067.20
1159.94 5125.79 3066.97
1163.09 5125.79 3066.74
1166.23 5125.79 3066.51
1169.38 5125.79 3066.28
1172.52 5125.79 3066.05
1175.67 5125.79 3065.81
1178.81 5125.79 3065.58
1181.96 5125.79 3065.35
1185.10 5125.79 3065.12
1188.24 5125.79 3064.89
1191.39 5125.79 3064.66
1194.53 5125.79 3064.43
1197.68 5125.79 3064.20
1200.82 5125.79 3063.97
1203.97 5125.79 3063.74
1207.11 5125.79 3063.51
1210.26 5125.79 3063.28
1213.40 5125.79 3063.05
1216.55 5125.79 3062.82
1219.69 5125.79 3062.59
1222.84 5125.79 3062.36
1225.98 5125.79 3062.13
1229.12 5125.79 3061.90
1232.27 5125.79 3061.67
1235.41 5125.79 3061.44
1238.56 5125.79 3061.21
1241.70 5125.79 3060.99
1244.85 5125.79 3060.76
1247.99 5125.79 3060.53
1251.14 5125.79 3060.30
1254.28 5125.79 3060.07
1257.43 5125.79 3059.85
1260.57 5125.79 3059.62
1263.72 5125.79 3059.39
1266.86 5125.79 3059.16
1270.01 5125.79 3058.93
1273.15 5125.79 3058.71
773.150 5251.57 3158.96
776.295 5251.57 3158.62
779.439 5251.57 3158.28
782.584 5251.57 3157.94
785.729 5251.57 3157.59
788.873 5251.57 3157.25
792.018 5251.57 3156.90
795.163 5251.57 3156.55
798.307 5251.57 3094.85
801.452 5251.57 3094.61
804.597 5251.57 3094.38
807.741 5251.57 3094.14
810.886 5251.57 3093.90
814.031 5251.57 3093.67
817.175 5251.57 3093.43
820.320 5251.57 3093.19
823.464 5251.57 3092.95
826.609 5251.57 3092.72
829.754 5251.57 3092.48
832.898 5251.57 3092.24
836.043 5251.57 3092.00
839.188 5251.57 3091.77
842.332 5251.57 3091.53
845.477 5251.57 3091.29
848.622 5251.57 3091.05
851.766 5251.57 3090.82
854.911 5251.57 3090.58
858.056 5251.57 3090.34
861.200 5251.57 3090.10
