"Sample","Q","Or","Ab","An","Ap","Ne","Di","En","Fs","Fo","Fa","Dcs","Mt","Il","Wo","Sum (%)","Salic","Femic","C.I.","D.I.","Density","FSSI"
"sammon_2021_lower_crust"," 2.712"," 4.119","22.212","32.999","0.375","   NA","13.036","14.483","5.775","    NA","   NA","   NA","2.433","1.857","NA","100.001","62.042","37.584",57.9111173721,29.043,2.97,2.71
"sammon_2021_deep_crust"," 9.947"," 6.252","24.759","29.136","0.361","   NA"," 8.487","11.752","5.139","    NA","   NA","   NA","2.482","1.685","NA","100.000","70.094","29.545",45.9901763712,40.958,2.9,9.95
"rudnick_2014_lower_crust"," 3.364"," 3.599","22.389","32.352","0.232","   NA","11.748","14.272","7.560","    NA","   NA","   NA","2.930","1.554","NA","100.000","61.704","38.064",54.9860304309,29.352,2.98,3.36
"hacker_2015_md_xenolith"," 1.570"," 2.949","21.958","33.174","0.301","   NA","13.785","13.833","7.647","    NA","   NA","   NA","3.076","1.706","NA"," 99.999","59.651","40.047",58.5976746806,26.477,3,1.57
"mackwell_1998_maryland_diabase"," 1.052"," 2.009","18.125","31.145","   NA","   NA","20.551","13.980","9.243","    NA","   NA","   NA","2.507","1.389","NA","100.001","52.331","47.670",65.7437007037,21.186,3.06,1.05
"interp-01","    NA","-0.473","13.010","36.516","0.412","3.573","21.389","    NA","   NA","12.902","7.710","0.146","2.620","2.093","NA"," 99.898","49.053","46.714",80.7449489771,16.11,3.06,-0.07
"interp-02","    NA"," 0.272","16.475","35.617","0.412","1.966","20.753","    NA","   NA","12.401","7.499","   NA","2.553","2.051","NA"," 99.999","52.364","45.257",78.2987759926,18.713,3.04,-0.04
"interp-03","    NA"," 1.016","19.946","34.715","0.410","0.356","19.734","    NA","   NA","11.984","7.342","   NA","2.488","2.008","NA"," 99.999","55.677","43.556",75.3706109484,21.318,3.03,-0.01
"interp-04","    NA"," 1.761","21.103","33.817","0.410","   NA","18.711"," 2.482","1.399"," 9.826","6.105","   NA","2.421","1.964","NA"," 99.999","56.681","42.908",71.6836543249,22.864,3.02,0
"interp-05","    NA"," 2.500","21.603","32.918","0.410","   NA","17.688"," 5.654","3.235"," 7.185","4.531","   NA","2.356","1.920","NA","100.000","57.021","42.569",67.8254016937,24.103,3.02,0
"interp-06","    NA"," 3.244","22.110","32.014","0.410","   NA","16.660"," 8.783","5.107"," 4.573","2.930","   NA","2.291","1.878","NA","100.000","57.368","42.222",64.0142194224,25.354,3.01,0
"interp-07","    NA"," 3.989","22.609","31.113","0.410","   NA","15.630","11.896","7.035"," 1.971","1.285","   NA","2.225","1.837","NA","100.000","57.711","41.879",60.2595939161,26.598,3.01,0
"interp-08"," 1.037"," 4.734","23.092","30.193","0.410","   NA","14.531","13.913","7.294","    NA","   NA","   NA","3.007","1.791","NA","100.002","59.056","40.536",56.8166915525,28.863,3,1.04
"interp-09"," 2.612"," 5.478","23.591","29.294","0.408","   NA","13.512","13.318","7.126","    NA","   NA","   NA","2.914","1.747","NA","100.000","60.975","38.617",54.1627568094,31.681,2.98,2.61
"interp-10"," 4.183"," 6.229","24.099","28.385","0.408","   NA","12.487","12.724","6.959","    NA","   NA","   NA","2.823","1.704","NA","100.001","62.896","36.697",51.4995228279,34.511,2.96,4.18
"interp-11"," 5.758"," 6.973","24.606","27.481","0.408","   NA","11.459","12.127","6.794","    NA","   NA","   NA","2.730","1.662","NA"," 99.998","64.818","34.772",48.8491615427,37.337,2.95,5.76
"interp-12"," 7.333"," 7.724","25.114","26.572","0.408","   NA","10.433","11.527","6.633","    NA","   NA","   NA","2.639","1.618","NA","100.001","66.743","32.850",46.2052315347,40.171,2.93,7.33
"interp-13"," 9.166"," 8.468","25.605","25.664","0.408","   NA"," 9.378","10.865","6.004","    NA","   NA","   NA","2.868","1.575","NA","100.001","68.903","30.690",43.5233908297,43.239,2.91,9.17
"interp-14","10.738"," 9.219","26.113","24.755","0.405","   NA"," 8.353","10.262","5.861","    NA","   NA","   NA","2.763","1.531","NA","100.000","70.825","28.770",40.8920745305,46.07,2.9,10.74
"interp-15","12.315"," 9.970","26.612","23.851","0.405","   NA"," 7.318"," 9.661","5.720","    NA","   NA","   NA","2.660","1.489","NA","100.001","72.748","26.848",38.2714738699,48.897,2.88,12.31
"interp-16","13.887","10.720","27.120","22.942","0.405","   NA"," 6.286"," 9.052","5.587","    NA","   NA","   NA","2.556","1.445","NA","100.000","74.669","24.926",35.6730498791,51.727,2.86,13.89
"interp-17","15.463","11.470","27.627","22.032","0.405","   NA"," 5.248"," 8.440","5.462","    NA","   NA","   NA","2.452","1.402","NA","100.001","76.592","23.004",33.0964884427,54.56,2.85,15.46
"interp-18","17.037","12.227","28.135","21.120","0.405","   NA"," 4.206"," 7.822","5.343","    NA","   NA","   NA","2.347","1.358","NA","100.000","78.519","21.076",30.550173326,57.399,2.83,17.04
"interp-19","18.801","12.972","28.634","20.211","0.403","   NA"," 3.157"," 7.168","4.862","    NA","   NA","   NA","2.478","1.314","NA","100.000","80.618","18.979",27.897705376,60.407,2.81,18.8
"interp-20","20.373","13.722","29.142","19.302","0.403","   NA"," 2.110"," 6.539","4.777","    NA","   NA","   NA","2.362","1.271","NA","100.001","82.539","17.059",25.4299855385,63.237,2.8,20.37
"interp-21","21.941","14.478","29.658","18.385","0.403","   NA"," 1.059"," 5.890","4.711","    NA","   NA","   NA","2.247","1.227","NA"," 99.999","84.462","15.134",23.0322919024,66.077,2.78,21.94
