quartz,zircon,potassium metasilicate,anorthite,sodium metasilicate,acmite,thenardite,albite,orthoclase,perovskite,nepheline,leucite,dicalcium silicate,kaliophilite,apatite,fluroapatite,fluorite,pyrite,chromite,ilmenite,calcite,corundum,rutile,magnetite,hematite,forsterite,fayalite,clinoferrosilite,clinoenstatite,ferrosilite,enstatite,wollastonite,cancrinite,halite,titanite,diopside,hypersthene,olivine,FREE_O,FREE_CO2,FREE_OXIDES,FREE_DEFSIO2,Sum
3.255,0.0,0.0,32.984,0.0,0.0,0.0,22.2,4.115,0.0,0.0,0.0,0.0,0.0,0.374,0.0,0.0,0.0,0.0,1.857,0.0,0.0,0.0,3.131,0.0,0.0,0.0,2.938,10.04,4.801,14.304,0.0,0.0,0.0,0.0,12.978,19.105,0.0,0.0,0.0,0.0,0.0,99.99900000000001
10.409,0.0,0.0,29.122,0.0,0.0,0.0,24.748,6.253,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,1.685,0.0,0.0,0.0,3.079,0.0,0.0,0.0,2.048,6.399,4.268,11.628,0.0,0.0,0.0,0.0,8.447,15.895,0.0,0.0,0.0,0.0,0.0,100.0
4.004,0.0,0.0,32.339,0.0,0.0,0.0,22.37,3.596,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,1.554,0.0,0.0,0.0,3.748,0.0,0.0,0.0,3.301,8.384,6.37,14.103,0.0,0.0,0.0,0.0,11.685,20.473,0.0,0.0,0.0,0.0,0.0,100.0
2.171,0.0,0.0,33.156,0.0,0.0,0.0,21.946,2.948,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.705,0.0,0.0,0.0,3.847,0.0,0.0,0.0,4.048,9.676,6.55,13.652,0.0,0.0,0.0,0.0,13.724,20.203,0.0,0.0,0.0,0.0,0.0,99.999
2.286,0.0,0.0,31.109,0.0,0.0,0.0,18.107,2.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387,0.0,0.0,0.0,4.094,0.0,0.0,0.0,6.405,13.985,7.101,13.517,0.0,0.0,0.0,0.0,20.39,20.618,0.0,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,36.219,0.0,0.0,0.0,13.546,0.0,0.0,3.262,0.0,0.0,0.0,0.412,0.0,0.0,0.0,0.0,2.089,0.0,0.0,0.0,3.99,0.0,12.497,6.178,6.131,15.677,0.0,0.0,0.0,0.0,0.0,0.0,21.808,0.0,18.675,0.0,0.0,0.0,0.0,100.001
0.0,0.0,0.0,35.581,0.0,0.0,0.0,17.685,0.273,0.0,1.299,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,3.996,0.0,12.123,5.968,5.778,14.838,0.0,0.0,0.0,0.0,0.0,0.0,20.616,0.0,18.091,0.0,0.0,0.0,0.0,100.001
0.0,0.0,0.0,34.679,0.0,0.0,0.0,20.584,1.016,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,2.007,0.0,0.0,0.0,3.993,0.0,11.2,5.493,5.477,14.116,0.316,0.709,0.0,0.0,0.0,0.0,19.593,1.025,16.694,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,33.781,0.0,0.0,0.0,21.077,1.759,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,1.963,0.0,0.0,0.0,3.986,0.0,8.347,4.08,5.177,13.387,1.854,4.179,0.0,0.0,0.0,0.0,18.563,6.032,12.428,0.0,0.0,0.0,0.0,99.99999999999999
0.0,0.0,0.0,32.879,0.0,0.0,0.0,21.579,2.497,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,3.973,0.0,5.494,2.679,4.882,12.655,3.384,7.647,0.0,0.0,0.0,0.0,17.537,11.031,8.173,0.0,0.0,0.0,0.0,99.99900000000001
