name,formula,a0,n,v0,k00,k0p,theta0,gamma0,q,refS,T_r,V_r,TC0,VD,SD,abbrev,eos
Albite,Na(1)Al(1)Si(3)O(8),-3718799.0,13.0,10.0452,597616.2,4.0,713.7824,0.56704,1.0,0.0,300.0,10.0452,,,,ab,6
Almandine,Fe(3)Al(2)Si(3)O(12),-4935516.0,20.0,11.543,1738963.0,4.91341,741.356,1.06495,1.42169,0.0,300.0,11.543,,,,alm,6
AlPerovskite,Al(2)O(3),-1533878.0,5.0,2.4944,2582000.0,4.14,886.4601,1.56508,1.10945,0.0,300.0,2.4944,,,,aperov,6
Anorthite,Ca(1)Al(2)Si(2)O(8),-4014619.0,13.0,10.061,840891.5,4.0,752.3911,0.39241,1.0,0.0,300.0,10.061,,,,an,6
Seifertite,Si(1)O(2),-794335.4,3.0,1.367,3275843.0,4.01553,1140.772,1.37466,2.83517,0.0,300.0,1.367,,,,seif,6
AlPostPerovskite,Al(2)O(3),-1377582.0,5.0,2.3847,2490000.0,4.0,762.1951,1.64573,1.09081,0.0,300.0,2.3847,,,,appv,6
CaPerovskite,Ca(1)Si(1)O(3),-1463358.0,5.0,2.745,2360000.0,3.9,795.779,1.88839,0.89769,0.0,300.0,2.745,,,,ca-pv,6
CaTschermaks,Ca(1)Al(2)Si(1)O(6),-3120253.0,10.0,6.3574,1122413.0,5.23885,803.6626,0.78126,1.52852,0.0,300.0,6.3574,,,,cts,6
Clinoenstatite,Mg(2)Si(2)O(6),-2905918.0,10.0,6.25,1122413.0,5.23885,805.0547,0.95873,1.52852,0.0,300.0,6.25,,,,cen,6
ClinoFerrosilite,Fe(2)Fe(2)Si(4)O(12),-4448021.0,20.0,13.28,1122413.0,5.23886,697.7495,0.95873,1.52852,0.0,300.0,13.28,,,,cfs,6
Corundum,Al(2)O(3),-1582454.0,5.0,2.5577,2525457.0,4.33728,932.5696,1.32442,1.30316,0.0,300.0,2.5577,,,,cor,6
Coesite,Si(1)O(2),-855068.5,3.0,2.0657,1135856.0,4.0,852.4267,0.39157,1.0,0.0,300.0,2.0657,,,,coe,6
Diopside,Ca(1)Mg(1)Si(2)O(6),-3029531.0,10.0,6.6039,1122413.0,5.23885,781.6146,0.95873,1.52852,0.0,300.0,6.6039,,,,di,6
Enstatite,Mg(2)Si(2)O(6),-2913596.0,10.0,6.2676,1070768.0,7.02751,812.1848,0.78479,3.43846,0.0,300.0,6.2676,,,,en,6
HPClinoferrosilite,Fe(2)Si(2)O(6),-2222183.0,10.0,6.385413,1160254.0,6.23685,691.564,1.12473,0.20401,0.0,300.0,6.385413,,,,fc2/c,6
Fayalite,Fe(2)Si(1)O(4),-1370519.0,7.0,4.629,1349622.0,4.21796,618.7007,1.06023,3.6466,0.0,300.0,4.629,,,,fa,6
FeCaFerrite,Fe(1)Al(2)O(4),-1790284.0,7.0,3.7258,2106663.0,4.0528,804.1986,1.31156,1.0,0.0,300.0,3.7258,,,,ffer,6
FeAkimotoite,Fe(1)Si(1)O(3),-1067598.0,5.0,2.6854,2107060.0,5.62088,887.8709,1.18984,2.34514,0.0,300.0,2.6854,,,,faki,6
FePerovskite,Fe(1)Si(1)O(3),-1040920.0,5.0,2.5485,2721152.0,4.14,870.8122,1.56508,1.10945,0.0,300.0,2.5485,,,,fperov,6
FeRingwoodite,Fe(2)Si(1)O(4),-1362772.0,7.0,4.186,2134120.0,4.22035,677.7177,1.27193,2.3914,0.0,300.0,4.186,,,,fring,6
FeWadsleyite,Fe(2)Si(1)O(4),-1364668.0,7.0,4.28,1685910.0,4.3229,665.4492,1.2061,2.0188,0.0,300.0,4.28,,,,fwad,6
Forsterite,Mg(2)Si(1)O(4),-2055403.0,7.0,4.3603,1279555.0,4.21796,809.1703,0.99282,2.10672,0.0,300.0,4.3603,,,,fo,6
FePostPerovskite,Fe(1)Si(1)O(3),-981806.9,5.0,2.5459,2312000.0,4.0,781.3465,1.89155,1.09081,0.0,300.0,2.5459,,,,fppv,6
Ferrosilite,Fe(2)Si(2)O(6),-2225718.0,10.0,6.5941,1005386.0,7.02751,674.4769,0.71889,3.43846,0.0,300.0,6.5941,,,,fs,6
Grossular,Ca(3)Al(2)Si(3)O(12),-6277935.0,20.0,12.512,1670622.0,3.91544,822.743,1.05404,1.88887,0.0,300.0,12.512,,,,gr,6
Hercynite,Fe(4)Al(8)O(16),-7324009.0,28.0,16.3372,2088965.0,5.68282,763.231,1.21719,2.71208,0.0,300.0,16.3372,,,,herc,6
Hedenbergite,Ca(1)Fe(1)Si(2)O(6),-2677330.0,10.0,6.7867,1192555.0,5.23885,701.5851,0.93516,1.52852,0.0,300.0,6.7867,,,,hed,6
Jadeite,Na(1)Al(1)Si(2)O(6),-2855192.0,10.0,6.0508,1422873.0,5.23885,820.7623,0.903,0.39234,0.0,300.0,6.0508,,,,jd,6
JdMajorite,Na(2)Al(2)Si(4)O(12),-5518542.0,20.0,11.094,1770772.0,4.11067,895.914,1.01424,1.42169,0.0,300.0,11.094,,,,jmaj,6
Kyanite,Al(2)Si(1)O(5),-2446058.0,8.0,4.4227,1600000.0,4.0,943.1665,0.9255,1.0,0.0,300.0,4.4227,,,,ky,6
HPClinoenstatite,Mg(2)Si(2)O(6),-2905788.0,10.0,6.076,1160254.0,6.23685,824.4439,1.12473,0.20401,0.0,300.0,6.076,,,,c2/c,6
MgCaFerrite,Mg(1)Al(2)O(4),-2122169.0,7.0,3.6177,2106663.0,4.0528,838.6291,1.31156,1.0,0.0,300.0,3.6177,,,,mfer,6
MgAkimotoite,Mg(1)Si(1)O(3),-1410850.0,5.0,2.6354,2107060.0,5.62088,935.9778,1.18984,2.34514,0.0,300.0,2.6354,,,,aki,6
MgMajorite,Mg(4)Si(4)O(12),-5691614.0,20.0,11.4324,1651183.0,4.21183,822.458,0.97682,1.53581,0.0,300.0,11.4324,,,,maj,6
MgPerovskite,Mg(1)Si(1)O(3),-1368283.0,5.0,2.4445,2505264.0,4.14,905.9412,1.56508,1.10945,0.0,300.0,2.4445,,,,perov,6
MgRingwoodite,Mg(2)Si(1)O(4),-2017557.0,7.0,3.9493,1849009.0,4.22035,877.7094,1.10791,2.3914,0.0,300.0,3.9493,,,,ring,6
MgTschermaks,Mg(1)Al(2)Si(1)O(6),-3002470.0,10.0,5.914,1070768.0,7.02751,783.8404,0.78479,3.43846,0.0,300.0,5.914,,,,ts,6
MgWadsleyite,Mg(2)Si(1)O(4),-2027837.0,7.0,4.0515,1686948.0,4.3229,843.4973,1.2061,2.0188,0.0,300.0,4.0515,,,,wad,6
MgPostPerovskite,Mg(1)Si(1)O(3),-1348641.0,5.0,2.4419,2312000.0,4.0,855.8173,1.89155,1.09081,0.0,300.0,2.4419,,,,ppv,6
NaCaFerrite,Na(1)Al(1)Si(1)O(4),-1844129.0,7.0,3.627,1613385.0,4.32479,812.4769,0.69428,1.0,0.0,300.0,3.627,,,,nfer,6
Nepheline,Na(1)Al(1)Si(1)O(4),-1992104.0,7.0,5.46684,530779.9,4.0,700.9422,0.69428,1.0,0.0,300.0,5.46684,,,,neph,6
OrthoDiopside,Ca(1)Mg(1)Si(2)O(6),-3015827.0,10.0,6.8054,1070768.0,7.02751,744.6988,0.78479,3.43846,0.0,300.0,6.8054,,,,odi,6
Periclase,Mg(1)O(1),-569444.6,2.0,1.1244,1613836.0,3.84045,767.0977,1.36127,1.7217,0.0,300.0,1.1244,,,,per,6
Pyrope,Mg(3)Al(2)Si(3)O(12),-5936538.0,20.0,11.308,1702396.0,4.11067,823.2102,1.01424,1.42169,0.0,300.0,11.308,,,,py,6
Quartz,Si(1)O(2),-858853.4,3.0,2.367003,495474.3,4.33155,816.3307,-0.00296,1.0,0.0,300.0,2.367003,847.0,0.1188,4.95,q,6
MgSpinel,Mg(4)Al(8)O(16),-8667568.0,28.0,15.9048,1969428.0,5.68282,842.8104,1.02283,2.71208,0.0,300.0,15.9048,,,,sp,6
Stishovite,Si(1)O(2),-818984.6,3.0,1.4017,3143352.0,3.75122,1107.824,1.37466,2.83517,0.0,300.0,1.4017,,,,st,6
Wuestite,Fe(1)O(1),-242146.0,2.0,1.2264,1794442.0,4.9376,454.1592,1.53047,1.7217,0.0,300.0,1.2264,,,,wus,6
