a0,abbrev,eos,formula,gamma0,k00,k0p,n,name,q,refS,SD,T_r,TC0,theta0,v0,V_r,VD
-3720147.6,ab,6,Na(1)Al(1)Si(3)O(8),0.57885,597526.8,2.77841,13.0,Albite,1.0,0.0,,300.0,,720.00359,-10.0452,-10.0452,
-4933027.97,alm,6,Fe(3)Al(2)Si(3)O(12),1.06493,1738963.7,4.91341,20.0,Almandine,1.42169,0.0,40.14405,300.0,7.5,741.38227,-11.543,-11.543,
-1517728.63,aperov,6,Al(2)O(3),1.54222,2424000.0,4.1,5.0,AlPerovskite,0.84088,0.0,,300.0,,858.26509,-2.4944,-2.4944,
-4013369.04,an,6,Ca(1)Al(2)Si(2)O(8),0.38497,840933.1,6.73404,13.0,Anorthite,1.0,0.0,,300.0,,752.34537,-10.061,-10.061,
-2114835.79,anao,6,Na(2)Al(2)O(4),1.45033,1611439.3,3.90838,8.0,AlphaNaO2,1.5487,0.0,,300.0,,753.49641,-4.542,-4.542,
-793366.84,seif,6,Si(1)O(2),1.55674,3271560.1,4.01662,3.0,Seifertite,2.2096,0.0,,300.0,,1128.9459,-1.367,-1.367,
-1336464.73,appv,6,Al(2)O(3),1.88758,2490000.0,4.0,5.0,AlPostPerovskite,2.04631,0.0,,300.0,,722.93835,-2.3847,-2.3847,
-1459910.18,ca-pv,6,Ca(1)Si(1)O(3),1.88943,2360000.0,3.9,5.0,CaPerovskite,0.89662,0.0,,300.0,,798.78581,-2.745,-2.745,
-3119447.41,cts,6,Ca(1)Al(2)Si(1)O(6),0.82288,1137599.0,4.8061,10.0,CaTschermaks,0.60142,0.0,,300.0,,804.36068,-6.3574,-6.3574,
-2906835.53,cen,6,Mg(2)Si(2)O(6),1.00921,1137599.0,4.8061,10.0,Clinoenstatite,0.60142,0.0,,300.0,,806.64315,-6.25,-6.25,
-1582440.32,cor,6,AL(2)O(3),1.3081,2525857.2,3.88671,5.0,Corundum,1.71245,0.0,,300.0,,932.21586,-2.5577,-2.5577,
