T(K)           P(bar)         O              Pl             Pl             Sp             Cpx            Cpx            Cpx            qtz            Gt             Gt             ky             coes           Opx           
  773.000        25000.0                 NaN            NaN            NaN            NaN   49.2003                 NaN            NaN   11.6908        39.1088                 NaN            NaN            NaN            NaN
  778.051        24798.0                 NaN            NaN            NaN            NaN   49.2078                 NaN            NaN   11.6938        39.0984                 NaN            NaN            NaN            NaN
  783.101        24596.0                 NaN            NaN            NaN            NaN   49.2288                 NaN            NaN   11.6970        39.0742                 NaN            NaN            NaN            NaN
  788.152        24393.9                 NaN            NaN            NaN            NaN   49.2492                 NaN            NaN   11.6998        39.0510                 NaN            NaN            NaN            NaN
  793.202        24191.9                 NaN            NaN            NaN            NaN   49.2513                 NaN            NaN   11.7032        39.0455                 NaN            NaN            NaN            NaN
  798.253        23989.9                 NaN            NaN            NaN            NaN   49.2709                 NaN            NaN   11.7063        39.0227                 NaN            NaN            NaN            NaN
  803.303        23787.9                 NaN            NaN            NaN            NaN   49.2973                 NaN            NaN   11.7095        38.9931                 NaN            NaN            NaN            NaN
  808.354        23585.9                 NaN            NaN            NaN            NaN   49.3090                 NaN            NaN   11.7129        38.9782                 NaN            NaN            NaN            NaN
  813.404        23383.8                 NaN            NaN            NaN            NaN   49.3177                 NaN            NaN   11.7160        38.9663                 NaN            NaN            NaN            NaN
  818.455        23181.8                 NaN            NaN            NaN            NaN   49.3422                 NaN            NaN   11.7193        38.9386                 NaN            NaN            NaN            NaN
  823.505        22979.8                 NaN            NaN            NaN            NaN   49.3610                 NaN            NaN   11.7227        38.9163                 NaN            NaN            NaN            NaN
  828.556        22777.8                 NaN            NaN            NaN            NaN   49.3875                 NaN            NaN   11.7260        38.8865                 NaN            NaN            NaN            NaN
  833.606        22575.8                 NaN            NaN            NaN            NaN   49.4155                 NaN            NaN   11.7293        38.8551                 NaN            NaN            NaN            NaN
  838.657        22373.7                 NaN            NaN            NaN            NaN   49.4552                 NaN            NaN   11.7326        38.8122                 NaN            NaN            NaN            NaN
  843.707        22171.7                 NaN            NaN            NaN            NaN   49.4820                 NaN            NaN   11.7361        38.7819                 NaN            NaN            NaN            NaN
  848.758        21969.7                 NaN            NaN            NaN            NaN   49.5064                 NaN            NaN   11.7396        38.7539                 NaN            NaN            NaN            NaN
  853.808        21767.7                 NaN            NaN            NaN            NaN   49.5664                 NaN            NaN   11.7429        38.6907                 NaN            NaN            NaN            NaN
  858.859        21565.7                 NaN            NaN            NaN            NaN   49.5599                 NaN            NaN   11.7466        38.6935                 NaN            NaN            NaN            NaN
  863.909        21363.6                 NaN            NaN            NaN            NaN   49.5964                 NaN            NaN   11.7502        38.6534                 NaN            NaN            NaN            NaN
  868.960        21161.6                 NaN            NaN            NaN            NaN   49.6329                 NaN            NaN   11.7538        38.6133                 NaN            NaN            NaN            NaN
  874.010        20959.6                 NaN            NaN            NaN            NaN   49.6686                 NaN            NaN   11.7574        38.5741                 NaN            NaN            NaN            NaN
  879.061        20757.6                 NaN            NaN            NaN            NaN   49.7324                 NaN            NaN   11.7609        38.5067                 NaN            NaN            NaN            NaN
  884.111        20555.6                 NaN            NaN            NaN            NaN   49.7565                 NaN            NaN   11.7647        38.4788                 NaN            NaN            NaN            NaN
  889.162        20353.5                 NaN            NaN            NaN            NaN   49.8002                 NaN            NaN   11.7684        38.4314                 NaN            NaN            NaN            NaN
  894.212        20151.5                 NaN            NaN            NaN            NaN   49.8388                 NaN            NaN   11.7722        38.3890                 NaN            NaN            NaN            NaN
  899.263        19949.5                 NaN            NaN            NaN            NaN   49.8914                 NaN            NaN   11.7760        38.3326                 NaN            NaN            NaN            NaN
  904.313        19747.5                 NaN            NaN            NaN            NaN   49.9400                 NaN            NaN   11.7798        38.2802                 NaN            NaN            NaN            NaN
  909.364        19545.5                 NaN            NaN            NaN            NaN   49.9904                 NaN            NaN   11.7837        38.2258                 NaN            NaN            NaN            NaN
  914.414        19343.4                 NaN            NaN            NaN            NaN   50.0452                 NaN            NaN   11.7877        38.1671                 NaN            NaN            NaN            NaN
  919.465        19141.4                 NaN            NaN            NaN            NaN   50.1096                 NaN            NaN   11.7916        38.0988                 NaN            NaN            NaN            NaN
  924.515        18939.4                 NaN            NaN            NaN            NaN   50.1705                 NaN            NaN   11.7956        38.0339                 NaN            NaN            NaN            NaN
  929.566        18737.4                 NaN            NaN            NaN            NaN   50.2290                 NaN            NaN   11.7997        37.9713                 NaN            NaN            NaN            NaN
  934.616        18535.4                 NaN            NaN            NaN            NaN   50.3375                 NaN            NaN   11.8035        37.8590                 NaN            NaN            NaN            NaN
  939.667        18333.3                 NaN            NaN            NaN            NaN   50.3820                 NaN            NaN   11.8079        37.8101                 NaN            NaN            NaN            NaN
  944.717        18131.3                 NaN            NaN            NaN            NaN   50.4314                 NaN            NaN   11.8123        37.7563                 NaN            NaN            NaN            NaN
  949.768        17929.3                 NaN            NaN            NaN            NaN   50.5358                 NaN            NaN   11.8164        37.6478                 NaN            NaN            NaN            NaN
  954.818        17727.3                 NaN            NaN            NaN            NaN   50.5805                 NaN            NaN   11.8210        37.5986                 NaN            NaN            NaN            NaN
  959.869        17525.3                 NaN            NaN            NaN            NaN   50.6614                 NaN            NaN   11.8254        37.5132                 NaN            NaN            NaN            NaN
  964.919        17323.2                 NaN            NaN            NaN            NaN   50.7552                 NaN            NaN   11.8298        37.4150                 NaN            NaN            NaN            NaN
  969.970        17121.2                 NaN            NaN            NaN            NaN   50.8461                 NaN            NaN   11.8344        37.3195                 NaN            NaN            NaN            NaN
  975.020        16919.2                 NaN            NaN            NaN            NaN   50.9288                 NaN            NaN   11.8391        37.2321                 NaN            NaN            NaN            NaN
  980.071        16717.2                 NaN            NaN            NaN            NaN   51.0195                 NaN            NaN   11.8438        37.1366                 NaN            NaN            NaN            NaN
  985.121        16515.2                 NaN            NaN            NaN            NaN   51.1051                 NaN            NaN   11.8488        37.0462                 NaN            NaN            NaN            NaN
  990.172        16313.1                 NaN            NaN            NaN            NaN   51.2137                 NaN            NaN   11.8536        36.9327                 NaN            NaN            NaN            NaN
  995.222        16111.1                 NaN            NaN            NaN            NaN   51.3087                 NaN            NaN   11.8587        36.8326                 NaN            NaN            NaN            NaN
  1000.27        15909.1                 NaN            NaN            NaN            NaN   51.4084                 NaN            NaN   11.8639        36.7277                 NaN            NaN            NaN            NaN
  1005.32        15707.1                 NaN            NaN            NaN            NaN   51.5133                 NaN            NaN   11.8693        36.6174                 NaN            NaN            NaN            NaN
  1010.37        15505.1                 NaN   2.54090                 NaN            NaN   49.7737                 NaN            NaN   11.2508        36.4346                 NaN            NaN            NaN            NaN
