setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si50_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3198.841156795822,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.2684806284664147,1.8719374921580325,1.8817778271752776,1.8822690899021814,1.8822690899021814
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si51_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3104.582974173026,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.178891697049481,2.1748424839298397,2.229099286974244,2.23167889677879,2.23167889677879
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si52_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3024.0716071500706,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.1002311394091144,2.7300807739238815,2.7938914219008097,2.797311560078069,2.797311560078069
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si53_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2985.6155199423015,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.0720544283140514,2.811934384911517,2.8675912031324033,2.8705777755335977,2.8705777755335977
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si54_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2966.5843533161305,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.0522879446821496,2.733203853619007,2.7869740476538283,2.7898583742131895,2.7898583742131895
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si55_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2947.1703574165967,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.0320303583229498,2.6528588628916516,2.7046918144954226,2.707474756038375,2.707474756038375
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si56_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2927.9826229248374,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.0118824229558605,2.5699472974949478,2.6198009232505335,2.6224778045246926,2.6224778045246926
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si57_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2909.4306322505363,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,2.992237680070414,2.4843998250076065,2.5322528375290885,2.5348351213044853,2.5348351213044853
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.01,si58_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2891.3503900959095,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,2.972891589310263,2.393886689230059,2.4397091022000046,2.4421674676915077,2.4421674676915077
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si50_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3198.841156795822,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.3132571648360942,3.22379982634065,3.2497021082126984,3.2506446934010045,3.2506446934010045
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si51_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3104.582974173026,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.2313319547664276,4.206615982115701,4.266357274453297,4.269208298221324,4.269208298221324
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si52_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3024.0716071500706,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.163504194947044,5.331014133017602,5.372239298000666,5.374037054180273,5.374037054180273
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si53_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2985.6155199423015,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.1360787857105064,5.308670520600897,5.347610339113562,5.349299210732696,5.349299210732696
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si54_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2966.5843533161305,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.113620401651732,5.164289116874015,5.205535017747234,5.2073935013906505,5.2073935013906505
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si55_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2947.1703574165967,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.0906531466963783,5.016048324167014,5.059588665199264,5.061577210007524,5.061577210007524
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si56_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2927.9826229248374,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.067767604218368,4.8624500318101695,4.908309013654987,4.910445903565219,4.910445903565219
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si57_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2909.4306322505363,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.045375196277678,4.704196242705965,4.752606802531574,4.754892136647707,4.754892136647707
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.03,si58_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2891.3503900959095,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.023228832066791,4.537880408197039,4.58898581321533,4.591451337945164,4.591451337945164
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si50_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3198.841156795822,73693.69369369374,20097.59675675677,1249.9199076760112,nan,nan,nan,0.09194390774252162,0.0801837539800576,0.013363625577882664,3.3811378565642043,4.814407217970239,4.8150438708031125,4.815046436729852,4.815046436729852
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si51_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3104.582974173026,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.3233695833243018,6.547709113763884,6.551343939360119,6.551368500512555,6.551368500512555
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si52_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,3024.0716071500706,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.276120591449905,8.38870946066229,8.389984019163396,8.390015828349295,8.390015828349295
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si53_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2985.6155199423015,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.2471435644666364,8.301163695016799,8.302663509337018,8.302676584777647,8.302676584777647
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si54_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2966.5843533161305,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.2208401565518145,8.07115062497106,8.075108083525677,8.07511837828671,8.07511837828671
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si55_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2947.1703574165967,85000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.1939849854765323,7.838771514414972,7.840688043101744,7.8407028426424175,7.8407028426424175
hot-1,55000.0,30000.0,80000.0,2e-06,13000.0,3.0,283.15,1603.15,0.1,si56_norm,1044.0464720227953,1293.9693566065441,8181.540000000001,2927.9826229248374,85000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,3.167172044711113,7.5972632740753685,7.598363844479609,7.598364075623685,7.598364075623685
