setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,max_densification_rate,qs0,qs1
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_4,1028.6400394426212,1184.4125027030839,8181.540000000001,2804.067957440246,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.3962756212369507,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_3,1028.6400394426212,1184.4125027030839,8181.540000000001,2869.7025389263404,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.5543212439791043,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,sammon_2021_lower_crust,1028.6400394426212,1184.4125027030839,8181.540000000001,2945.596294065828,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.585380545828919,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,sammon_2021_deep_crust,1028.6400394426212,1184.4125027030839,8181.540000000001,2874.5882203329525,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.4617171252726737,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_2,1028.6400394426212,1184.4125027030839,8181.540000000001,2970.5873443134933,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.6522802716246674,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,hacker_2015_md_xenolith,1028.6400394426212,1184.4125027030839,8181.540000000001,2983.7465687483723,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.6376532520542153,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,hacker_2015_bin_1,1028.6400394426212,1184.4125027030839,8181.540000000001,3187.4152406999615,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.229964985036766,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.001,mackwell_1998_maryland_diabase,1028.6400394426212,1184.4125027030839,8181.540000000001,3042.7485084825735,85000.0,30000.0,769.6550473153219,nan,nan,nan,1.541573031264871,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_4,1028.6400394426212,1184.4125027030839,8181.540000000001,2804.067957440246,85000.0,30000.0,769.6550473153219,nan,nan,nan,38.203915608305834,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_3,1028.6400394426212,1184.4125027030839,8181.540000000001,2869.7025389263404,85000.0,30000.0,769.6550473153219,nan,nan,nan,43.51488665102918,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,1028.6400394426212,1184.4125027030839,8181.540000000001,2945.596294065828,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,45.814906745332095,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,1028.6400394426212,1184.4125027030839,8181.540000000001,2874.5882203329525,85000.0,30000.0,769.6550473153219,nan,nan,nan,41.73455381488922,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_2,1028.6400394426212,1184.4125027030839,8181.540000000001,2970.5873443134933,80000.0,21817.44,769.6550473153219,nan,nan,nan,47.6045700950812,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,1028.6400394426212,1184.4125027030839,8181.540000000001,2983.7465687483723,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,47.30156533669504,0.085673385764147,0.06346236203772533
hot-1,55000.0,30000.0,80000.0,1.5e-06,11500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_1,1028.6400394426212,1184.4125027030839,8181.540000000001,3187.4152406999615,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,36.58340947616387,0.085673385764147,0.06346236203772533
