|6.6.6
bhowany_2018_hol2a_1.tab
1
T(K)
500.00000000000011
500.00000000000011
-1905003274
13
T(K) P(bar) O Pl Pl Cpx Cpx Opx Sp Gt ky qtz Aki
773.150 25000.0 NaN NaN NaN 66.8343 NaN NaN NaN 2.57929 26.1876 4.39882 NaN
778.201 24798.0 NaN NaN NaN 67.1477 NaN NaN NaN 2.20675 26.3078 4.33777 NaN
783.251 24596.0 NaN NaN NaN 67.4632 NaN NaN NaN 1.83202 26.4282 4.27656 NaN
788.302 24393.9 NaN NaN NaN 67.7702 NaN NaN NaN 1.46787 26.5446 4.21740 NaN
793.352 24191.9 NaN NaN NaN 68.0523 NaN NaN NaN 1.13387 26.6502 4.16370 NaN
798.403 23989.9 NaN NaN NaN 68.2894 NaN NaN NaN 0.854254 26.7366 4.11974 NaN
803.453 23787.9 NaN NaN NaN 68.4408 NaN NaN NaN 0.678362 26.7863 4.09457 NaN
808.504 23585.9 NaN NaN NaN 68.5305 NaN NaN NaN 0.577470 26.8086 4.08336 NaN
813.554 23383.8 NaN NaN NaN 68.5905 NaN NaN NaN 0.513423 26.8166 4.07942 NaN
818.605 23181.8 NaN NaN NaN 68.6192 NaN NaN NaN 0.487958 26.8098 4.08304 NaN
823.655 22979.8 NaN NaN NaN 68.6355 NaN NaN NaN 0.478358 26.7958 4.09029 NaN
828.706 22777.8 NaN NaN NaN 68.6546 NaN NaN NaN 0.465728 26.7824 4.09727 NaN
833.756 22575.8 NaN NaN NaN 68.6624 NaN NaN NaN 0.467761 26.7622 4.10764 NaN
838.807 22373.7 NaN NaN NaN 68.6692 NaN NaN NaN 0.471638 26.7402 4.11891 NaN
843.857 22171.7 NaN NaN NaN 68.6728 NaN NaN NaN 0.480226 26.7153 4.13167 NaN
848.908 21969.7 NaN NaN NaN 68.6736 NaN NaN NaN 0.492938 26.6877 4.14578 NaN
853.958 21767.7 NaN NaN NaN 68.6746 NaN NaN NaN 0.506169 26.6586 4.16063 NaN
859.009 21565.7 NaN NaN NaN 68.6718 NaN NaN NaN 0.525145 26.6255 4.17748 NaN
864.059 21363.6 NaN NaN NaN 68.6698 NaN NaN NaN 0.543422 26.5924 4.19436 NaN
869.110 21161.6 NaN NaN NaN 68.6659 NaN NaN NaN 0.565281 26.5558 4.21299 NaN
874.160 20959.6 NaN NaN NaN 68.6618 NaN NaN NaN 0.588162 26.5177 4.23234 NaN
879.211 20757.6 NaN NaN NaN 68.6570 NaN NaN NaN 0.612957 26.4770 4.25304 NaN
884.261 20555.6 NaN NaN NaN 68.6507 NaN NaN NaN 0.640743 26.4334 4.27516 NaN
889.312 20353.5 NaN NaN NaN 68.6444 NaN NaN NaN 0.669632 26.3876 4.29837 NaN
894.362 20151.5 NaN NaN NaN 68.6375 NaN NaN NaN 0.700155 26.3396 4.32271 NaN
899.413 19949.5 NaN NaN NaN 68.6298 NaN NaN NaN 0.732503 26.2897 4.34800 NaN
904.463 19747.5 NaN NaN NaN 68.6219 NaN NaN NaN 0.766505 26.2368 4.37483 NaN
909.514 19545.5 NaN NaN NaN 68.6123 NaN NaN NaN 0.804180 26.1799 4.40360 NaN
914.564 19343.4 NaN NaN NaN 68.6036 NaN NaN NaN 0.842246 26.1204 4.43371 NaN
919.615 19141.4 NaN NaN NaN 68.5925 NaN NaN NaN 0.883961 26.0585 4.46507 NaN
924.665 18939.4 NaN NaN NaN 68.5809 NaN NaN NaN 0.928584 25.9917 4.49883 NaN
929.716 18737.4 NaN NaN NaN 68.5716 NaN NaN NaN 0.971141 25.9245 4.53282 NaN
934.766 18535.4 NaN NaN NaN 68.5600 NaN NaN NaN 1.01835 25.8524 4.56928 NaN
939.817 18333.3 NaN NaN NaN 68.5462 NaN NaN NaN 1.06994 25.7759 4.60792 NaN
944.867 18131.3 NaN NaN NaN 68.5337 NaN NaN NaN 1.12200 25.6960 4.64830 NaN
949.918 17929.3 NaN NaN NaN 68.5193 NaN NaN NaN 1.17801 25.6118 4.69086 NaN
954.968 17727.3 NaN NaN NaN 68.5042 NaN NaN NaN 1.23697 25.5233 4.73561 NaN
960.019 17525.3 NaN NaN NaN 68.4897 NaN NaN NaN 1.29586 25.4333 4.78112 NaN
965.069 17323.2 NaN NaN NaN 68.4740 NaN NaN NaN 1.36174 25.3320 4.83224 NaN
970.120 17121.2 NaN NaN NaN 68.4567 NaN NaN NaN 1.42974 25.2295 4.88407 NaN
975.170 16919.2 NaN NaN NaN 68.4404 NaN NaN NaN 1.49824 25.1238 4.93750 NaN
980.221 16717.2 NaN NaN NaN 68.4219 NaN NaN NaN 1.57114 25.0137 4.99320 NaN
985.271 16515.2 NaN NaN NaN 68.3996 NaN NaN NaN 1.65258 24.8940 5.05376 NaN
990.322 16313.1 NaN NaN NaN 68.3848 NaN NaN NaN 1.72586 24.7757 5.11365 NaN
995.372 16111.1 NaN NaN NaN 68.3632 NaN NaN NaN 1.81351 24.6421 5.18121 NaN
1000.42 15909.1 NaN 0.433630 NaN 68.0226 NaN NaN NaN 1.90805 24.4859 5.14982 NaN
1005.47 15707.1 NaN 8.56905 NaN 61.9534 NaN NaN NaN 2.22418 23.8614 3.39193 NaN
1010.52 15505.1 NaN 15.1887 NaN 56.9314 NaN NaN NaN 2.64952 23.1848 2.04557 NaN
1015.57 15303.0 NaN 20.7827 NaN 52.5941 NaN NaN NaN 3.20062 22.4167 1.00586 NaN
1020.62 15101.0 NaN 25.6587 NaN 48.7069 NaN NaN NaN 3.90773 21.5069 0.219798 NaN
