|6.6.6
bhowany_2018_hol2a_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 2797.32
776.295 5000.00 2797.12
779.439 5000.00 2796.93
782.584 5000.00 2796.73
785.729 5000.00 2796.54
788.873 5000.00 2796.34
792.018 5000.00 2796.14
795.163 5000.00 2795.95
798.307 5000.00 2795.75
801.452 5000.00 2795.56
804.597 5000.00 2795.36
807.741 5000.00 2795.16
810.886 5000.00 2794.97
814.031 5000.00 2794.77
817.175 5000.00 2794.57
820.320 5000.00 2794.38
823.464 5000.00 2794.18
826.609 5000.00 2793.98
829.754 5000.00 2793.79
832.898 5000.00 2793.59
836.043 5000.00 2793.39
839.188 5000.00 2793.19
842.332 5000.00 2793.00
845.477 5000.00 2792.80
848.622 5000.00 2792.60
851.766 5000.00 2792.40
854.911 5000.00 2792.20
858.056 5000.00 2792.01
861.200 5000.00 2791.81
864.345 5000.00 2791.61
867.490 5000.00 2791.41
870.634 5000.00 2791.21
873.779 5000.00 2791.01
876.924 5000.00 2790.82
880.068 5000.00 2790.62
883.213 5000.00 2790.42
886.358 5000.00 2790.22
889.502 5000.00 2790.02
892.647 5000.00 2789.82
895.792 5000.00 2789.62
898.936 5000.00 2789.42
902.081 5000.00 2789.22
905.225 5000.00 2789.02
908.370 5000.00 2788.82
911.515 5000.00 2788.62
914.659 5000.00 2788.42
917.804 5000.00 2788.22
920.949 5000.00 2788.02
924.093 5000.00 2787.82
927.238 5000.00 2787.62
930.383 5000.00 2787.42
933.527 5000.00 2787.22
936.672 5000.00 2787.02
939.817 5000.00 2786.82
942.961 5000.00 2786.62
946.106 5000.00 2786.42
949.251 5000.00 2786.22
952.395 5000.00 2786.01
955.540 5000.00 2785.81
958.685 5000.00 2785.61
961.829 5000.00 2785.41
964.974 5000.00 2785.21
968.119 5000.00 2785.01
971.263 5000.00 2784.81
974.408 5000.00 2784.60
977.553 5000.00 2784.40
980.697 5000.00 2784.20
983.842 5000.00 2784.00
986.986 5000.00 2783.80
990.131 5000.00 2783.59
993.276 5000.00 2783.39
996.420 5000.00 2783.19
999.565 5000.00 2782.99
1002.71 5000.00 2782.78
1005.85 5000.00 2782.58
1009.00 5000.00 2782.38
1012.14 5000.00 2782.17
1015.29 5000.00 2781.97
1018.43 5000.00 2781.77
1021.58 5000.00 2781.57
1024.72 5000.00 2781.36
1027.87 5000.00 2781.16
1031.01 5000.00 2780.96
1034.16 5000.00 2780.75
1037.30 5000.00 2780.55
1040.45 5000.00 2780.34
1043.59 5000.00 2780.14
1046.73 5000.00 2779.94
1049.88 5000.00 2779.73
1053.02 5000.00 2779.53
1056.17 5000.00 2779.32
1059.31 5000.00 2779.12
1062.46 5000.00 2778.92
1065.60 5000.00 2778.71
1068.75 5000.00 2778.51
1071.89 5000.00 2778.30
1075.04 5000.00 2778.10
1078.18 5000.00 2777.89
1081.33 5000.00 2777.69
1084.47 5000.00 2777.48
1087.62 5000.00 2777.28
1090.76 5000.00 2777.07
1093.90 5000.00 2776.87
1097.05 5000.00 2776.66
1100.19 5000.00 2776.46
1103.34 5000.00 2776.25
1106.48 5000.00 2776.04
1109.63 5000.00 2775.84
1112.77 5000.00 2775.63
1115.92 5000.00 2775.43
1119.06 5000.00 2775.22
1122.21 5000.00 2775.02
1125.35 5000.00 2774.81
1128.50 5000.00 2774.60
1131.64 5000.00 2774.40
1134.79 5000.00 2774.19
1137.93 5000.00 2773.98
1141.07 5000.00 2773.78
1144.22 5000.00 2773.57
1147.36 5000.00 2773.36
1150.51 5000.00 2773.16
1153.65 5000.00 2772.95
1156.80 5000.00 2772.74
1159.94 5000.00 2772.54
1163.09 5000.00 2772.33
1166.23 5000.00 2772.12
1169.38 5000.00 2771.92
1172.52 5000.00 2771.71
1175.67 5000.00 2771.50
1178.81 5000.00 2771.29
1181.96 5000.00 2771.09
1185.10 5000.00 2770.88
1188.24 5000.00 2770.67
1191.39 5000.00 2770.46
1194.53 5000.00 2770.25
1197.68 5000.00 2770.05
1200.82 5000.00 2769.84
1203.97 5000.00 2769.63
1207.11 5000.00 2769.42
1210.26 5000.00 2769.21
1213.40 5000.00 2769.01
1216.55 5000.00 2768.80
1219.69 5000.00 2768.59
1222.84 5000.00 2768.38
1225.98 5000.00 2768.17
1229.12 5000.00 2767.96
1232.27 5000.00 2767.75
1235.41 5000.00 2767.54
1238.56 5000.00 2767.33
1241.70 5000.00 2767.13
1244.85 5000.00 2766.92
1247.99 5000.00 2766.71
1251.14 5000.00 2766.50
1254.28 5000.00 2766.29
1257.43 5000.00 2766.08
1260.57 5000.00 2765.87
1263.72 5000.00 2765.66
1266.86 5000.00 2765.45
1270.01 5000.00 2765.24
1273.15 5000.00 2765.03
773.150 5125.79 2797.80
776.295 5125.79 2797.60
779.439 5125.79 2797.41
782.584 5125.79 2797.21
785.729 5125.79 2797.02
788.873 5125.79 2796.82
792.018 5125.79 2796.63
795.163 5125.79 2796.43
798.307 5125.79 2796.23
801.452 5125.79 2796.04
804.597 5125.79 2795.84
807.741 5125.79 2795.65
810.886 5125.79 2795.45
814.031 5125.79 2795.25
817.175 5125.79 2795.06
820.320 5125.79 2794.86
823.464 5125.79 2794.66
826.609 5125.79 2794.47
829.754 5125.79 2794.27
832.898 5125.79 2794.07
836.043 5125.79 2793.87
839.188 5125.79 2793.68
842.332 5125.79 2793.48
845.477 5125.79 2793.28
848.622 5125.79 2793.08
851.766 5125.79 2792.89
854.911 5125.79 2792.69
858.056 5125.79 2792.49
861.200 5125.79 2792.29
864.345 5125.79 2792.09
867.490 5125.79 2791.90
870.634 5125.79 2791.70
873.779 5125.79 2791.50
876.924 5125.79 2791.30
880.068 5125.79 2791.10
883.213 5125.79 2790.90
886.358 5125.79 2790.70
889.502 5125.79 2790.50
892.647 5125.79 2790.31
895.792 5125.79 2790.11
898.936 5125.79 2789.91
902.081 5125.79 2789.71
905.225 5125.79 2789.51
908.370 5125.79 2789.31
911.515 5125.79 2789.11
914.659 5125.79 2788.91
917.804 5125.79 2788.71
920.949 5125.79 2788.51
924.093 5125.79 2788.31
927.238 5125.79 2788.11
930.383 5125.79 2787.91
933.527 5125.79 2787.71
936.672 5125.79 2787.51
939.817 5125.79 2787.31
942.961 5125.79 2787.11
946.106 5125.79 2786.91
949.251 5125.79 2786.70
952.395 5125.79 2786.50
955.540 5125.79 2786.30
958.685 5125.79 2786.10
961.829 5125.79 2785.90
964.974 5125.79 2785.70
968.119 5125.79 2785.50
971.263 5125.79 2785.30
974.408 5125.79 2785.09
977.553 5125.79 2784.89
980.697 5125.79 2784.69
983.842 5125.79 2784.49
986.986 5125.79 2784.29
990.131 5125.79 2784.08
993.276 5125.79 2783.88
996.420 5125.79 2783.68
999.565 5125.79 2783.48
1002.71 5125.79 2783.27
1005.85 5125.79 2783.07
1009.00 5125.79 2782.87
1012.14 5125.79 2782.67
1015.29 5125.79 2782.46
1018.43 5125.79 2782.26
1021.58 5125.79 2782.06
1024.72 5125.79 2781.85
1027.87 5125.79 2781.65
1031.01 5125.79 2781.45
1034.16 5125.79 2781.24
1037.30 5125.79 2781.04
1040.45 5125.79 2780.84
1043.59 5125.79 2780.63
1046.73 5125.79 2780.43
1049.88 5125.79 2780.23
1053.02 5125.79 2780.02
1056.17 5125.79 2779.82
1059.31 5125.79 2779.61
1062.46 5125.79 2779.41
1065.60 5125.79 2779.21
1068.75 5125.79 2779.00
1071.89 5125.79 2778.80
1075.04 5125.79 2778.59
1078.18 5125.79 2778.39
1081.33 5125.79 2778.18
1084.47 5125.79 2777.98
1087.62 5125.79 2777.77
1090.76 5125.79 2777.57
1093.90 5125.79 2777.36
1097.05 5125.79 2777.16
1100.19 5125.79 2776.95
1103.34 5125.79 2776.75
1106.48 5125.79 2776.54
1109.63 5125.79 2776.34
1112.77 5125.79 2776.13
1115.92 5125.79 2775.92
1119.06 5125.79 2775.72
1122.21 5125.79 2775.51
1125.35 5125.79 2775.31
1128.50 5125.79 2775.10
1131.64 5125.79 2774.90
1134.79 5125.79 2774.69
1137.93 5125.79 2774.48
1141.07 5125.79 2774.28
1144.22 5125.79 2774.07
1147.36 5125.79 2773.86
1150.51 5125.79 2773.66
1153.65 5125.79 2773.45
1156.80 5125.79 2773.24
1159.94 5125.79 2773.04
1163.09 5125.79 2772.83
1166.23 5125.79 2772.62
1169.38 5125.79 2772.42
1172.52 5125.79 2772.21
1175.67 5125.79 2772.00
1178.81 5125.79 2771.79
1181.96 5125.79 2771.59
1185.10 5125.79 2771.38
1188.24 5125.79 2771.17
1191.39 5125.79 2770.96
1194.53 5125.79 2770.76
1197.68 5125.79 2770.55
1200.82 5125.79 2770.34
1203.97 5125.79 2770.13
1207.11 5125.79 2769.92
1210.26 5125.79 2769.72
1213.40 5125.79 2769.51
1216.55 5125.79 2769.30
1219.69 5125.79 2769.09
1222.84 5125.79 2768.88
1225.98 5125.79 2768.67
1229.12 5125.79 2768.47
1232.27 5125.79 2768.26
1235.41 5125.79 2768.05
1238.56 5125.79 2767.84
1241.70 5125.79 2767.63
1244.85 5125.79 2767.42
1247.99 5125.79 2767.21
1251.14 5125.79 2767.00
1254.28 5125.79 2766.79
1257.43 5125.79 2766.59
1260.57 5125.79 2766.38
1263.72 5125.79 2766.17
1266.86 5125.79 2765.96
1270.01 5125.79 2765.75
1273.15 5125.79 2765.54
773.150 5251.57 2798.28
776.295 5251.57 2798.08
779.439 5251.57 2797.89
782.584 5251.57 2797.69
785.729 5251.57 2797.50
788.873 5251.57 2797.30
