|6.6.6
hacker_2015_md_xenolith_1.tab
1
T(K)
500.00000000000011
500.00000000000011
1568326902
9
T(K) P(bar) Pl Pl Cpx Opx qtz Gt ky
773.150 25000.0 NaN NaN 55.2945 NaN 10.9431 23.1378 10.6246
778.201 24798.0 NaN NaN 55.2613 NaN 10.9558 23.1786 10.6042
783.251 24596.0 NaN NaN 55.2305 NaN 10.9681 23.2166 10.5848
788.302 24393.9 NaN NaN 55.1970 NaN 10.9812 23.2581 10.5637
793.352 24191.9 NaN NaN 55.1653 NaN 10.9942 23.2975 10.5430
798.403 23989.9 NaN NaN 55.1312 NaN 11.0079 23.3401 10.5208
803.453 23787.9 NaN NaN 55.0979 NaN 11.0217 23.3818 10.4987
808.504 23585.9 NaN NaN 55.0685 NaN 11.0348 23.4190 10.4777
813.554 23383.8 NaN NaN 55.0386 NaN 11.0484 23.4570 10.4560
818.605 23181.8 NaN NaN 55.0032 NaN 11.0634 23.5019 10.4315
823.655 22979.8 NaN NaN 54.9750 NaN 11.0773 23.5384 10.4093
828.706 22777.8 NaN NaN 54.9425 NaN 11.0923 23.5802 10.3850
833.756 22575.8 NaN NaN 54.9108 NaN 11.1075 23.6214 10.3603
838.807 22373.7 NaN NaN 54.8801 NaN 11.1229 23.6617 10.3353
843.857 22171.7 NaN NaN 54.8509 NaN 11.1383 23.7006 10.3102
848.908 21969.7 NaN NaN 54.8231 NaN 11.1538 23.7379 10.2852
853.958 21767.7 NaN NaN 54.7919 NaN 11.1706 23.7799 10.2577
859.009 21565.7 NaN NaN 54.7635 NaN 11.1871 23.8188 10.2305
864.059 21363.6 NaN NaN 54.7276 NaN 11.2059 23.8673 10.1992
869.110 21161.6 NaN NaN 54.7011 NaN 11.2231 23.9048 10.1710
874.160 20959.6 NaN NaN 54.6733 NaN 11.2410 23.9442 10.1414
879.211 20757.6 NaN NaN 54.6440 NaN 11.2600 23.9862 10.1097
884.261 20555.6 NaN NaN 54.6120 NaN 11.2803 24.0320 10.0757
889.312 20353.5 NaN NaN 54.5832 NaN 11.3004 24.0743 10.0420
894.362 20151.5 NaN NaN 54.5548 NaN 11.3212 24.1169 10.0070
899.413 19949.5 NaN NaN 54.5288 NaN 11.3420 24.1571 9.97220
904.463 19747.5 NaN NaN 54.5014 NaN 11.3639 24.1995 9.93527
909.514 19545.5 NaN NaN 54.4681 NaN 11.3882 24.2502 9.89342
914.564 19343.4 NaN NaN 54.4396 NaN 11.4125 24.2959 9.85190
919.615 19141.4 NaN NaN 54.4065 NaN 11.4383 24.3476 9.80757
924.665 18939.4 NaN NaN 54.3723 NaN 11.4659 24.4021 9.75969
929.716 18737.4 NaN NaN 54.3492 NaN 11.4918 24.4439 9.71506
934.766 18535.4 NaN NaN 54.3222 NaN 11.5193 24.4909 9.66767
939.817 18333.3 NaN NaN 54.2917 NaN 11.5491 24.5435 9.61568
944.867 18131.3 NaN NaN 54.2604 NaN 11.5804 24.5983 9.56082
949.918 17929.3 NaN NaN 54.2275 NaN 11.6136 24.6565 9.50247
954.968 17727.3 NaN NaN 54.1978 NaN 11.6476 24.7122 9.44243
960.019 17525.3 NaN NaN 54.1744 NaN 11.6814 24.7612 9.38292
965.069 17323.2 NaN NaN 54.1376 NaN 11.7208 24.8289 9.31267
970.120 17121.2 NaN NaN 54.1093 NaN 11.7597 24.8876 9.24348
975.170 16919.2 NaN NaN 54.0764 NaN 11.8008 24.9528 9.17000
980.221 16717.2 NaN NaN 54.0442 NaN 11.8442 25.0193 9.09225
985.271 16515.2 NaN NaN 54.0046 NaN 11.8914 25.0969 9.00715
990.322 16313.1 NaN NaN 53.9772 NaN 11.9390 25.1625 8.92130
995.372 16111.1 NaN NaN 53.9430 NaN 11.9891 25.2370 8.83088
1000.42 15909.1 NaN NaN 53.9090 NaN 12.0424 25.3143 8.73436
1005.47 15707.1 NaN NaN 53.8761 NaN 12.0999 25.3944 8.62957
1010.52 15505.1 0.232625 NaN 53.6556 NaN 12.1072 25.4963 8.50834
1015.57 15303.0 4.82710 NaN 49.8717 NaN 11.1996 26.0857 8.01601
1020.62 15101.0 8.95659 NaN 46.3970 NaN 10.4344 26.7386 7.47342
1025.68 14899.0 12.5048 NaN 43.3050 NaN 9.87148 27.4984 6.82032
1030.73 14697.0 15.8519 NaN 40.3152 NaN 9.43631 28.3829 6.01364
1035.78 14494.9 19.2695 NaN 37.2208 NaN 9.09461 29.4303 4.98481
1040.83 14292.9 23.1720 NaN 33.6882 NaN 8.82776 30.7502 3.56176
1045.88 14090.9 28.4685 NaN 28.9857 NaN 8.65471 32.6439 1.24727
1050.93 13888.9 31.7024 NaN 26.4548 NaN 8.46580 33.3771 NaN
1055.98 13686.9 32.4959 NaN 26.4221 NaN 8.26619 32.8159 NaN
1061.03 13484.8 33.2112 NaN 26.4188 NaN 8.08663 32.2834 NaN
1066.08 13282.8 33.8678 NaN 26.4226 NaN 7.92230 31.7873 NaN
1071.13 13080.8 34.4670 NaN 26.4425 NaN 7.77283 31.3177 NaN
1076.18 12878.8 35.0236 NaN 26.4619 NaN 7.63459 30.8799 NaN
1081.23 12676.8 35.5380 NaN 26.4838 NaN 7.50755 30.4706 NaN
1086.28 12474.7 36.0143 NaN 26.5151 NaN 7.39070 30.0799 NaN
1091.33 12272.7 36.4656 NaN 26.5428 NaN 7.28087 29.7108 NaN
1096.38 12070.7 36.8834 NaN 26.5742 NaN 7.18048 29.3619 NaN
1101.43 11868.7 37.2755 NaN 26.6050 NaN 7.08792 29.0316 NaN
1106.48 11666.7 37.6456 NaN 26.6351 NaN 7.00311 28.7162 NaN
