|6.6.6
hacker_2015_md_xenolith_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 2985.39
776.295 5000.00 2985.17
779.439 5000.00 2984.95
782.584 5000.00 2984.73
785.729 5000.00 2984.51
788.873 5000.00 2984.29
792.018 5000.00 2984.07
795.163 5000.00 2983.86
798.307 5000.00 2983.64
801.452 5000.00 2983.42
804.597 5000.00 2983.20
807.741 5000.00 2982.98
810.886 5000.00 2982.76
814.031 5000.00 2982.54
817.175 5000.00 2982.33
820.320 5000.00 2982.11
823.464 5000.00 2981.89
826.609 5000.00 2981.67
829.754 5000.00 2981.45
832.898 5000.00 2981.23
836.043 5000.00 2981.01
839.188 5000.00 2980.79
842.332 5000.00 2980.57
845.477 5000.00 2980.35
848.622 5000.00 2980.13
851.766 5000.00 2979.91
854.911 5000.00 2979.69
858.056 5000.00 2979.47
861.200 5000.00 2979.25
864.345 5000.00 2979.03
867.490 5000.00 2978.81
870.634 5000.00 2978.59
873.779 5000.00 2978.37
876.924 5000.00 2978.15
880.068 5000.00 2977.93
883.213 5000.00 2977.71
886.358 5000.00 2977.49
889.502 5000.00 2977.26
892.647 5000.00 2977.04
895.792 5000.00 2976.82
898.936 5000.00 2976.60
902.081 5000.00 2976.38
905.225 5000.00 2976.16
908.370 5000.00 2975.94
911.515 5000.00 2975.71
914.659 5000.00 2975.49
917.804 5000.00 2975.27
920.949 5000.00 2975.05
924.093 5000.00 2974.82
927.238 5000.00 2974.60
930.383 5000.00 2974.38
933.527 5000.00 2974.15
936.672 5000.00 2973.93
939.817 5000.00 2973.71
942.961 5000.00 2973.48
946.106 5000.00 2973.26
949.251 5000.00 2973.03
952.395 5000.00 2972.80
955.540 5000.00 2972.58
958.685 5000.00 2972.35
961.829 5000.00 2972.11
964.974 5000.00 2971.86
968.119 5000.00 2971.64
971.263 5000.00 2971.42
974.408 5000.00 2971.21
977.553 5000.00 2970.99
980.697 5000.00 2970.77
983.842 5000.00 2970.56
986.986 5000.00 2970.34
990.131 5000.00 2970.12
993.276 5000.00 2969.91
996.420 5000.00 2969.69
999.565 5000.00 2969.47
1002.71 5000.00 2969.26
1005.85 5000.00 2969.04
1009.00 5000.00 2968.82
1012.14 5000.00 2968.60
1015.29 5000.00 2968.39
1018.43 5000.00 2968.17
1021.58 5000.00 2967.95
1024.72 5000.00 2967.73
1027.87 5000.00 2967.52
1031.01 5000.00 2967.30
1034.16 5000.00 2967.08
1037.30 5000.00 2966.86
1040.45 5000.00 2966.64
1043.59 5000.00 2966.43
1046.73 5000.00 2966.21
1049.88 5000.00 2965.99
1053.02 5000.00 2965.77
1056.17 5000.00 2965.55
1059.31 5000.00 2965.33
1062.46 5000.00 2965.12
1065.60 5000.00 2964.90
1068.75 5000.00 2964.68
1071.89 5000.00 2964.46
1075.04 5000.00 2964.24
1078.18 5000.00 2964.02
1081.33 5000.00 2963.80
1084.47 5000.00 2963.59
1087.62 5000.00 2963.37
1090.76 5000.00 2963.15
1093.90 5000.00 2962.93
1097.05 5000.00 2962.71
1100.19 5000.00 2962.49
1103.34 5000.00 2962.27
1106.48 5000.00 2962.05
1109.63 5000.00 2961.83
1112.77 5000.00 2961.61
1115.92 5000.00 2961.39
1119.06 5000.00 2961.17
1122.21 5000.00 2960.96
1125.35 5000.00 2960.74
1128.50 5000.00 2960.52
1131.64 5000.00 2960.30
1134.79 5000.00 2960.08
1137.93 5000.00 2959.86
1141.07 5000.00 2959.64
1144.22 5000.00 2959.42
1147.36 5000.00 2959.20
1150.51 5000.00 2958.98
1153.65 5000.00 2958.76
1156.80 5000.00 2958.54
1159.94 5000.00 2958.32
1163.09 5000.00 2958.10
1166.23 5000.00 2957.88
1169.38 5000.00 2957.66
1172.52 5000.00 2957.44
1175.67 5000.00 2957.22
1178.81 5000.00 2956.99
1181.96 5000.00 2956.77
1185.10 5000.00 2956.55
1188.24 5000.00 2956.33
1191.39 5000.00 2956.11
1194.53 5000.00 2955.89
1197.68 5000.00 2955.67
1200.82 5000.00 2955.45
1203.97 5000.00 2955.23
1207.11 5000.00 2955.01
1210.26 5000.00 2954.79
1213.40 5000.00 2954.56
1216.55 5000.00 2954.34
1219.69 5000.00 2954.12
1222.84 5000.00 2953.90
1225.98 5000.00 2953.68
1229.12 5000.00 2953.46
1232.27 5000.00 2953.24
1235.41 5000.00 2953.02
1238.56 5000.00 2952.79
1241.70 5000.00 2952.57
1244.85 5000.00 2952.35
1247.99 5000.00 2952.13
1251.14 5000.00 2951.91
1254.28 5000.00 2951.68
1257.43 5000.00 2951.46
1260.57 5000.00 2951.24
1263.72 5000.00 2951.02
1266.86 5000.00 2950.80
1270.01 5000.00 2950.57
1273.15 5000.00 2950.35
773.150 5125.79 2985.99
776.295 5125.79 2985.77
779.439 5125.79 2985.55
782.584 5125.79 2985.34
785.729 5125.79 2985.12
788.873 5125.79 2984.90
792.018 5125.79 2984.68
795.163 5125.79 2984.46
798.307 5125.79 2984.24
801.452 5125.79 2984.02
804.597 5125.79 2983.81
807.741 5125.79 2983.59
810.886 5125.79 2983.37
814.031 5125.79 2983.15
817.175 5125.79 2982.93
820.320 5125.79 2982.71
823.464 5125.79 2982.49
826.609 5125.79 2982.27
829.754 5125.79 2982.05
832.898 5125.79 2981.83
836.043 5125.79 2981.61
839.188 5125.79 2981.39
842.332 5125.79 2981.18
845.477 5125.79 2980.96
848.622 5125.79 2980.73
851.766 5125.79 2980.52
854.911 5125.79 2980.30
858.056 5125.79 2980.08
861.200 5125.79 2979.86
864.345 5125.79 2979.64
867.490 5125.79 2979.41
870.634 5125.79 2979.20
873.779 5125.79 2978.97
876.924 5125.79 2978.75
880.068 5125.79 2978.53
883.213 5125.79 2978.31
886.358 5125.79 2978.09
889.502 5125.79 2977.87
892.647 5125.79 2977.65
895.792 5125.79 2977.43
898.936 5125.79 2977.21
902.081 5125.79 2976.99
905.225 5125.79 2976.76
908.370 5125.79 2976.54
911.515 5125.79 2976.32
914.659 5125.79 2976.10
917.804 5125.79 2975.88
920.949 5125.79 2975.66
924.093 5125.79 2975.43
927.238 5125.79 2975.21
930.383 5125.79 2974.99
933.527 5125.79 2974.76
936.672 5125.79 2974.54
939.817 5125.79 2974.32
942.961 5125.79 2974.09
946.106 5125.79 2973.87
949.251 5125.79 2973.64
952.395 5125.79 2973.42
955.540 5125.79 2973.19
958.685 5125.79 2972.96
961.829 5125.79 2972.74
964.974 5125.79 2972.50
968.119 5125.79 2972.25
971.263 5125.79 2972.03
974.408 5125.79 2971.81
977.553 5125.79 2971.60
980.697 5125.79 2971.38
983.842 5125.79 2971.16
986.986 5125.79 2970.95
990.131 5125.79 2970.73
993.276 5125.79 2970.51
996.420 5125.79 2970.30
999.565 5125.79 2970.08
1002.71 5125.79 2969.86
1005.85 5125.79 2969.65
1009.00 5125.79 2969.43
1012.14 5125.79 2969.21
1015.29 5125.79 2969.00
1018.43 5125.79 2968.78
1021.58 5125.79 2968.56
1024.72 5125.79 2968.35
1027.87 5125.79 2968.13
1031.01 5125.79 2967.91
1034.16 5125.79 2967.69
1037.30 5125.79 2967.48
1040.45 5125.79 2967.26
1043.59 5125.79 2967.04
1046.73 5125.79 2966.82
1049.88 5125.79 2966.61
1053.02 5125.79 2966.39
1056.17 5125.79 2966.17
1059.31 5125.79 2965.95
1062.46 5125.79 2965.74
1065.60 5125.79 2965.52
1068.75 5125.79 2965.30
1071.89 5125.79 2965.08
