|6.6.6
hacker_2015_md_xenolith_norm_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3301.11
579.439 5000.00 3299.93
585.729 5000.00 3298.68
592.018 5000.00 3297.34
598.307 5000.00 3295.89
604.597 5000.00 3294.32
610.886 5000.00 3292.60
617.175 5000.00 3290.70
623.464 5000.00 3288.59
629.754 5000.00 3286.22
636.043 5000.00 3283.50
642.332 5000.00 3280.34
648.622 5000.00 3276.54
654.911 5000.00 3271.82
661.200 5000.00 3265.57
667.490 5000.00 3083.05
673.779 5000.00 3068.65
680.068 5000.00 3053.01
686.358 5000.00 3035.96
692.647 5000.00 3028.67
698.936 5000.00 3028.10
705.225 5000.00 3027.54
711.515 5000.00 3026.97
717.804 5000.00 3026.39
724.093 5000.00 3025.82
730.383 5000.00 3024.58
736.672 5000.00 3014.82
742.961 5000.00 3000.63
749.251 5000.00 3000.21
755.540 5000.00 2999.79
761.829 5000.00 2999.37
768.119 5000.00 2998.95
774.408 5000.00 2998.53
780.697 5000.00 2998.10
786.986 5000.00 2997.67
793.276 5000.00 2997.24
799.565 5000.00 2996.81
805.854 5000.00 2996.38
812.144 5000.00 2995.96
818.433 5000.00 2995.53
824.722 5000.00 2995.10
831.012 5000.00 2994.67
837.301 5000.00 2994.25
843.590 5000.00 2993.82
849.880 5000.00 2993.39
856.169 5000.00 2992.96
862.458 5000.00 2992.54
868.747 5000.00 2992.11
875.037 5000.00 2991.68
881.326 5000.00 2991.26
887.615 5000.00 2990.83
893.905 5000.00 2990.41
900.194 5000.00 2989.98
906.483 5000.00 2989.55
912.773 5000.00 2989.13
919.062 5000.00 2988.70
925.351 5000.00 2988.28
931.641 5000.00 2987.85
937.930 5000.00 2987.43
944.219 5000.00 2987.00
950.508 5000.00 2986.58
956.798 5000.00 2986.16
963.087 5000.00 2985.73
969.376 5000.00 2985.31
975.666 5000.00 2984.89
981.955 5000.00 2984.46
988.244 5000.00 2984.04
994.534 5000.00 2983.62
1000.82 5000.00 2983.20
1007.11 5000.00 2982.77
1013.40 5000.00 2982.35
1019.69 5000.00 2981.93
1025.98 5000.00 2981.51
1032.27 5000.00 2981.09
1038.56 5000.00 2980.67
1044.85 5000.00 2980.25
1051.14 5000.00 2979.83
1057.43 5000.00 2979.41
1063.72 5000.00 2978.99
1070.01 5000.00 2978.57
1076.29 5000.00 2978.15
1082.58 5000.00 2977.74
1088.87 5000.00 2977.32
1095.16 5000.00 2976.90
1101.45 5000.00 2976.48
1107.74 5000.00 2976.07
1114.03 5000.00 2975.65
1120.32 5000.00 2975.24
1126.61 5000.00 2974.82
1132.90 5000.00 2974.41
1139.19 5000.00 2973.99
1145.48 5000.00 2973.58
1151.77 5000.00 2973.17
1158.06 5000.00 2972.75
1164.34 5000.00 2972.34
1170.63 5000.00 2971.93
1176.92 5000.00 2971.52
1183.21 5000.00 2971.11
1189.50 5000.00 2970.70
