|6.6.6
sammon_2021_deep_crust_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-371575562
9
T(K) P(bar) Pl Pl Cpx Opx qtz Gt ky
923.150 5000.00 61.7220 NaN 6.42547 19.5547 12.2978 NaN NaN
925.170 5202.02 61.6963 NaN 6.44618 19.5572 12.3003 NaN NaN
927.190 5404.04 61.6704 NaN 6.46698 19.5597 12.3029 NaN NaN
929.211 5606.06 61.6426 NaN 6.48911 19.5622 12.3062 NaN NaN
931.231 5808.08 61.6142 NaN 6.51169 19.5645 12.3097 NaN NaN
933.251 6010.10 61.5841 NaN 6.53541 19.5668 12.3137 NaN NaN
935.271 6212.12 61.5522 NaN 6.56030 19.5691 12.3183 NaN NaN
937.291 6414.14 61.5197 NaN 6.58575 19.5714 12.3232 NaN NaN
939.312 6616.16 61.4850 NaN 6.61266 19.5735 12.3288 NaN NaN
941.332 6818.18 61.4496 NaN 6.64016 19.5757 12.3346 NaN NaN
943.352 7020.20 61.4112 NaN 6.66979 19.5777 12.3412 NaN NaN
945.372 7222.22 61.3728 NaN 6.69946 19.5798 12.3480 NaN NaN
947.392 7424.24 61.3326 NaN 6.73033 19.5818 12.3553 NaN NaN
949.413 7626.26 61.2898 NaN 6.76303 19.5838 12.3633 NaN NaN
951.433 7828.28 61.2447 NaN 6.79744 19.5857 12.3721 NaN NaN
953.453 8030.30 61.1983 NaN 6.83291 19.5876 12.3812 NaN NaN
955.473 8232.32 61.1497 NaN 6.86990 19.5894 12.3910 NaN NaN
957.493 8434.34 60.8580 NaN 7.04625 19.3035 12.4742 0.318050 NaN
959.514 8636.36 57.0282 NaN 9.24807 14.8128 13.6260 5.28504 NaN
961.534 8838.38 53.3296 NaN 11.3805 10.4924 14.7358 10.0617 NaN
963.554 9040.40 49.8066 NaN 13.4173 6.39704 15.7905 14.5885 NaN
965.574 9242.42 46.5394 NaN 15.3161 2.62632 16.7658 18.7523 NaN
967.594 9444.44 44.2097 NaN 16.6365 NaN 17.4585 21.6954 NaN
969.615 9646.46 44.0366 NaN 16.6163 NaN 17.5031 21.8440 NaN
971.635 9848.48 43.8603 NaN 16.5954 NaN 17.5487 21.9956 NaN
973.655 10050.5 43.6759 NaN 16.5741 NaN 17.5966 22.1534 NaN
975.675 10252.5 43.4842 NaN 16.5524 NaN 17.6466 22.3168 NaN
977.695 10454.5 43.2852 NaN 16.5289 NaN 17.6987 22.4872 NaN
979.716 10656.6 43.0683 NaN 16.5027 NaN 17.7560 22.6730 NaN
981.736 10858.6 42.8604 NaN 16.4797 NaN 17.8107 22.8492 NaN
983.756 11060.6 42.6353 NaN 16.4543 NaN 17.8703 23.0402 NaN
985.776 11262.6 42.4065 NaN 16.4289 NaN 17.9310 23.2337 NaN
987.796 11464.6 42.1556 NaN 16.4011 NaN 17.9979 23.4453 NaN
989.817 11666.7 41.8946 NaN 16.3750 NaN 18.0678 23.6627 NaN
991.837 11868.7 41.6284 NaN 16.3480 NaN 18.1391 23.8845 NaN
993.857 12070.7 41.3572 NaN 16.3228 NaN 18.2118 24.1082 NaN
995.877 12272.7 41.0696 NaN 16.2991 NaN 18.2891 24.3421 NaN
997.897 12474.7 40.2278 NaN 16.7663 NaN 18.3642 24.3308 0.310962
999.918 12676.8 37.9129 NaN 18.6145 NaN 18.4422 23.6027 1.42778
1001.94 12878.8 35.9337 NaN 20.1868 NaN 18.5292 23.0100 2.34026
