|6.6.6
sammon_2021_deep_crust_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 2882.08
776.295 5000.00 2881.82
779.439 5000.00 2881.56
782.584 5000.00 2881.30
785.729 5000.00 2881.03
788.873 5000.00 2880.77
792.018 5000.00 2880.50
795.163 5000.00 2880.24
798.307 5000.00 2879.97
801.452 5000.00 2879.70
804.597 5000.00 2879.44
807.741 5000.00 2879.17
810.886 5000.00 2878.90
814.031 5000.00 2878.62
817.175 5000.00 2878.35
820.320 5000.00 2878.08
823.464 5000.00 2877.80
826.609 5000.00 2877.53
829.754 5000.00 2877.25
832.898 5000.00 2876.97
836.043 5000.00 2876.69
839.188 5000.00 2876.41
842.332 5000.00 2876.13
845.477 5000.00 2875.85
848.622 5000.00 2875.56
851.766 5000.00 2875.28
854.911 5000.00 2874.99
858.056 5000.00 2874.70
861.200 5000.00 2874.41
864.345 5000.00 2874.12
867.490 5000.00 2873.83
870.634 5000.00 2873.53
873.779 5000.00 2873.23
876.924 5000.00 2872.93
880.068 5000.00 2872.63
883.213 5000.00 2872.33
886.358 5000.00 2872.02
889.502 5000.00 2871.71
892.647 5000.00 2871.40
895.792 5000.00 2871.08
898.936 5000.00 2870.76
902.081 5000.00 2870.44
905.225 5000.00 2870.12
908.370 5000.00 2869.79
911.515 5000.00 2869.46
914.659 5000.00 2869.12
917.804 5000.00 2868.78
920.949 5000.00 2868.43
924.093 5000.00 2868.08
927.238 5000.00 2867.72
930.383 5000.00 2867.35
933.527 5000.00 2866.97
936.672 5000.00 2866.60
939.817 5000.00 2866.19
942.961 5000.00 2865.78
946.106 5000.00 2865.35
949.251 5000.00 2864.90
952.395 5000.00 2864.42
955.540 5000.00 2863.90
958.685 5000.00 2863.32
961.829 5000.00 2862.62
964.974 5000.00 2861.21
968.119 5000.00 2861.00
971.263 5000.00 2860.83
974.408 5000.00 2860.64
977.553 5000.00 2860.46
980.697 5000.00 2860.28
983.842 5000.00 2860.10
986.986 5000.00 2859.91
990.131 5000.00 2859.73
993.276 5000.00 2859.55
996.420 5000.00 2859.36
999.565 5000.00 2859.18
1002.71 5000.00 2859.00
1005.85 5000.00 2858.82
1009.00 5000.00 2858.63
1012.14 5000.00 2858.45
1015.29 5000.00 2858.27
1018.43 5000.00 2858.08
1021.58 5000.00 2857.90
1024.72 5000.00 2857.71
1027.87 5000.00 2857.53
1031.01 5000.00 2857.35
1034.16 5000.00 2857.16
1037.30 5000.00 2856.98
1040.45 5000.00 2856.79
1043.59 5000.00 2856.61
1046.73 5000.00 2856.43
1049.88 5000.00 2856.24
1053.02 5000.00 2856.06
1056.17 5000.00 2855.87
1059.31 5000.00 2855.69
1062.46 5000.00 2855.50
1065.60 5000.00 2855.32
1068.75 5000.00 2855.13
1071.89 5000.00 2854.95
1075.04 5000.00 2854.76
1078.18 5000.00 2854.58
1081.33 5000.00 2854.39
1084.47 5000.00 2854.21
1087.62 5000.00 2854.02
1090.76 5000.00 2853.84
1093.90 5000.00 2853.65
1097.05 5000.00 2853.47
1100.19 5000.00 2853.28
1103.34 5000.00 2853.09
1106.48 5000.00 2852.91
1109.63 5000.00 2852.72
1112.77 5000.00 2852.54
1115.92 5000.00 2852.35
1119.06 5000.00 2852.16
1122.21 5000.00 2851.98
1125.35 5000.00 2851.79
1128.50 5000.00 2851.60
1131.64 5000.00 2851.42
1134.79 5000.00 2851.23
1137.93 5000.00 2851.04
1141.07 5000.00 2850.86
1144.22 5000.00 2850.67
1147.36 5000.00 2850.48
1150.51 5000.00 2850.30
1153.65 5000.00 2850.11
1156.80 5000.00 2849.92
1159.94 5000.00 2849.73
1163.09 5000.00 2849.55
1166.23 5000.00 2849.36
1169.38 5000.00 2849.17
1172.52 5000.00 2848.98
1175.67 5000.00 2848.80
1178.81 5000.00 2848.61
1181.96 5000.00 2848.42
1185.10 5000.00 2848.23
1188.24 5000.00 2848.04
1191.39 5000.00 2847.85
1194.53 5000.00 2847.67
1197.68 5000.00 2847.48
1200.82 5000.00 2847.29
1203.97 5000.00 2847.10
1207.11 5000.00 2846.91
1210.26 5000.00 2846.72
1213.40 5000.00 2846.53
1216.55 5000.00 2846.34
1219.69 5000.00 2846.15
1222.84 5000.00 2845.97
1225.98 5000.00 2845.78
1229.12 5000.00 2845.59
1232.27 5000.00 2845.40
1235.41 5000.00 2845.21
1238.56 5000.00 2845.02
1241.70 5000.00 2844.83
1244.85 5000.00 2844.64
1247.99 5000.00 2844.45
1251.14 5000.00 2844.26
1254.28 5000.00 2844.07
1257.43 5000.00 2843.88
1260.57 5000.00 2843.68
1263.72 5000.00 2843.49
1266.86 5000.00 2843.30
1270.01 5000.00 2843.11
1273.15 5000.00 2842.92
773.150 5125.79 2882.70
776.295 5125.79 2882.45
779.439 5125.79 2882.18
782.584 5125.79 2881.92
785.729 5125.79 2881.66
788.873 5125.79 2881.40
792.018 5125.79 2881.13
795.163 5125.79 2880.87
798.307 5125.79 2880.60
801.452 5125.79 2880.33
804.597 5125.79 2880.07
807.741 5125.79 2879.80
810.886 5125.79 2879.53
814.031 5125.79 2879.26
817.175 5125.79 2878.99
820.320 5125.79 2878.71
823.464 5125.79 2878.44
826.609 5125.79 2878.16
829.754 5125.79 2877.89
832.898 5125.79 2877.61
836.043 5125.79 2877.33
839.188 5125.79 2877.06
842.332 5125.79 2876.77
845.477 5125.79 2876.49
848.622 5125.79 2876.21
851.766 5125.79 2875.93
854.911 5125.79 2875.64
858.056 5125.79 2875.31
861.200 5125.79 2875.06
864.345 5125.79 2874.77
867.490 5125.79 2874.48
870.634 5125.79 2874.19
873.779 5125.79 2873.89
876.924 5125.79 2873.59
880.068 5125.79 2873.29
883.213 5125.79 2872.99
886.358 5125.79 2872.69
889.502 5125.79 2872.38
892.647 5125.79 2872.07
895.792 5125.79 2871.76
898.936 5125.79 2871.44
902.081 5125.79 2871.13
905.225 5125.79 2870.80
908.370 5125.79 2870.48
911.515 5125.79 2870.15
914.659 5125.79 2869.82
917.804 5125.79 2869.48
920.949 5125.79 2869.14
924.093 5125.79 2868.79
927.238 5125.79 2868.44
930.383 5125.79 2868.08
933.527 5125.79 2867.71
936.672 5125.79 2867.33
939.817 5125.79 2866.95
942.961 5125.79 2866.55
946.106 5125.79 2866.13
949.251 5125.79 2865.70
952.395 5125.79 2865.25
955.540 5125.79 2864.77
958.685 5125.79 2864.25
961.829 5125.79 2863.67
964.974 5125.79 2862.95
968.119 5125.79 2861.56
971.263 5125.79 2861.38
974.408 5125.79 2861.20
977.553 5125.79 2861.01
980.697 5125.79 2860.83
983.842 5125.79 2860.65
986.986 5125.79 2860.47
990.131 5125.79 2860.29
993.276 5125.79 2860.10
996.420 5125.79 2859.92
999.565 5125.79 2859.74
1002.71 5125.79 2859.56
1005.85 5125.79 2859.37
1009.00 5125.79 2859.19
1012.14 5125.79 2859.01
1015.29 5125.79 2858.82
1018.43 5125.79 2858.64
1021.58 5125.79 2858.46
1024.72 5125.79 2858.27
1027.87 5125.79 2858.09
1031.01 5125.79 2857.91
1034.16 5125.79 2857.72
1037.30 5125.79 2857.54
1040.45 5125.79 2857.36
1043.59 5125.79 2857.17
1046.73 5125.79 2856.99
1049.88 5125.79 2856.81
1053.02 5125.79 2856.62
1056.17 5125.79 2856.44
1059.31 5125.79 2856.25
1062.46 5125.79 2856.07
1065.60 5125.79 2855.88
1068.75 5125.79 2855.70
1071.89 5125.79 2855.52
1075.04 5125.79 2855.33
1078.18 5125.79 2855.15
1081.33 5125.79 2854.96
1084.47 5125.79 2854.78
1087.62 5125.79 2854.59
1090.76 5125.79 2854.41
1093.90 5125.79 2854.22
1097.05 5125.79 2854.04
1100.19 5125.79 2853.85
1103.34 5125.79 2853.67
1106.48 5125.79 2853.48
1109.63 5125.79 2853.29
1112.77 5125.79 2853.11
1115.92 5125.79 2852.92
1119.06 5125.79 2852.74
1122.21 5125.79 2852.55
1125.35 5125.79 2852.37
1128.50 5125.79 2852.18
1131.64 5125.79 2851.99
1134.79 5125.79 2851.81
1137.93 5125.79 2851.62
1141.07 5125.79 2851.43
1144.22 5125.79 2851.25
1147.36 5125.79 2851.06
1150.51 5125.79 2850.87
1153.65 5125.79 2850.69
1156.80 5125.79 2850.50
1159.94 5125.79 2850.31
1163.09 5125.79 2850.13
1166.23 5125.79 2849.94
1169.38 5125.79 2849.75
1172.52 5125.79 2849.56
1175.67 5125.79 2849.38
1178.81 5125.79 2849.19
1181.96 5125.79 2849.00
1185.10 5125.79 2848.81
1188.24 5125.79 2848.63
1191.39 5125.79 2848.44
1194.53 5125.79 2848.25
1197.68 5125.79 2848.06
1200.82 5125.79 2847.87
1203.97 5125.79 2847.69
1207.11 5125.79 2847.50
1210.26 5125.79 2847.31
1213.40 5125.79 2847.12
1216.55 5125.79 2846.93
1219.69 5125.79 2846.74
1222.84 5125.79 2846.55
1225.98 5125.79 2846.37
1229.12 5125.79 2846.18
1232.27 5125.79 2845.99
1235.41 5125.79 2845.80
1238.56 5125.79 2845.61
1241.70 5125.79 2845.42
1244.85 5125.79 2845.23
1247.99 5125.79 2845.04
1251.14 5125.79 2844.85
1254.28 5125.79 2844.66
1257.43 5125.79 2844.47
1260.57 5125.79 2844.28
1263.72 5125.79 2844.09
1266.86 5125.79 2843.90
1270.01 5125.79 2843.71
1273.15 5125.79 2843.52
773.150 5251.57 2883.33
776.295 5251.57 2883.07
779.439 5251.57 2882.81
782.584 5251.57 2882.55
785.729 5251.57 2882.29
788.873 5251.57 2882.02
792.018 5251.57 2881.76
795.163 5251.57 2881.49
798.307 5251.57 2881.23
801.452 5251.57 2880.96
804.597 5251.57 2880.70
807.741 5251.57 2880.43
810.886 5251.57 2880.16
814.031 5251.57 2879.89
817.175 5251.57 2879.62
820.320 5251.57 2879.35
823.464 5251.57 2879.08
826.609 5251.57 2878.80
829.754 5251.57 2878.53
832.898 5251.57 2878.25
836.043 5251.57 2877.98
839.188 5251.57 2877.70
842.332 5251.57 2877.42
845.477 5251.57 2877.14
848.622 5251.57 2876.86
851.766 5251.57 2876.57
854.911 5251.57 2876.29
858.056 5251.57 2876.00
861.200 5251.57 2875.72
864.345 5251.57 2875.43
867.490 5251.57 2875.14
870.634 5251.57 2874.84
873.779 5251.57 2874.55
876.924 5251.57 2874.25
880.068 5251.57 2873.96
883.213 5251.57 2873.66
886.358 5251.57 2873.35
889.502 5251.57 2873.05
892.647 5251.57 2872.74
895.792 5251.57 2872.43
898.936 5251.57 2872.12
902.081 5251.57 2871.81
905.225 5251.57 2871.49
908.370 5251.57 2871.17
911.515 5251.57 2870.84
914.659 5251.57 2870.51
917.804 5251.57 2870.18
920.949 5251.57 2869.84
924.093 5251.57 2869.50
927.238 5251.57 2869.15
930.383 5251.57 2868.80
933.527 5251.57 2868.44
936.672 5251.57 2868.07
939.817 5251.57 2867.69
942.961 5251.57 2867.31
946.106 5251.57 2866.91
949.251 5251.57 2866.49
952.395 5251.57 2866.06
955.540 5251.57 2865.61
958.685 5251.57 2865.13
961.829 5251.57 2864.60
964.974 5251.57 2864.01
968.119 5251.57 2863.29
971.263 5251.57 2861.95
974.408 5251.57 2861.75
977.553 5251.57 2861.57
980.697 5251.57 2861.39
983.842 5251.57 2861.21
986.986 5251.57 2861.02
990.131 5251.57 2860.84
993.276 5251.57 2860.66
996.420 5251.57 2860.48
999.565 5251.57 2860.30
1002.71 5251.57 2860.11
1005.85 5251.57 2859.93
1009.00 5251.57 2859.75
1012.14 5251.57 2859.57
1015.29 5251.57 2859.38
1018.43 5251.57 2859.20
1021.58 5251.57 2859.02
1024.72 5251.57 2858.84
1027.87 5251.57 2858.65
1031.01 5251.57 2858.47
1034.16 5251.57 2858.29
1037.30 5251.57 2858.10
1040.45 5251.57 2857.92
1043.59 5251.57 2857.74
1046.73 5251.57 2857.55
1049.88 5251.57 2857.37
1053.02 5251.57 2857.19
1056.17 5251.57 2857.00
1059.31 5251.57 2856.82
1062.46 5251.57 2856.63
1065.60 5251.57 2856.45
1068.75 5251.57 2856.27
1071.89 5251.57 2856.08
1075.04 5251.57 2855.90
1078.18 5251.57 2855.71
1081.33 5251.57 2855.53
1084.47 5251.57 2855.35
1087.62 5251.57 2855.16
1090.76 5251.57 2854.98
1093.90 5251.57 2854.79
1097.05 5251.57 2854.61
1100.19 5251.57 2854.42
1103.34 5251.57 2854.24
1106.48 5251.57 2854.05
1109.63 5251.57 2853.87
1112.77 5251.57 2853.68
1115.92 5251.57 2853.50
1119.06 5251.57 2853.31
1122.21 5251.57 2853.13
1125.35 5251.57 2852.94
1128.50 5251.57 2852.75
1131.64 5251.57 2852.57
1134.79 5251.57 2852.38
1137.93 5251.57 2852.20
1141.07 5251.57 2852.01
1144.22 5251.57 2851.83
1147.36 5251.57 2851.64
1150.51 5251.57 2851.45
1153.65 5251.57 2851.27
1156.80 5251.57 2851.08
1159.94 5251.57 2850.89
1163.09 5251.57 2850.71
1166.23 5251.57 2850.52
1169.38 5251.57 2850.33
1172.52 5251.57 2850.15
1175.67 5251.57 2849.96
1178.81 5251.57 2849.77
1181.96 5251.57 2849.59
1185.10 5251.57 2849.40
1188.24 5251.57 2849.21
1191.39 5251.57 2849.02
1194.53 5251.57 2848.84
1197.68 5251.57 2848.65
1200.82 5251.57 2848.46
1203.97 5251.57 2848.27
1207.11 5251.57 2848.09
1210.26 5251.57 2847.90
1213.40 5251.57 2847.71
1216.55 5251.57 2847.52
1219.69 5251.57 2847.33
1222.84 5251.57 2847.15
1225.98 5251.57 2846.96
1229.12 5251.57 2846.77
1232.27 5251.57 2846.58
1235.41 5251.57 2846.39
1238.56 5251.57 2846.20
1241.70 5251.57 2846.01
1244.85 5251.57 2845.82
1247.99 5251.57 2845.64
1251.14 5251.57 2845.45
1254.28 5251.57 2845.26
1257.43 5251.57 2845.07
1260.57 5251.57 2844.88
1263.72 5251.57 2844.69
1266.86 5251.57 2844.50
1270.01 5251.57 2844.31
1273.15 5251.57 2844.12
773.150 5377.36 2883.95
776.295 5377.36 2883.69
779.439 5377.36 2883.43
782.584 5377.36 2883.17
785.729 5377.36 2882.91
788.873 5377.36 2882.65
792.018 5377.36 2882.39
795.163 5377.36 2882.12
798.307 5377.36 2881.86
801.452 5377.36 2881.59
804.597 5377.36 2881.33
807.741 5377.36 2881.06
810.886 5377.36 2880.79
814.031 5377.36 2880.53
817.175 5377.36 2880.26
820.320 5377.36 2879.98
823.464 5377.36 2879.71
826.609 5377.36 2879.44
829.754 5377.36 2879.17
832.898 5377.36 2878.89
836.043 5377.36 2878.62
839.188 5377.36 2878.34
842.332 5377.36 2878.06
845.477 5377.36 2877.78
848.622 5377.36 2877.50
851.766 5377.36 2877.22
