|6.6.6
sammon_2021_deep_crust_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-352299786
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
923.150 5000.00 60.5813 NaN 6.31816 NaN 21.4096 NaN NaN 11.6910 NaN
925.170 5202.02 60.5545 NaN 6.33906 NaN 21.4127 NaN NaN 11.6938 NaN
927.190 5404.04 60.5268 NaN 6.36096 NaN 21.4153 NaN NaN 11.6970 NaN
929.211 5606.06 60.4975 NaN 6.38379 NaN 21.4180 NaN NaN 11.7007 NaN
931.231 5808.08 60.4672 NaN 6.40741 NaN 21.4206 NaN NaN 11.7048 NaN
933.251 6010.10 60.4351 NaN 6.43228 NaN 21.4232 NaN NaN 11.7094 NaN
935.271 6212.12 60.4024 NaN 6.45761 NaN 21.4257 NaN NaN 11.7143 NaN
937.291 6414.14 60.3683 NaN 6.48389 NaN 21.4281 NaN NaN 11.7197 NaN
939.312 6616.16 60.3323 NaN 6.51150 NaN 21.4306 NaN NaN 11.7256 NaN
941.332 6818.18 60.2943 NaN 6.54044 NaN 21.4331 NaN NaN 11.7322 NaN
943.352 7020.20 60.2541 NaN 6.57092 NaN 21.4356 NaN NaN 11.7394 NaN
945.372 7222.22 60.2134 NaN 6.60210 NaN 21.4377 NaN NaN 11.7468 NaN
947.392 7424.24 60.1711 NaN 6.63417 NaN 21.4401 NaN NaN 11.7547 NaN
949.413 7626.26 60.1258 NaN 6.66836 NaN 21.4424 NaN NaN 11.7634 NaN
951.433 7828.28 60.0798 NaN 6.70341 NaN 21.4444 NaN NaN 11.7724 NaN
953.453 8030.30 60.0310 NaN 6.74022 NaN 21.4466 NaN NaN 11.7822 NaN
955.473 8232.32 59.9790 NaN 6.77927 NaN 21.4489 NaN NaN 11.7928 NaN
957.493 8434.34 59.9265 NaN 6.81896 NaN 21.4508 NaN NaN 11.8037 NaN
959.514 8636.36 56.0006 NaN 9.07497 NaN 16.8892 5.06151 NaN 12.9737 NaN
961.534 8838.38 52.2635 NaN 11.2277 NaN 12.5677 9.85625 NaN 14.0848 NaN
963.554 9040.40 48.2085 NaN 13.5483 NaN 7.86357 15.0886 NaN 15.2911 NaN
965.574 9242.42 45.1314 NaN 15.3447 NaN 4.36259 18.9609 NaN 16.2004 NaN
967.594 9444.44 41.7027 NaN 17.3281 NaN 0.433368 23.3207 NaN 17.2151 NaN
969.615 9646.46 41.1584 NaN 17.5343 NaN NaN 23.9378 NaN 17.3696 NaN
971.635 9848.48 40.9625 NaN 17.5121 NaN NaN 24.1051 NaN 17.4202 NaN
973.655 10050.5 40.7676 NaN 17.4899 NaN NaN 24.2719 NaN 17.4707 NaN
975.675 10252.5 40.5638 NaN 17.4681 NaN NaN 24.4445 NaN 17.5236 NaN
977.695 10454.5 40.3542 NaN 17.4451 NaN NaN 24.6224 NaN 17.5782 NaN
979.716 10656.6 40.1182 NaN 17.4188 NaN NaN 24.8227 NaN 17.6404 NaN
981.736 10858.6 39.8983 NaN 17.3963 NaN NaN 25.0075 NaN 17.6979 NaN
983.756 11060.6 39.6584 NaN 17.3719 NaN NaN 25.2085 NaN 17.7612 NaN
985.776 11262.6 39.4144 NaN 17.3492 NaN NaN 25.4108 NaN 17.8255 NaN
987.796 11464.6 39.1579 NaN 17.3248 NaN NaN 25.6238 NaN 17.8935 NaN
989.817 11666.7 38.8884 NaN 17.3022 NaN NaN 25.8443 NaN 17.9650 NaN
991.837 11868.7 38.5878 NaN 17.2755 NaN NaN 26.0912 NaN 18.0454 NaN
993.857 12070.7 38.3009 NaN 17.2548 NaN NaN 26.3225 NaN 18.1219 NaN
995.877 12272.7 37.9933 NaN 17.2356 NaN NaN 26.5669 NaN 18.2041 NaN
