|6.6.6
sammon_2021_lower_crust_1.tab
1
T(K)
500.00000000000011
500.00000000000011
1710949622
9
T(K) P(bar) Pl Pl Cpx Opx qtz Gt ky
773.150 25000.0 NaN NaN 55.1284 NaN 10.8910 23.8557 10.1249
778.201 24798.0 NaN NaN 55.0851 NaN 10.9055 23.9084 10.1011
783.251 24596.0 NaN NaN 55.0443 NaN 10.9195 23.9581 10.0781
788.302 24393.9 NaN NaN 55.0012 NaN 10.9343 24.0106 10.0539
793.352 24191.9 NaN NaN 54.9597 NaN 10.9489 24.0614 10.0300
798.403 23989.9 NaN NaN 54.9147 NaN 10.9645 24.1166 10.0042
803.453 23787.9 NaN NaN 54.8811 NaN 10.9777 24.1580 9.98322
808.504 23585.9 NaN NaN 54.8380 NaN 10.9933 24.2112 9.95759
813.554 23383.8 NaN NaN 54.7972 NaN 11.0086 24.2617 9.93256
818.605 23181.8 NaN NaN 54.7579 NaN 11.0238 24.3106 9.90777
823.655 22979.8 NaN NaN 54.7181 NaN 11.0395 24.3603 9.88214
828.706 22777.8 NaN NaN 54.6796 NaN 11.0550 24.4086 9.85682
833.756 22575.8 NaN NaN 54.6366 NaN 11.0719 24.4626 9.82893
838.807 22373.7 NaN NaN 54.5983 NaN 11.0881 24.5112 9.80249
843.857 22171.7 NaN NaN 54.5625 NaN 11.1040 24.5569 9.77662
848.908 21969.7 NaN NaN 54.5212 NaN 11.1215 24.6097 9.74761
853.958 21767.7 NaN NaN 54.4823 NaN 11.1389 24.6598 9.71899
859.009 21565.7 NaN NaN 54.4430 NaN 11.1568 24.7108 9.68946
864.059 21363.6 NaN NaN 54.4050 NaN 11.1748 24.7605 9.65972
869.110 21161.6 NaN NaN 54.3662 NaN 11.1934 24.8115 9.62880
874.160 20959.6 NaN NaN 54.3293 NaN 11.2120 24.8606 9.59806
879.211 20757.6 NaN NaN 54.2915 NaN 11.2315 24.9114 9.56567
884.261 20555.6 NaN NaN 54.2564 NaN 11.2509 24.9592 9.53343
889.312 20353.5 NaN NaN 54.2223 NaN 11.2707 25.0064 9.50055
894.362 20151.5 NaN NaN 54.1806 NaN 11.2927 25.0633 9.46339
899.413 19949.5 NaN NaN 54.1480 NaN 11.3131 25.1093 9.42951
904.463 19747.5 NaN NaN 54.1080 NaN 11.3360 25.1652 9.39078
909.514 19545.5 NaN NaN 54.0703 NaN 11.3593 25.2190 9.35142
914.564 19343.4 NaN NaN 54.0334 NaN 11.3832 25.2726 9.31078
919.615 19141.4 NaN NaN 53.9931 NaN 11.4083 25.3306 9.26794
924.665 18939.4 NaN NaN 53.9622 NaN 11.4327 25.3785 9.22669
929.716 18737.4 NaN NaN 53.9255 NaN 11.4587 25.4336 9.18226
934.766 18535.4 NaN NaN 53.8912 NaN 11.4853 25.4867 9.13675
939.817 18333.3 NaN NaN 53.8518 NaN 11.5144 25.5474 9.08645
944.867 18131.3 NaN NaN 53.8135 NaN 11.5441 25.6073 9.03504
949.918 17929.3 NaN NaN 53.7785 NaN 11.5745 25.6645 8.98250
954.968 17727.3 NaN NaN 53.7443 NaN 11.6058 25.7218 8.92805
960.019 17525.3 NaN NaN 53.7013 NaN 11.6405 25.7909 8.86722
965.069 17323.2 NaN NaN 53.6683 NaN 11.6751 25.8498 8.80678
970.120 17121.2 NaN NaN 53.6277 NaN 11.7120 25.9184 8.74185
975.170 16919.2 NaN NaN 53.5987 NaN 11.7481 25.9746 8.67860
980.221 16717.2 NaN NaN 53.5580 NaN 11.7886 26.0465 8.60688
985.271 16515.2 NaN NaN 53.5190 NaN 11.8304 26.1177 8.53292
990.322 16313.1 NaN NaN 53.4837 NaN 11.8744 26.1874 8.45458
995.372 16111.1 NaN NaN 53.4451 NaN 11.9198 26.2614 8.37375
1000.42 15909.1 NaN NaN 53.4073 NaN 11.9680 26.3370 8.28774
1005.47 15707.1 NaN NaN 53.3707 NaN 12.0193 26.4144 8.19563
1010.52 15505.1 0.709629E-002 NaN 53.3274 NaN 12.0703 26.4941 8.10103
1015.57 15303.0 4.20104 NaN 49.9477 NaN 11.2095 26.9220 7.71978
1020.62 15101.0 7.94837 NaN 46.8719 NaN 10.4773 27.3963 7.30613
1025.68 14899.0 11.0778 NaN 44.2142 NaN 9.93444 27.9477 6.82589
1030.73 14697.0 13.9086 NaN 41.7444 NaN 9.51009 28.5775 6.25938
1035.78 14494.9 16.6272 NaN 39.3217 NaN 9.17276 29.3026 5.57584
1040.83 14292.9 19.4613 NaN 36.7545 NaN 8.90408 30.1827 4.69738
1045.88 14090.9 22.6473 NaN 33.8659 NaN 8.69749 31.2713 3.51800
1050.93 13888.9 26.8293 NaN 30.1079 NaN 8.55120 32.7948 1.71684
