|6.6.6
sammon_2021_lower_crust_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 2975.95
776.295 5000.00 2975.73
779.439 5000.00 2975.52
782.584 5000.00 2975.30
785.729 5000.00 2975.09
788.873 5000.00 2974.87
792.018 5000.00 2974.66
795.163 5000.00 2974.44
798.307 5000.00 2974.22
801.452 5000.00 2974.01
804.597 5000.00 2973.79
807.741 5000.00 2973.57
810.886 5000.00 2973.36
814.031 5000.00 2973.14
817.175 5000.00 2972.92
820.320 5000.00 2972.71
823.464 5000.00 2972.49
826.609 5000.00 2972.27
829.754 5000.00 2972.06
832.898 5000.00 2971.84
836.043 5000.00 2971.62
839.188 5000.00 2971.41
842.332 5000.00 2971.19
845.477 5000.00 2970.97
848.622 5000.00 2970.75
851.766 5000.00 2970.54
854.911 5000.00 2970.32
858.056 5000.00 2970.10
861.200 5000.00 2969.88
864.345 5000.00 2969.67
867.490 5000.00 2969.45
870.634 5000.00 2969.23
873.779 5000.00 2969.01
876.924 5000.00 2968.79
880.068 5000.00 2968.58
883.213 5000.00 2968.36
886.358 5000.00 2968.14
889.502 5000.00 2967.92
892.647 5000.00 2967.70
895.792 5000.00 2967.48
898.936 5000.00 2967.27
902.081 5000.00 2967.05
905.225 5000.00 2966.83
908.370 5000.00 2966.61
911.515 5000.00 2966.39
914.659 5000.00 2966.17
917.804 5000.00 2965.95
920.949 5000.00 2965.73
924.093 5000.00 2965.51
927.238 5000.00 2965.29
930.383 5000.00 2965.07
933.527 5000.00 2964.85
936.672 5000.00 2964.63
939.817 5000.00 2964.41
942.961 5000.00 2964.19
946.106 5000.00 2963.97
949.251 5000.00 2963.75
952.395 5000.00 2963.53
955.540 5000.00 2963.31
958.685 5000.00 2963.08
961.829 5000.00 2962.86
964.974 5000.00 2962.62
968.119 5000.00 2962.40
971.263 5000.00 2962.19
974.408 5000.00 2961.97
977.553 5000.00 2961.75
980.697 5000.00 2961.54
983.842 5000.00 2961.32
986.986 5000.00 2961.11
990.131 5000.00 2960.89
993.276 5000.00 2960.68
996.420 5000.00 2960.46
999.565 5000.00 2960.24
1002.71 5000.00 2960.03
1005.85 5000.00 2959.81
1009.00 5000.00 2959.59
1012.14 5000.00 2959.38
1015.29 5000.00 2959.16
1018.43 5000.00 2958.95
1021.58 5000.00 2958.73
1024.72 5000.00 2958.51
1027.87 5000.00 2958.30
1031.01 5000.00 2958.08
1034.16 5000.00 2957.86
1037.30 5000.00 2957.64
1040.45 5000.00 2957.43
1043.59 5000.00 2957.21
1046.73 5000.00 2956.99
1049.88 5000.00 2956.78
1053.02 5000.00 2956.56
1056.17 5000.00 2956.34
1059.31 5000.00 2956.12
1062.46 5000.00 2955.91
1065.60 5000.00 2955.69
1068.75 5000.00 2955.47
1071.89 5000.00 2955.25
1075.04 5000.00 2955.04
1078.18 5000.00 2954.82
1081.33 5000.00 2954.60
1084.47 5000.00 2954.38
1087.62 5000.00 2954.17
1090.76 5000.00 2953.95
1093.90 5000.00 2953.73
1097.05 5000.00 2953.51
1100.19 5000.00 2953.29
1103.34 5000.00 2953.08
1106.48 5000.00 2952.86
1109.63 5000.00 2952.64
1112.77 5000.00 2952.42
1115.92 5000.00 2952.20
1119.06 5000.00 2951.98
1122.21 5000.00 2951.76
1125.35 5000.00 2951.55
1128.50 5000.00 2951.33
1131.64 5000.00 2951.11
1134.79 5000.00 2950.89
1137.93 5000.00 2950.67
1141.07 5000.00 2950.45
1144.22 5000.00 2950.23
1147.36 5000.00 2950.01
1150.51 5000.00 2949.79
1153.65 5000.00 2949.58
1156.80 5000.00 2949.36
1159.94 5000.00 2949.14
1163.09 5000.00 2948.92
1166.23 5000.00 2948.70
1169.38 5000.00 2948.48
1172.52 5000.00 2948.26
1175.67 5000.00 2948.04
1178.81 5000.00 2947.82
1181.96 5000.00 2947.60
1185.10 5000.00 2947.38
1188.24 5000.00 2947.16
1191.39 5000.00 2946.94
1194.53 5000.00 2946.72
1197.68 5000.00 2946.50
1200.82 5000.00 2946.28
1203.97 5000.00 2946.06
1207.11 5000.00 2945.84
1210.26 5000.00 2945.62
1213.40 5000.00 2945.40
1216.55 5000.00 2945.18
1219.69 5000.00 2944.96
1222.84 5000.00 2944.74
1225.98 5000.00 2944.52
1229.12 5000.00 2944.30
1232.27 5000.00 2944.07
1235.41 5000.00 2943.85
1238.56 5000.00 2943.63
1241.70 5000.00 2943.41
1244.85 5000.00 2943.19
1247.99 5000.00 2942.97
1251.14 5000.00 2942.75
1254.28 5000.00 2942.53
1257.43 5000.00 2942.31
1260.57 5000.00 2942.09
1263.72 5000.00 2941.86
1266.86 5000.00 2941.64
1270.01 5000.00 2941.42
1273.15 5000.00 2941.20
773.150 5125.79 2976.55
776.295 5125.79 2976.33
779.439 5125.79 2976.11
782.584 5125.79 2975.90
785.729 5125.79 2975.68
788.873 5125.79 2975.47
792.018 5125.79 2975.25
795.163 5125.79 2975.03
798.307 5125.79 2974.82
801.452 5125.79 2974.60
804.597 5125.79 2974.39
807.741 5125.79 2974.17
810.886 5125.79 2973.95
814.031 5125.79 2973.74
817.175 5125.79 2973.52
820.320 5125.79 2973.30
823.464 5125.79 2973.09
826.609 5125.79 2972.87
829.754 5125.79 2972.65
832.898 5125.79 2972.44
836.043 5125.79 2972.22
839.188 5125.79 2972.00
842.332 5125.79 2971.79
845.477 5125.79 2971.57
848.622 5125.79 2971.35
851.766 5125.79 2971.13
854.911 5125.79 2970.92
858.056 5125.79 2970.70
861.200 5125.79 2970.48
864.345 5125.79 2970.26
867.490 5125.79 2970.05
870.634 5125.79 2969.83
873.779 5125.79 2969.61
876.924 5125.79 2969.39
880.068 5125.79 2969.18
883.213 5125.79 2968.96
886.358 5125.79 2968.74
889.502 5125.79 2968.52
892.647 5125.79 2968.30
895.792 5125.79 2968.09
898.936 5125.79 2967.87
902.081 5125.79 2967.65
905.225 5125.79 2967.43
908.370 5125.79 2967.21
911.515 5125.79 2966.99
914.659 5125.79 2966.77
917.804 5125.79 2966.56
920.949 5125.79 2966.34
924.093 5125.79 2966.12
927.238 5125.79 2965.90
930.383 5125.79 2965.68
933.527 5125.79 2965.46
936.672 5125.79 2965.24
