|6.6.6
sammon_2022_M85_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1885956874
11
T(K) P(bar) Pl Pl Cpx Cpx Gt ky qtz coes Opx
923.150 5000.00 64.5517 NaN 4.00283 NaN NaN NaN 8.61262 NaN 22.8329
925.170 5202.02 64.5298 NaN 4.01881 NaN NaN NaN 8.61502 NaN 22.8364
927.190 5404.04 64.5073 NaN 4.03580 NaN NaN NaN 8.61769 NaN 22.8392
929.211 5606.06 64.4835 NaN 4.05349 NaN NaN NaN 8.62076 NaN 22.8422
931.231 5808.08 64.4588 NaN 4.07185 NaN NaN NaN 8.62415 NaN 22.8452
933.251 6010.10 64.4327 NaN 4.09136 NaN NaN NaN 8.62800 NaN 22.8479
935.271 6212.12 64.4060 NaN 4.11122 NaN NaN NaN 8.63206 NaN 22.8508
937.291 6414.14 64.3781 NaN 4.13188 NaN NaN NaN 8.63648 NaN 22.8535
939.312 6616.16 64.3486 NaN 4.15363 NaN NaN NaN 8.64138 NaN 22.8564
941.332 6818.18 64.3175 NaN 4.17646 NaN NaN NaN 8.64678 NaN 22.8593
943.352 7020.20 64.2848 NaN 4.20048 NaN NaN NaN 8.65265 NaN 22.8621
945.372 7222.22 64.2528 NaN 4.22560 NaN NaN NaN 8.65838 NaN 22.8633
947.392 7424.24 64.2166 NaN 4.25077 NaN NaN NaN 8.66523 NaN 22.8674
949.413 7626.26 64.1794 NaN 4.27816 NaN NaN NaN 8.67242 NaN 22.8700
951.433 7828.28 62.6529 NaN 5.14737 NaN 1.98501 NaN 9.11965 NaN 21.0950
953.453 8030.30 58.0802 NaN 7.76557 NaN 7.99527 NaN 10.4642 NaN 15.6948
955.473 8232.32 54.2744 NaN 9.98009 NaN 12.9358 NaN 11.5792 NaN 11.2306
957.493 8434.34 49.4309 NaN 12.7370 NaN 19.3150 NaN 13.0017 NaN 5.51550
959.514 8636.36 45.3851 NaN 15.0630 NaN 24.5930 NaN 14.1857 NaN 0.773092
961.534 8838.38 44.5794 NaN 15.4086 NaN 25.5961 NaN 14.4159 NaN NaN
963.554 9040.40 44.4058 NaN 15.3635 NaN 25.7704 NaN 14.4603 NaN NaN
965.574 9242.42 44.2229 NaN 15.3150 NaN 25.9546 NaN 14.5074 NaN NaN
967.594 9444.44 44.0280 NaN 15.2621 NaN 26.1521 NaN 14.5579 NaN NaN
969.615 9646.46 43.8385 NaN 15.2122 NaN 26.3425 NaN 14.6068 NaN NaN
971.635 9848.48 43.6315 NaN 15.1550 NaN 26.5527 NaN 14.6608 NaN NaN
973.655 10050.5 43.4225 NaN 15.0976 NaN 26.7645 NaN 14.7153 NaN NaN
975.675 10252.5 43.2053 NaN 15.0378 NaN 26.9847 NaN 14.7722 NaN NaN
977.695 10454.5 42.9822 NaN 14.9755 NaN 27.2115 NaN 14.8307 NaN NaN
979.716 10656.6 42.7301 NaN 14.9011 NaN 27.4713 NaN 14.8975 NaN NaN
981.736 10858.6 42.4966 NaN 14.8365 NaN 27.7079 NaN 14.9590 NaN NaN
983.756 11060.6 42.2420 NaN 14.7643 NaN 27.9674 NaN 15.0264 NaN NaN
985.776 11262.6 41.9838 NaN 14.6924 NaN 28.2290 NaN 15.0948 NaN NaN
987.796 11464.6 41.7117 NaN 14.6143 NaN 28.5068 NaN 15.1672 NaN NaN
989.817 11666.7 41.4265 NaN 14.5330 NaN 28.7973 NaN 15.2433 NaN NaN
991.837 11868.7 41.1207 NaN 14.4456 NaN 29.1087 NaN 15.3251 NaN NaN
993.857 12070.7 40.8046 NaN 14.3559 NaN 29.4297 NaN 15.4098 NaN NaN
