|6.6.6
si57_norm_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3165.19
579.439 5000.00 3163.89
585.729 5000.00 3162.51
592.018 5000.00 3161.03
598.307 5000.00 3159.43
604.597 5000.00 3157.69
610.886 5000.00 3155.79
617.175 5000.00 3153.69
623.464 5000.00 3151.36
629.754 5000.00 3148.74
636.043 5000.00 3145.74
642.332 5000.00 3142.24
648.622 5000.00 3138.05
654.911 5000.00 3132.85
661.200 5000.00 3125.97
667.490 5000.00 2984.21
673.779 5000.00 2972.09
680.068 5000.00 2958.96
686.358 5000.00 2944.67
692.647 5000.00 2929.08
698.936 5000.00 2925.93
705.225 5000.00 2925.42
711.515 5000.00 2924.93
717.804 5000.00 2924.43
724.093 5000.00 2923.93
730.383 5000.00 2923.43
736.672 5000.00 2922.92
742.961 5000.00 2922.42
749.251 5000.00 2921.91
755.540 5000.00 2921.39
761.829 5000.00 2920.88
768.119 5000.00 2920.36
774.408 5000.00 2919.84
780.697 5000.00 2919.32
786.986 5000.00 2918.79
793.276 5000.00 2918.26
799.565 5000.00 2917.72
805.854 5000.00 2917.19
812.144 5000.00 2916.65
818.433 5000.00 2916.10
824.722 5000.00 2915.56
831.012 5000.00 2915.01
837.301 5000.00 2914.45
843.590 5000.00 2913.89
849.880 5000.00 2913.32
856.169 5000.00 2912.75
862.458 5000.00 2912.18
868.747 5000.00 2911.59
875.037 5000.00 2911.00
881.326 5000.00 2910.41
887.615 5000.00 2909.80
893.905 5000.00 2909.19
900.194 5000.00 2908.56
906.483 5000.00 2907.92
912.773 5000.00 2907.27
919.062 5000.00 2906.60
925.351 5000.00 2905.91
931.641 5000.00 2905.19
937.930 5000.00 2904.45
944.219 5000.00 2903.65
950.508 5000.00 2902.79
956.798 5000.00 2901.80
963.087 5000.00 2900.47
969.376 5000.00 2899.23
975.666 5000.00 2898.84
981.955 5000.00 2898.46
988.244 5000.00 2898.07
994.534 5000.00 2897.69
1000.82 5000.00 2897.31
1007.11 5000.00 2896.92
1013.40 5000.00 2896.53
1019.69 5000.00 2896.15
1025.98 5000.00 2895.76
1032.27 5000.00 2895.37
1038.56 5000.00 2894.99
1044.85 5000.00 2894.60
1051.14 5000.00 2894.21
1057.43 5000.00 2893.82
1063.72 5000.00 2893.43
1070.01 5000.00 2893.04
1076.29 5000.00 2892.65
1082.58 5000.00 2892.26
1088.87 5000.00 2891.87
1095.16 5000.00 2891.48
1101.45 5000.00 2891.09
1107.74 5000.00 2890.70
1114.03 5000.00 2890.31
1120.32 5000.00 2889.91
1126.61 5000.00 2889.52
1132.90 5000.00 2889.12
1139.19 5000.00 2888.73
1145.48 5000.00 2888.33
1151.77 5000.00 2887.94
1158.06 5000.00 2887.54
1164.34 5000.00 2887.15
1170.63 5000.00 2886.75
1176.92 5000.00 2886.35
1183.21 5000.00 2885.95
1189.50 5000.00 2885.56
1195.79 5000.00 2885.16
1202.08 5000.00 2884.76
1208.37 5000.00 2884.36
1214.66 5000.00 2883.96
1220.95 5000.00 2883.55
1227.24 5000.00 2883.15
1233.53 5000.00 2882.75
1239.82 5000.00 2882.35
1246.11 5000.00 2881.94
1252.40 5000.00 2881.54
1258.68 5000.00 2881.13
1264.97 5000.00 2880.73
1271.26 5000.00 2880.32
1277.55 5000.00 2879.92
1283.84 5000.00 2879.51
1290.13 5000.00 2879.10
1296.42 5000.00 2878.69
1302.71 5000.00 2878.29
1309.00 5000.00 2877.87
1315.29 5000.00 2877.47
1321.58 5000.00 2877.05
1327.87 5000.00 2876.64
1334.16 5000.00 2876.23
1340.45 5000.00 2875.81
1346.73 5000.00 2875.40
1353.02 5000.00 2874.98
1359.31 5000.00 2874.57
1365.60 5000.00 2874.15
1371.89 5000.00 2873.73
1378.18 5000.00 2873.32
1384.47 5000.00 2872.90
1390.76 5000.00 2872.50
1397.05 5000.00 2872.06
1403.34 5000.00 2871.63
1409.63 5000.00 2871.21
1415.92 5000.00 2870.79
1422.21 5000.00 2870.36
1428.50 5000.00 2869.94
1434.79 5000.00 2869.51
1441.07 5000.00 2869.08
1447.36 5000.00 2868.65
1453.65 5000.00 2868.22
1459.94 5000.00 2867.79
1466.23 5000.00 2867.36
1472.52 5000.00 2866.93
1478.81 5000.00 2866.49
1485.10 5000.00 2866.06
1491.39 5000.00 2865.62
1497.68 5000.00 2865.17
1503.97 5000.00 2864.74
1510.26 5000.00 2864.30
1516.55 5000.00 2863.86
1522.84 5000.00 2863.42
1529.12 5000.00 2862.97
1535.41 5000.00 2862.52
1541.70 5000.00 2862.07
1547.99 5000.00 2861.63
1554.28 5000.00 2861.17
1560.57 5000.00 2860.72
1566.86 5000.00 2860.27
1573.15 5000.00 2859.81
573.150 5125.79 3166.73
579.439 5125.79 3165.50
585.729 5125.79 3164.19
592.018 5125.79 3162.80
598.307 5125.79 3161.30
604.597 5125.79 3159.68
610.886 5125.79 3157.92
617.175 5125.79 3155.99
623.464 5125.79 3153.87
629.754 5125.79 3151.51
636.043 5125.79 3148.85
642.332 5125.79 3145.81
648.622 5125.79 3142.26
654.911 5125.79 3138.00
661.200 5125.79 3132.71
667.490 5125.79 3125.70
673.779 5125.79 3115.24
680.068 5125.79 2978.86
686.358 5125.79 2966.08
692.647 5125.79 2952.24
698.936 5125.79 2937.18
705.225 5125.79 2926.03
711.515 5125.79 2925.54
717.804 5125.79 2925.04
724.093 5125.79 2924.54
730.383 5125.79 2924.04
736.672 5125.79 2923.53
742.961 5125.79 2923.03
749.251 5125.79 2922.52
755.540 5125.79 2922.01
761.829 5125.79 2921.49
768.119 5125.79 2920.98
774.408 5125.79 2920.46
780.697 5125.79 2919.94
786.986 5125.79 2919.41
793.276 5125.79 2918.88
799.565 5125.79 2918.35
805.854 5125.79 2917.82
812.144 5125.79 2917.28
818.433 5125.79 2916.74
824.722 5125.79 2916.19
831.012 5125.79 2915.64
837.301 5125.79 2915.09
843.590 5125.79 2914.53
849.880 5125.79 2913.97
856.169 5125.79 2913.40
862.458 5125.79 2912.83
868.747 5125.79 2912.25
875.037 5125.79 2911.66
881.326 5125.79 2911.07
887.615 5125.79 2910.47
893.905 5125.79 2909.86
900.194 5125.79 2909.24
906.483 5125.79 2908.60
912.773 5125.79 2907.96
919.062 5125.79 2907.30
925.351 5125.79 2906.62
931.641 5125.79 2905.92
937.930 5125.79 2905.19
944.219 5125.79 2904.42
950.508 5125.79 2903.59
956.798 5125.79 2902.67
963.087 5125.79 2901.57
969.376 5125.79 2899.81
975.666 5125.79 2899.41
981.955 5125.79 2899.02
988.244 5125.79 2898.64
994.534 5125.79 2898.26
1000.82 5125.79 2897.87
1007.11 5125.79 2897.49
1013.40 5125.79 2897.10
1019.69 5125.79 2896.72
1025.98 5125.79 2896.33
1032.27 5125.79 2895.95
1038.56 5125.79 2895.56
1044.85 5125.79 2895.17
1051.14 5125.79 2894.79
1057.43 5125.79 2894.40
1063.72 5125.79 2894.01
1070.01 5125.79 2893.62
1076.29 5125.79 2893.23
1082.58 5125.79 2892.84
1088.87 5125.79 2892.45
1095.16 5125.79 2892.06
1101.45 5125.79 2891.67
1107.74 5125.79 2891.28
1114.03 5125.79 2890.89
1120.32 5125.79 2890.50
1126.61 5125.79 2890.11
1132.90 5125.79 2889.71
1139.19 5125.79 2889.32
1145.48 5125.79 2888.93
1151.77 5125.79 2888.53
1158.06 5125.79 2888.14
1164.34 5125.79 2887.74
1170.63 5125.79 2887.34
1176.92 5125.79 2886.95
1183.21 5125.79 2886.55
1189.50 5125.79 2886.15
1195.79 5125.79 2885.76
1202.08 5125.79 2885.36
