|6.6.6
xu_2008_harzburgite_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1210120970
10
T(K) P(bar) alm di en fa fo herc an sp
923.150 5000.00 NaN 3.49957 16.4653 8.25942 69.9997 1.77599 NaN NaN
925.170 5202.02 NaN 3.49954 16.4647 8.25954 70.0002 1.77609 NaN NaN
927.190 5404.04 NaN 3.49951 16.4640 8.25965 70.0006 1.77620 NaN NaN
929.211 5606.06 NaN 3.49948 16.4634 8.25976 70.0010 1.77630 NaN NaN
931.231 5808.08 NaN 3.49945 16.4628 8.25988 70.0015 1.77640 NaN NaN
933.251 6010.10 NaN 3.49941 16.4622 8.25999 70.0019 1.77651 NaN NaN
935.271 6212.12 NaN 3.49938 16.4615 8.26010 70.0024 1.77661 NaN NaN
937.291 6414.14 NaN 3.49935 16.4609 8.26021 70.0028 1.77672 NaN NaN
939.312 6616.16 NaN 3.49932 16.4603 8.26033 70.0032 1.77682 NaN NaN
941.332 6818.18 NaN 3.49929 16.4597 8.26044 70.0037 1.77692 NaN NaN
943.352 7020.20 NaN 3.49926 16.4591 8.26055 70.0041 1.77703 NaN NaN
945.372 7222.22 NaN 3.49923 16.4585 8.26066 70.0045 1.77713 NaN NaN
947.392 7424.24 5.04552 3.51405 11.0536 6.26867 74.1182 NaN NaN NaN
949.413 7626.26 5.04572 3.51401 11.0531 6.26873 74.1184 NaN NaN NaN
951.433 7828.28 5.04592 3.51397 11.0527 6.26880 74.1186 NaN NaN NaN
953.453 8030.30 5.04611 3.51393 11.0522 6.26886 74.1189 NaN NaN NaN
955.473 8232.32 5.04631 3.51389 11.0518 6.26893 74.1191 NaN NaN NaN
957.493 8434.34 5.04651 3.51385 11.0514 6.26899 74.1193 NaN NaN NaN
959.514 8636.36 5.04670 3.51380 11.0509 6.26905 74.1195 NaN NaN NaN
961.534 8838.38 5.04690 3.51376 11.0505 6.26912 74.1197 NaN NaN NaN
963.554 9040.40 5.04709 3.51372 11.0500 6.26918 74.1200 NaN NaN NaN
965.574 9242.42 5.04729 3.51368 11.0496 6.26925 74.1202 NaN NaN NaN
967.594 9444.44 5.04749 3.51364 11.0492 6.26931 74.1204 NaN NaN NaN
969.615 9646.46 5.04768 3.51360 11.0487 6.26937 74.1206 NaN NaN NaN
971.635 9848.48 5.04788 3.51356 11.0483 6.26944 74.1208 NaN NaN NaN
973.655 10050.5 5.04807 3.51352 11.0478 6.26950 74.1211 NaN NaN NaN
975.675 10252.5 5.04827 3.51348 11.0474 6.26956 74.1213 NaN NaN NaN
977.695 10454.5 5.04846 3.51344 11.0470 6.26963 74.1215 NaN NaN NaN
979.716 10656.6 5.04866 3.51340 11.0465 6.26969 74.1217 NaN NaN NaN
981.736 10858.6 5.04885 3.51336 11.0461 6.26975 74.1219 NaN NaN NaN
