|6.6.6
xu_2008_pyrolite_1.tab
1
T(K)
500.00000000000011
500.00000000000011
1796211958
9
T(K) P(bar) O Pl Sp Cpx Cpx neph Gt
773.150 25000.0 73.7562 NaN 0.862794 23.0735 NaN 1.72552 0.581933
778.201 24798.0 73.3155 NaN 1.05071 23.6926 NaN 1.94116 NaN
783.251 24596.0 73.3193 NaN 1.04656 23.6922 NaN 1.94193 NaN
788.302 24393.9 73.3232 NaN 1.04229 23.6918 NaN 1.94273 NaN
793.352 24191.9 73.3272 NaN 1.03789 23.6914 NaN 1.94358 NaN
798.403 23989.9 73.3312 NaN 1.03343 23.6909 NaN 1.94447 NaN
803.453 23787.9 73.3353 NaN 1.02884 23.6905 NaN 1.94541 NaN
808.504 23585.9 73.3394 NaN 1.02417 23.6900 NaN 1.94641 NaN
813.554 23383.8 73.3436 NaN 1.01939 23.6895 NaN 1.94745 NaN
818.605 23181.8 73.3479 NaN 1.01446 23.6890 NaN 1.94856 NaN
823.655 22979.8 73.3522 NaN 1.00947 23.6886 NaN 1.94975 NaN
828.706 22777.8 73.3566 NaN 1.00437 23.6880 NaN 1.95097 NaN
833.756 22575.8 73.3610 NaN 0.999163 23.6875 NaN 1.95229 NaN
838.807 22373.7 73.3655 NaN 0.993872 23.6870 NaN 1.95368 NaN
843.857 22171.7 73.3700 NaN 0.988438 23.6864 NaN 1.95517 NaN
848.908 21969.7 73.3745 NaN 0.982871 23.6859 NaN 1.95675 NaN
853.958 21767.7 73.3792 NaN 0.977157 23.6852 NaN 1.95844 NaN
859.009 21565.7 73.3837 NaN 0.971442 23.6847 NaN 1.96022 NaN
864.059 21363.6 73.3882 NaN 0.965602 23.6841 NaN 1.96213 NaN
869.110 21161.6 73.3927 NaN 0.959638 23.6835 NaN 1.96417 NaN
874.160 20959.6 73.3973 NaN 0.953558 23.6829 NaN 1.96633 NaN
879.211 20757.6 73.4018 NaN 0.947332 23.6822 NaN 1.96864 NaN
884.261 20555.6 73.4063 NaN 0.940993 23.6815 NaN 1.97113 NaN
889.312 20353.5 73.4108 NaN 0.934541 23.6809 NaN 1.97378 NaN
894.362 20151.5 73.4152 NaN 0.927999 23.6802 NaN 1.97662 NaN
899.413 19949.5 73.4196 NaN 0.921369 23.6795 NaN 1.97955 NaN
904.463 19747.5 73.4239 NaN 0.914591 23.6787 NaN 1.98275 NaN
909.514 19545.5 73.4274 NaN 0.908445 23.6781 NaN 1.98611 NaN
914.564 19343.4 73.4323 NaN 0.900603 23.6772 NaN 1.98989 NaN
919.615 19141.4 73.4363 NaN 0.893501 23.6764 NaN 1.99375 NaN
924.665 18939.4 73.4401 NaN 0.886233 23.6757 NaN 1.99801 NaN
929.716 18737.4 73.4439 NaN 0.878855 23.6748 NaN 2.00241 NaN
934.766 18535.4 73.4475 NaN 0.871360 23.6740 NaN 2.00715 NaN
939.817 18333.3 73.4509 NaN 0.863739 23.6732 NaN 2.01217 NaN
944.867 18131.3 73.4541 NaN 0.855982 23.6723 NaN 2.01759 NaN
949.918 17929.3 73.4571 NaN 0.848104 23.6714 NaN 2.02337 NaN
954.968 17727.3 73.4599 NaN 0.840102 23.6705 NaN 2.02954 NaN
960.019 17525.3 73.4623 NaN 0.831960 23.6696 NaN 2.03615 NaN
965.069 17323.2 73.4645 NaN 0.823645 23.6686 NaN 2.04327 NaN
970.120 17121.2 73.4663 NaN 0.815252 23.6676 NaN 2.05085 NaN
975.170 16919.2 73.4679 NaN 0.806756 23.6667 NaN 2.05870 NaN
980.221 16717.2 73.4691 NaN 0.798087 23.6656 NaN 2.06720 NaN
985.271 16515.2 73.4699 NaN 0.789303 23.6646 NaN 2.07623 NaN
990.322 16313.1 73.4701 NaN 0.780308 23.6635 NaN 2.08607 NaN
995.372 16111.1 73.4701 NaN 0.771274 23.6625 NaN 2.09622 NaN
1000.42 15909.1 73.4694 NaN 0.762052 23.6613 NaN 2.10721 NaN
1005.47 15707.1 73.4682 NaN 0.752687 23.6602 NaN 2.11890 NaN
1010.52 15505.1 73.4664 NaN 0.743134 23.6590 NaN 2.13144 NaN
1015.57 15303.0 73.4640 NaN 0.733439 23.6578 NaN 2.14468 NaN
1020.62 15101.0 73.4610 NaN 0.723589 23.6566 NaN 2.15882 NaN
1025.68 14899.0 73.4572 NaN 0.713592 23.6554 NaN 2.17386 NaN
1030.73 14697.0 73.4526 NaN 0.703412 23.6541 NaN 2.18990 NaN
1035.78 14494.9 73.4473 NaN 0.693070 23.6528 NaN 2.20690 NaN
1040.83 14292.9 73.4410 NaN 0.682549 23.6514 NaN 2.22504 NaN
1045.88 14090.9 73.4338 NaN 0.671869 23.6501 NaN 2.24424 NaN
1050.93 13888.9 73.4256 NaN 0.660939 23.6486 NaN 2.26483 NaN
1055.98 13686.9 73.4162 NaN 0.649786 23.6472 NaN 2.28687 NaN
1061.03 13484.8 73.4059 NaN 0.638532 23.6457 NaN 2.30991 NaN
1066.08 13282.8 73.3943 NaN 0.627050 23.6441 NaN 2.33447 NaN
1071.13 13080.8 73.3815 NaN 0.615350 23.6426 NaN 2.36059 NaN
1076.18 12878.8 73.3672 NaN 0.603407 23.6410 NaN 2.38845 NaN
1081.23 12676.8 73.3512 NaN 0.591167 23.6393 NaN 2.41832 NaN
1086.28 12474.7 73.3342 NaN 0.578821 23.6376 NaN 2.44944 NaN
1091.33 12272.7 73.3152 NaN 0.566167 23.6358 NaN 2.48279 NaN
1096.38 12070.7 73.2939 NaN 0.553141 23.6340 NaN 2.51897 NaN
1101.43 11868.7 73.2658 0.281403E-001 0.540885 23.5958 NaN 2.56936 NaN
1106.48 11666.7 73.0212 1.04459 0.559512 22.2825 NaN 3.09220 NaN
1111.53 11464.6 72.8201 1.87798 0.575044 21.2058 NaN 3.52109 NaN
1116.58 11262.6 72.6491 2.59388 0.587811 20.2809 NaN 3.88824 NaN
1121.63 11060.6 72.5081 3.19148 0.596823 19.5088 NaN 4.19480 NaN
1126.69 10858.6 72.3883 3.70836 0.602427 18.8407 NaN 4.46015 NaN
1131.74 10656.6 72.2902 4.14731 0.604220 18.2732 NaN 4.68513 NaN
1136.79 10454.5 72.2053 4.53873 0.603085 17.7668 NaN 4.88613 NaN
1141.84 10252.5 72.1341 4.88387 0.599148 17.3200 NaN 5.06284 NaN
1146.89 10050.5 72.0755 5.18756 0.591846 16.9265 NaN 5.21857 NaN
1151.94 9848.48 72.0266 5.46051 0.581570 16.5725 NaN 5.35885 NaN
1156.99 9646.46 71.9868 5.70636 0.568447 16.2531 NaN 5.48522 NaN
1162.04 9444.44 71.9536 5.93357 0.552883 15.9577 NaN 5.60225 NaN
1167.09 9242.42 71.9269 6.14374 0.535114 15.6839 NaN 5.71031 NaN
1172.14 9040.40 71.9067 6.33791 0.514459 15.4305 NaN 5.81043 NaN
1177.19 8838.38 71.8922 6.51965 0.491039 15.1928 NaN 5.90430 NaN
1182.24 8636.36 71.8818 6.69835 0.464234 14.9586 NaN 5.99696 NaN
1187.29 8434.34 71.8780 6.85547 0.436028 14.7521 NaN 6.07841 NaN
1192.34 8232.32 71.8730 7.05851 0.399943 14.4852 NaN 6.18329 NaN
1197.39 8030.30 71.8815 7.16672 0.370430 14.3416 NaN 6.23975 NaN
1202.44 7828.28 71.8904 7.31540 0.332368 14.1446 NaN 6.31721 NaN
1207.49 7626.26 71.9032 7.46215 0.291454 13.9496 NaN 6.39359 NaN
1212.54 7424.24 71.9211 7.60732 0.246367 13.7560 NaN 6.46929 NaN
1217.59 7222.22 71.9443 7.75253 0.196308 13.5615 NaN 6.54538 NaN
1222.64 7020.20 71.9732 7.89991 0.141225 13.3634 NaN 6.62224 NaN
1227.70 6818.18 72.0033 8.04732 0.850764E-001 13.1652 NaN 6.69916 NaN
1232.75 6616.16 72.0406 8.19871 0.217374E-001 12.9606 NaN 6.77837 NaN
1237.80 6414.14 72.0428 8.29719 NaN 12.8302 NaN 6.82981 NaN
1242.85 6212.12 72.0267 8.36544 NaN 12.7419 NaN 6.86590 NaN
1247.90 6010.10 72.0119 8.42763 NaN 12.6616 NaN 6.89888 NaN
1252.95 5808.08 71.9967 8.49092 NaN 12.5798 NaN 6.93257 NaN
1258.00 5606.06 71.9834 8.54463 NaN 12.5106 NaN 6.96136 NaN
1263.05 5404.04 71.9703 8.59677 NaN 12.4434 NaN 6.98954 NaN
1268.10 5202.02 71.9576 8.64524 NaN 12.3810 NaN 7.01614 NaN
1273.15 5000.00 71.9455 8.69276 NaN 12.3198 NaN 7.04197 NaN
