|6.6.6
xu_2008_pyrolite_2.tab
2
T(K)
773.14999999999998
3.1446540880503151
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
773.150 5000.00 3236.81
776.295 5000.00 3236.54
779.439 5000.00 3236.27
782.584 5000.00 3235.99
785.729 5000.00 3235.72
788.873 5000.00 3235.45
792.018 5000.00 3235.17
795.163 5000.00 3234.90
798.307 5000.00 3234.63
801.452 5000.00 3234.35
804.597 5000.00 3234.08
807.741 5000.00 3233.80
810.886 5000.00 3233.53
814.031 5000.00 3233.26
817.175 5000.00 3232.98
820.320 5000.00 3232.71
823.464 5000.00 3232.44
826.609 5000.00 3232.16
829.754 5000.00 3231.89
832.898 5000.00 3231.62
836.043 5000.00 3231.34
839.188 5000.00 3231.07
842.332 5000.00 3230.79
845.477 5000.00 3230.52
848.622 5000.00 3230.25
851.766 5000.00 3229.97
854.911 5000.00 3229.70
858.056 5000.00 3229.42
861.200 5000.00 3229.15
864.345 5000.00 3228.88
867.490 5000.00 3228.60
870.634 5000.00 3228.33
873.779 5000.00 3228.05
876.924 5000.00 3227.78
880.068 5000.00 3227.50
883.213 5000.00 3227.23
886.358 5000.00 3226.96
889.502 5000.00 3226.68
892.647 5000.00 3226.41
895.792 5000.00 3226.13
898.936 5000.00 3225.86
902.081 5000.00 3225.59
905.225 5000.00 3225.31
908.370 5000.00 3225.04
911.515 5000.00 3224.76
914.659 5000.00 3224.49
917.804 5000.00 3224.21
920.949 5000.00 3223.94
924.093 5000.00 3223.66
927.238 5000.00 3223.39
930.383 5000.00 3223.12
933.527 5000.00 3222.84
936.672 5000.00 3222.57
939.817 5000.00 3222.29
942.961 5000.00 3222.02
946.106 5000.00 3221.74
949.251 5000.00 3221.47
952.395 5000.00 3221.19
955.540 5000.00 3220.92
958.685 5000.00 3220.65
961.829 5000.00 3220.37
964.974 5000.00 3220.10
968.119 5000.00 3219.82
971.263 5000.00 3219.55
974.408 5000.00 3219.27
977.553 5000.00 3219.00
980.697 5000.00 3218.73
983.842 5000.00 3218.45
986.986 5000.00 3218.18
990.131 5000.00 3217.90
993.276 5000.00 3217.63
996.420 5000.00 3217.35
999.565 5000.00 3217.08
1002.71 5000.00 3216.81
1005.85 5000.00 3216.53
1009.00 5000.00 3216.26
1012.14 5000.00 3215.98
1015.29 5000.00 3215.71
1018.43 5000.00 3215.44
1021.58 5000.00 3215.16
1024.72 5000.00 3214.89
1027.87 5000.00 3214.61
1031.01 5000.00 3214.34
1034.16 5000.00 3214.07
1037.30 5000.00 3213.79
1040.45 5000.00 3213.52
1043.59 5000.00 3213.25
1046.73 5000.00 3212.97
1049.88 5000.00 3212.70
1053.02 5000.00 3212.43
1056.17 5000.00 3212.15
1059.31 5000.00 3211.88
1062.46 5000.00 3211.61
1065.60 5000.00 3211.34
1068.75 5000.00 3211.06
1071.89 5000.00 3210.79
1075.04 5000.00 3210.52
1078.18 5000.00 3210.24
1081.33 5000.00 3209.97
1084.47 5000.00 3209.70
1087.62 5000.00 3209.43
1090.76 5000.00 3209.16
1093.90 5000.00 3208.88
1097.05 5000.00 3208.61
1100.19 5000.00 3208.34
1103.34 5000.00 3208.07
1106.48 5000.00 3207.80
1109.63 5000.00 3207.53
1112.77 5000.00 3207.26
1115.92 5000.00 3206.99
1119.06 5000.00 3206.71
1122.21 5000.00 3206.44
1125.35 5000.00 3206.17
1128.50 5000.00 3205.90
1131.64 5000.00 3205.63
1134.79 5000.00 3205.36
1137.93 5000.00 3205.09
1141.07 5000.00 3204.82
1144.22 5000.00 3204.56
1147.36 5000.00 3204.29
1150.51 5000.00 3204.02
1153.65 5000.00 3203.75
1156.80 5000.00 3203.48
1159.94 5000.00 3203.21
1163.09 5000.00 3202.95
1166.23 5000.00 3202.68
1169.38 5000.00 3202.41
1172.52 5000.00 3202.14
1175.67 5000.00 3201.88
1178.81 5000.00 3201.61
1181.96 5000.00 3201.34
1185.10 5000.00 3201.08
1188.24 5000.00 3200.81
1191.39 5000.00 3200.55
1194.53 5000.00 3200.28
1197.68 5000.00 3200.02
1200.82 5000.00 3199.75
1203.97 5000.00 3199.49
1207.11 5000.00 3199.22
1210.26 5000.00 3198.96
1213.40 5000.00 3198.70
1216.55 5000.00 3198.44
1219.69 5000.00 3198.17
1222.84 5000.00 3197.91
1225.98 5000.00 3197.65
1229.12 5000.00 3197.39
1232.27 5000.00 3197.13
1235.41 5000.00 3196.87
1238.56 5000.00 3196.61
1241.70 5000.00 3196.35
1244.85 5000.00 3196.09
1247.99 5000.00 3195.83
1251.14 5000.00 3195.57
1254.28 5000.00 3195.32
1257.43 5000.00 3195.06
1260.57 5000.00 3194.80
1263.72 5000.00 3194.55
1266.86 5000.00 3194.29
1270.01 5000.00 3194.04
1273.15 5000.00 3193.78
773.150 5125.79 3237.29
776.295 5125.79 3237.02
779.439 5125.79 3236.75
782.584 5125.79 3236.47
