|6.6.6
zhang_2022_cd07-2_1.tab
1
T(K)
500.00000000000011
500.00000000000011
1975780598
10
T(K) P(bar) O Pl Pl Cpx Opx Gt qtz ky
773.150 25000.0 NaN NaN NaN 49.1981 NaN 39.1111 11.6908 NaN
778.201 24798.0 NaN NaN NaN 49.2097 NaN 39.0964 11.6938 NaN
783.251 24596.0 NaN NaN NaN 49.2238 NaN 39.0793 11.6969 NaN
788.302 24393.9 NaN NaN NaN 49.2383 NaN 39.0616 11.7001 NaN
793.352 24191.9 NaN NaN NaN 49.2538 NaN 39.0430 11.7032 NaN
798.403 23989.9 NaN NaN NaN 49.2703 NaN 39.0234 11.7064 NaN
803.453 23787.9 NaN NaN NaN 49.2878 NaN 39.0026 11.7096 NaN
808.504 23585.9 NaN NaN NaN 49.3063 NaN 38.9809 11.7128 NaN
813.554 23383.8 NaN NaN NaN 49.3252 NaN 38.9587 11.7161 NaN
818.605 23181.8 NaN NaN NaN 49.3462 NaN 38.9344 11.7194 NaN
823.655 22979.8 NaN NaN NaN 49.3690 NaN 38.9084 11.7227 NaN
828.706 22777.8 NaN NaN NaN 49.3918 NaN 38.8822 11.7260 NaN
833.756 22575.8 NaN NaN NaN 49.4167 NaN 38.8539 11.7294 NaN
838.807 22373.7 NaN NaN NaN 49.4425 NaN 38.8247 11.7328 NaN
843.857 22171.7 NaN NaN NaN 49.4702 NaN 38.7936 11.7362 NaN
848.908 21969.7 NaN NaN NaN 49.4989 NaN 38.7615 11.7396 NaN
853.958 21767.7 NaN NaN NaN 49.5294 NaN 38.7275 11.7431 NaN
859.009 21565.7 NaN NaN NaN 49.5610 NaN 38.6923 11.7467 NaN
864.059 21363.6 NaN NaN NaN 49.5949 NaN 38.6548 11.7502 NaN
869.110 21161.6 NaN NaN NaN 49.6310 NaN 38.6152 11.7538 NaN
874.160 20959.6 NaN NaN NaN 49.6684 NaN 38.5742 11.7574 NaN
879.211 20757.6 NaN NaN NaN 49.7079 NaN 38.5311 11.7611 NaN
884.261 20555.6 NaN NaN NaN 49.7506 NaN 38.4847 11.7648 NaN
889.312 20353.5 NaN NaN NaN 49.7957 NaN 38.4359 11.7685 NaN
894.362 20151.5 NaN NaN NaN 49.8415 NaN 38.3863 11.7722 NaN
899.413 19949.5 NaN NaN NaN 49.8873 NaN 38.3367 11.7760 NaN
904.463 19747.5 NaN NaN NaN 49.9385 NaN 38.2816 11.7799 NaN
909.514 19545.5 NaN NaN NaN 49.9913 NaN 38.2250 11.7838 NaN
914.564 19343.4 NaN NaN NaN 50.0460 NaN 38.1663 11.7877 NaN
919.615 19141.4 NaN NaN NaN 50.1045 NaN 38.1039 11.7917 NaN
924.665 18939.4 NaN NaN NaN 50.1648 NaN 38.0395 11.7957 NaN
929.716 18737.4 NaN NaN NaN 50.2299 NaN 37.9704 11.7998 NaN
934.766 18535.4 NaN NaN NaN 50.2936 NaN 37.9025 11.8039 NaN
939.817 18333.3 NaN NaN NaN 50.3604 NaN 37.8315 11.8081 NaN
944.867 18131.3 NaN NaN NaN 50.4304 NaN 37.7573 11.8123 NaN
949.918 17929.3 NaN NaN NaN 50.5072 NaN 37.6762 11.8166 NaN
954.968 17727.3 NaN NaN NaN 50.5833 NaN 37.5957 11.8210 NaN
