,Abbrev,Name,Members
0,AkiS,Akimotoite Solution,MgAki/FeAki/AlAki
1,Bt,Biotite,Ann/Phl
2,CfS,Ca-Ferrite Solution,MgCf/FeCf/NaCf
3,CalS,Calcite Solution,Cal/Mgs
4,Cam,Clinoamphibole,Cum/Gru/Tr
5,Fp,Ferropericlase,Per/Wus
6,Mws,Magnesiowustite,Per/Wus
7,Fsp,Feldspar,Ab/An/Kfs/Or/Mc/Sa
8,Grt,Garnet,Alm/Grs/Prp/Maj/NaMaj
9,Hbl,Hornblende,Fprg/Mhs/Prg
10,KlsS,Kalsilite Solution,Nph/Kls
11,LctS,Leucite Solution,Anl/Lct/nLct
12,Liq,Liquid,
13,Mll,Melilite,Ak/Gh/fAk/nMll
14,NphS,Nepheline Solution,Nph/Kls
15,Ol,Olivine,CoOl/Fa/Fo/Mtc/NiOl/Tep
16,OrOx,OrthoOxide,Fpsb/Krt/Psb
17,Oam,Orthoamphibole,Cum/Gru/Tr
18,Opx,Orthopyroxene,Abfn/Bfn/CaTs/En/Fs/cEn/Di/Ess/Hd/Jd/oDi
19,Cpx,Clinopyroxene,Abfn/Bfn/CaTs/En/Fs/cEn/Di/Ess/Hd/Jd
20,hpCpx,High-Pressure Clinopyroxene,hpcEn/hpcFs
21,PrvS,Perovskite,Prv/FePrv/AlPrv
22,PpvS,Post-Perovskite,MgPpv/FePpv/AlPpv
23,Rhom,Rhombohedral,Crn/Gk/Hem/Ilm/Pph
24,Rwd,Ringwoodite,MgRwd/FeRwd
25,SplS,Spinel,Chr/Hc/Mag/Spl/Usp
26,Wds,Wadsleyite,MgWds/FeWds
27,Psu,PseudoPhase,
