,Abbrev,Name,Formula,Parent
0,Acm,Acmite,NaFeSi2O6,
1,Aeg,Aegirine,NaFeSi2O6,
2,Aeng,Aenigmatite,Na2Fe5TiSi6O20,
3,Ak,Akermanite,Ca2MgSi2O7,
4,lAk,Akermanite (low),Ca2MgSi2O7,
5,hAk,Akermanite (high),Ca2MgSi2O7,
6,MgAki,Mg-Akimotoite,MgSiO3,AkiS
7,FeAki,Fe-Akimotoite,FeSiO3,AkiS
8,AlAki,Al-Akimotoite,Al2O3,AkiS
9,Afchl,Al_Free_Chlorite,Mg6Si4O18H8,
10,Ab,Albite,NaAlSi3O8,
11,lAb,Albite (low),NaAlSi3O8,
12,hAb,Albite (high),NaAlSi3O8,
13,Alm,Almandine,Fe3Al2Si3O12,
14,Abfn,Alumino-Buffonite,CaTi0.5Mg0.5AlSiO6,
15,Ame,Amesite,Mg4Al4Si2O18H8,
16,Anl,Analcime,NaAlSi2O5(OH)2,
17,And,Andalusite,Al2SiO5,
18,Adr,Andradite,Ca3Fe2Si3O12,
19,Ank,Ankerite,CaFeO6C2,
20,Ann,Annite,KFe3Si3AlO10(OH)2,
21,An,Anorthite,CaAl2Si2O8,
22,Ath,Anthophyllite,Mg7Si8O22(OH)2,
23,Atg,Antigorite,Mg3Si2O5(OH)4,
24,Ap,Apatite,Ca5(PO4)3OH,
25,Arg,Aragonite,CaCO3,
26,Bdy,Baddeleyite,ZrO2,
27,Brc,Brucite,Mg(OH)2,
28,Bfn,Buffonite,CaTi0.5Mg0.5FeSiO6,
29,MgCf,Mg-Ca-Ferrite,MgAl2O4,
30,FeCf,Fe-Ca-Ferrite,FeAl2O4,
31,NaCf,Na-Ca-Ferrite,NaAlSiO4,
32,CaTs,Calcium Tschermak's Pyroxene,CaAl2SiO6,
33,Cal,Calcite,CaCO3,
34,Cel,Celadonite,KMgAlSi4O12H2,
35,Chr,Chromite,FeCr2O4,
36,Ctl,Chrysotile,Mg3Si2O5(OH)4,
37,Clc,Clinochlore,Mg5Al(AlSi3O10)(OH)8,
38,cEn,Clinoenstatite,MgSiO3,
39,hpcEn,Clinoenstatite (high-pressure),MgSiO3,
40,cFs,Clinoferrosilite,FeSiO3,
41,hpcFs,Clinoferrosilite (high-pressure),FeSiO3,
42,Chu,Clinohumite,Mg9Si4O18H2,
43,cZo,Clinozoisite,Ca2Al3Si3O12(OH) ,
44,CoOl,Co-Olivine,Co2SiO4,
45,Coe,Coesite,SiO2,
46,Crd,Cordierite,Mg2Al4Si5O18,
47,Crn,Corundum,Al2O3,
48,Crs,Cristobalite,SiO2,
